Strike,Type,Expiry,IV Slope
170.0,Call,2025-11-21,-3.4348232023691367
170.0,Call,2025-12-19,-1.193653416084986
170.0,Call,2026-01-16,-0.2879513038004249
170.0,Call,2026-03-20,
170.0,Call,2027-01-15,
170.0,Put,2025-09-19,-31.894041579370292
170.0,Put,2025-10-17,-6.492455992701088
170.0,Put,2025-11-21,-1.204664249915484
170.0,Put,2025-12-19,0.19346836929544642
170.0,Put,2026-01-16,-0.42409904412537924
170.0,Put,2026-03-20,-0.3276441689818467
170.0,Put,2027-01-15,0.0016736814251087754
160.0,Call,2025-12-19,-2.807053746915656
160.0,Call,2026-01-16,-0.04939245971362939
160.0,Call,2026-03-20,-0.5416050875228722
160.0,Call,2026-09-18,-0.042441563334743956
160.0,Call,2027-01-15,-0.059425845914338395
160.0,Put,2025-11-21,-1.3776645138078594
160.0,Put,2025-12-19,0.2508578462176515
160.0,Put,2026-01-16,-0.5282135038404976
160.0,Put,2026-02-20,-0.2828312461931272
160.0,Put,2026-03-20,4.908864938819975
160.0,Put,2026-06-18,-1.4463620780843573
160.0,Put,2027-01-15,-0.08924780832207421
155.0,Call,2025-12-19,0.011160523187500385
155.0,Call,2026-01-16,-2.7032383048328152
155.0,Call,2026-03-20,
155.0,Call,2027-01-15,
155.0,Put,2025-11-21,-1.42676978611122
155.0,Put,2025-12-19,0.17734212533692356
155.0,Put,2026-01-16,-0.5337155183638511
155.0,Put,2026-02-20,-0.2629057424325446
155.0,Put,2026-06-18,0.526583171599681
155.0,Put,2027-01-15,-0.3503593778802866
220.0,Call,2025-09-19,-34.96231055527096
220.0,Call,2025-10-17,-6.765245977470597
220.0,Call,2025-11-21,-1.165815992300353
220.0,Call,2025-12-19,0.31107433275943014
220.0,Call,2026-01-16,-0.5345939955197457
220.0,Call,2026-02-20,-0.2506179558831275
220.0,Call,2026-03-20,-0.34473269171305343
220.0,Call,2026-06-18,0.10998575689864973
220.0,Call,2026-09-18,-0.05752013672873593
220.0,Call,2027-01-15,-0.04344071421627191
220.0,Put,2025-09-19,-37.330029358108426
220.0,Put,2025-09-26,-10.798334614637461
220.0,Put,2025-10-03,-8.061606116762086
220.0,Put,2025-10-17,-1.294005854057546
220.0,Put,2025-11-21,-0.7580999288559727
220.0,Put,2025-12-19,0.0060693093148939704
220.0,Put,2026-01-16,-0.36207498830768564
220.0,Put,2026-02-20,-0.43097146178605905
220.0,Put,2026-03-20,0.10046706133855092
220.0,Put,2027-01-15,0.01597227882062935
260.0,Call,2025-09-19,-38.761140841325286
260.0,Call,2025-09-26,-12.27501160752476
260.0,Call,2025-10-17,-3.303815146863143
260.0,Call,2025-11-21,-1.1112512700808823
260.0,Call,2025-12-19,0.5345160411042684
260.0,Call,2026-01-16,-0.544252330838685
260.0,Call,2026-03-20,-0.27328650098835455
260.0,Call,2026-06-18,-0.010423572823278575
260.0,Call,2026-09-18,-0.0156242119980274
260.0,Call,2027-01-15,-0.03844965160798211
260.0,Put,2025-09-19,-40.821120201845424
260.0,Put,2025-10-17,-5.537557232302858
260.0,Put,2025-11-21,-1.3599853785697478
260.0,Put,2025-12-19,0.24354904235846261
260.0,Put,2026-01-16,-0.3910442910286968
260.0,Put,2027-01-15,-0.009107114585729324
420.0,Call,2027-01-15,-0.061638669360916276
420.0,Put,2027-01-15,-0.7909316578796174
350.0,Call,2025-10-17,-11.508413487505573
