Strike,Type,Expiry,IV Slope
65.0,Call,2025-10-17,
65.0,Call,2026-01-16,
65.0,Put,2025-10-17,-9.225784803779524
65.0,Put,2026-01-16,-0.039636935017984425
90.0,Call,2025-10-17,-3.2906224805082323
90.0,Call,2026-01-16,-0.023348201186557255
50.0,Put,2026-01-16,-0.2946975700497656
85.0,Call,2025-10-17,-3.873582532105032
85.0,Call,2026-01-16,0.13805446688430492
85.0,Call,2026-04-17,-0.056733240777441754
85.0,Put,2025-10-17,-4.414053271985871
85.0,Put,2026-01-16,-0.23764108973356488
55.0,Call,2026-01-16,
55.0,Put,2026-01-16,-0.28111988126490206
60.0,Call,2026-01-16,
60.0,Put,2026-01-16,-0.12479770029708301
70.0,Call,2025-10-17,
70.0,Call,2026-01-16,
70.0,Put,2025-10-17,-1.3511333330581405
70.0,Put,2026-01-16,-0.02884003653042337
80.0,Call,2025-10-17,0.16745922806114835
80.0,Call,2026-01-16,0.14383301752648067
80.0,Call,2026-04-17,-0.011560107800827692
80.0,Put,2026-01-16,-0.14816598533233888
80.0,Put,2026-04-17,0.025432042863922817
75.0,Call,2025-10-17,
75.0,Call,2026-01-16,0.3876597248895928
75.0,Put,2025-10-17,-1.4032522690022518
75.0,Put,2026-01-16,-0.04800260716018502
75.0,Put,2026-04-17,-0.06754674729406547
