Strike,Type,Expiry,IV Slope
15.0,Call,2026-03-20,0.09645477753867215
11.0,Call,2025-10-17,-0.5129005401423532
11.0,Call,2025-12-19,0.3468262878600441
11.0,Call,2026-03-20,-0.020934861133495387
11.0,Put,2025-12-19,-0.08740173530939849
11.0,Put,2026-03-20,0.018333860372610578
7.0,Call,2026-03-20,-2.6494222269142154
14.0,Call,2026-03-20,0.012700227623864736
9.0,Call,2025-12-19,-7.478293072853274
10.0,Call,2025-10-17,-0.9728351383703427
10.0,Call,2025-12-19,-0.383612003499059
10.0,Call,2026-03-20,-0.1005150900569626
13.0,Call,2026-03-20,0.023190038481015075
12.0,Call,2025-10-17,-0.27687726316657024
12.0,Call,2025-12-19,0.4207283482184653
12.0,Call,2026-03-20,-0.037735054580945046
12.0,Put,2025-12-19,0.15606081301419153
