Strike,Type,Expiry,IV Slope
65.0,Call,2025-12-19,
65.0,Call,2026-01-16,
65.0,Put,2026-01-16,-0.34179995292745824
50.0,Put,2026-01-16,-2.1145926455715927
40.0,Put,2025-12-19,-3.0668942982808707
60.0,Put,2026-01-16,-0.665022143445987
75.0,Call,2025-10-17,-2.5931829693443658
75.0,Call,2025-12-19,-0.884986516013616
70.0,Call,2025-10-17,-4.9628071823014634
70.0,Call,2025-12-19,-1.1512187344172964
70.0,Call,2026-01-16,-0.7229804323942259
70.0,Put,2025-10-17,-1.0581339974181805
70.0,Put,2026-01-16,-0.47761810918051884
70.0,Put,2026-04-17,-0.031141514917017346
45.0,Put,2026-01-16,-2.0163120924894953
90.0,Call,2025-12-19,-0.6674993213731086
90.0,Call,2026-01-16,0.37895692449335366
80.0,Call,2025-10-17,-1.0454035967212272
80.0,Call,2025-12-19,-0.2538885300937785
80.0,Call,2026-01-16,-0.14197812677007798
80.0,Put,2025-10-17,0.27856782626263193
80.0,Put,2025-12-19,0.476856347967214
85.0,Call,2025-10-17,-2.8545022340551394
85.0,Call,2025-12-19,-0.25277146725824085
85.0,Call,2026-01-16,0.26566742694734125
