Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
IMCR,IMCR251017P00015000,Put,2025-10-17,15.0,0.0,4.9,2.0,4,3.172853630371094,36.255,26.36,46.74,0.4137360364087711
IMCR,IMCR260116C00055000,Call,2026-01-16,55.0,0.0,4.9,1.0,5,0.8332536206054686,36.255,26.36,46.74,0.6591818181818182
IMCR,IMCR260116P00030000,Put,2026-01-16,30.0,1.0,4.1,1.0,2,0.6496617065429688,36.255,26.36,46.74,0.8274720728175423
IMCR,IMCR251219C00055000,Call,2025-12-19,55.0,0.0,4.9,1.0,6,0.9409185595703125,36.255,26.36,46.74,0.6591818181818182
IMCR,IMCR251219P00020000,Put,2025-12-19,20.0,0.0,4.9,1.0,7,1.4423856005859377,36.255,26.36,46.74,0.5516480485450282
IMCR,IMCR260417C00045000,Call,2026-04-17,45.0,0.6,4.7,1.0,4,0.6726106958007814,36.255,26.36,46.74,0.8056666666666668
IMCR,IMCR251219P00022500,Put,2025-12-19,22.5,0.0,4.9,2.0,8,1.234378828125,36.255,26.36,46.74,0.6206040546131567
IMCR,IMCR260116P00035000,Put,2026-01-16,35.0,2.5,6.5,1.0,2,0.6049844189453126,36.255,26.36,46.74,0.9653840849537996
IMCR,IMCR250919C00040000,Call,2025-09-19,40.0,0.0,4.8,10.0,12,1.519045373535156,36.255,26.36,46.74,0.906375
IMCR,IMCR250919C00050000,Call,2025-09-19,50.0,0.0,1.0,10.0,20,1.443362158203125,36.255,26.36,46.74,0.7251000000000001
IMCR,IMCR251219C00040000,Call,2025-12-19,40.0,0.6,4.9,1.0,12,0.5456588403320313,36.255,26.36,46.74,0.906375
IMCR,IMCR251219P00025000,Put,2025-12-19,25.0,0.0,4.9,1.0,28,1.0481004626464845,36.255,26.36,46.74,0.6895600606812853
IMCR,IMCR260417P00025000,Put,2026-04-17,25.0,0.0,4.7,,29,0.6982452050781252,36.255,26.36,46.74,0.6895600606812853
IMCR,IMCR250919C00035000,Call,2025-09-19,35.0,0.75,4.7,1.0,11,0.8261736132812498,36.255,26.36,46.74,1.035857142857143
IMCR,IMCR251017C00040000,Call,2025-10-17,40.0,0.0,1.8,6.0,30,0.6743196630859377,36.255,26.36,46.74,0.906375
IMCR,IMCR260116C00035000,Call,2026-01-16,35.0,3.2,6.5,5.0,3,0.6948272705078126,36.255,26.36,46.74,1.035857142857143
IMCR,IMCR251219C00035000,Call,2025-12-19,35.0,0.55,4.9,2.0,26,0.5668988623046876,36.255,26.36,46.74,1.035857142857143
IMCR,IMCR251219P00035000,Put,2025-12-19,35.0,0.5,4.3,1.0,41,0.6557651611328126,36.255,26.36,46.74,0.9653840849537996
IMCR,IMCR251219P00030000,Put,2025-12-19,30.0,0.0,4.7,1.0,304,0.700198310546875,36.255,26.36,46.74,0.8274720728175423
IMCR,IMCR260417P00030000,Put,2026-04-17,30.0,0.0,4.7,34.0,349,0.7326686889648437,36.255,26.36,46.74,0.8274720728175423
IMCR,IMCR251219C00017500,Call,2025-12-19,17.5,14.4,18.0,3.0,1,1.0000000000000004e-05,36.255,26.36,46.74,2.071714285714286
IMCR,IMCR260116C00030000,Call,2026-01-16,30.0,6.7,10.3,1.0,3,0.6044961425781252,36.255,26.36,46.74,1.2085
IMCR,IMCR251017C00045000,Call,2025-10-17,45.0,0.1,4.9,250.0,755,1.1171919140625,36.255,26.36,46.74,0.8056666666666668
IMCR,IMCR251017P00025000,Put,2025-10-17,25.0,0.0,4.9,2.0,1250,1.6948257446289063,36.255,26.36,46.74,0.6895600606812853
IMCR,IMCR251017P00030000,Put,2025-10-17,30.0,0.0,0.85,30.0,12519,0.5419967675781252,36.255,26.36,46.74,0.8274720728175423
IMCR,IMCR260116C00022500,Call,2026-01-16,22.5,8.8,13.0,2.0,6,1.0000000000000004e-05,36.255,26.36,46.74,1.6113333333333335
IMCR,IMCR251219C00015000,Call,2025-12-19,15.0,16.4,21.0,1.0,3,1.0000000000000004e-05,36.255,26.36,46.74,2.4170000000000003
IMCR,IMCR251017P00035000,Put,2025-10-17,35.0,0.6,2.85,1.0,3002,0.7426783544921874,36.255,26.36,46.74,0.9653840849537996
IMCR,IMCR251017C00035000,Call,2025-10-17,35.0,1.8,5.3,2.0,877,0.6206092626953126,36.255,26.36,46.74,1.035857142857143
IMCR,IMCR251219C00022500,Call,2025-12-19,22.5,8.0,12.3,2.0,28,1.0000000000000004e-05,36.255,26.36,46.74,1.6113333333333335
IMCR,IMCR251219C00030000,Call,2025-12-19,30.0,6.2,10.5,10.0,1060,0.657229990234375,36.255,26.36,46.74,1.2085
IMCR,IMCR251219C00025000,Call,2025-12-19,25.0,10.7,14.4,1.0,63,0.795900478515625,36.255,26.36,46.74,1.4502000000000002
