Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
LAZR,LAZR250912P00001500,Put,2025-09-12,1.5,0.01,0.03,52.0,277,1.4375028125,1.745,1.62,1.75,0.8595988538681948
LAZR,LAZR250926P00001500,Put,2025-09-26,1.5,0.05,0.08,8.0,44,1.109379453125,1.745,1.62,1.75,0.8595988538681948
LAZR,LAZR251003C00002500,Call,2025-10-03,2.5,0.02,0.04,60.0,266,1.09375453125,1.745,1.62,1.75,0.6980000000000001
LAZR,LAZR251121P00001000,Put,2025-11-21,1.0,0.04,0.08,1.0,485,1.234378828125,1.745,1.62,1.75,0.5730659025787965
LAZR,LAZR250912C00002000,Call,2025-09-12,2.0,0.01,0.02,25.0,555,1.15625421875,1.745,1.62,1.75,0.8725
LAZR,LAZR250926C00002000,Call,2025-09-26,2.0,0.06,0.1,10.0,175,1.0859420703125,1.745,1.62,1.75,0.8725
LAZR,LAZR260220C00004000,Call,2026-02-20,4.0,0.07,0.14,5.0,1416,1.0468797656250002,1.745,1.62,1.75,0.43625
LAZR,LAZR251010P00001500,Put,2025-10-10,1.5,0.09,0.13,42.0,56,1.109379453125,1.745,1.62,1.75,0.8595988538681948
LAZR,LAZR251017P00002000,Put,2025-10-17,2.0,0.28,0.43,3.0,112,0.8359391406249999,1.745,1.62,1.75,1.146131805157593
LAZR,LAZR251010C00002000,Call,2025-10-10,2.0,0.11,0.14,,15,1.0468797656250002,1.745,1.62,1.75,0.8725
LAZR,LAZR251017C00003000,Call,2025-10-17,3.0,0.02,0.03,3.0,198,1.125004375,1.745,1.62,1.75,0.5816666666666667
LAZR,LAZR251003C00002000,Call,2025-10-03,2.0,0.09,0.12,10.0,61,1.0703171484375005,1.745,1.62,1.75,0.8725
LAZR,LAZR250919C00002000,Call,2025-09-19,2.0,0.03,0.05,30.0,2274,1.000005,1.745,1.62,1.75,0.8725
LAZR,LAZR260116P00001000,Put,2026-01-16,1.0,0.09,0.13,2.0,294,1.1796916015625,1.745,1.62,1.75,0.5730659025787965
LAZR,LAZR251003P00001500,Put,2025-10-03,1.5,0.07,0.09,1.0,59,1.0468797656250002,1.745,1.62,1.75,0.8595988538681948
LAZR,LAZR251017C00002000,Call,2025-10-17,2.0,0.11,0.15,1.0,167,0.9687503125,1.745,1.62,1.75,0.8725
LAZR,LAZR260116C00004000,Call,2026-01-16,4.0,0.07,0.1,39.0,1347,1.109379453125,1.745,1.62,1.75,0.43625
LAZR,LAZR251121C00003000,Call,2025-11-21,3.0,0.06,0.09,9.0,9100,1.09375453125,1.745,1.62,1.75,0.5816666666666667
LAZR,LAZR251017C00001000,Call,2025-10-17,1.0,0.67,0.78,10.0,34,1.4375028125,1.745,1.62,1.75,1.745
