Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
MIDD,MIDD251219C00210000,Call,2025-12-19,210.0,0.0,2.5,1.0,11,0.5178270874023438,137.94,128.54,149.37,0.6568571428571428
MIDD,MIDD260320P00090000,Put,2026-03-20,90.0,0.4,3.2,1.0,6,0.5491378094482424,137.94,128.54,149.37,0.6524575902566333
MIDD,MIDD251219P00080000,Put,2025-12-19,80.0,0.45,2.7,2.0,5,0.7478052563476563,137.94,128.54,149.37,0.5799623024503407
MIDD,MIDD251219P00120000,Put,2025-12-19,120.0,1.05,4.4,4.0,4,0.4113828393554687,137.94,128.54,149.37,0.8699434536755111
MIDD,MIDD250919C00170000,Call,2025-09-19,170.0,0.6,4.1,1.0,7,1.1547893823242186,137.94,128.54,149.37,0.8114117647058824
MIDD,MIDD251219P00095000,Put,2025-12-19,95.0,0.0,2.4,1.0,18,0.5136767382812499,137.94,128.54,149.37,0.6887052341597796
MIDD,MIDD251219C00180000,Call,2025-12-19,180.0,0.0,2.9,1.0,18,0.4737601452636719,137.94,128.54,149.37,0.7663333333333333
MIDD,MIDD251219P00115000,Put,2025-12-19,115.0,0.05,3.5,5.0,17,0.4338435522460938,137.94,128.54,149.37,0.8336958097723648
MIDD,MIDD251219C00160000,Call,2025-12-19,160.0,0.8,4.8,10.0,10,0.4137021520996093,137.94,128.54,149.37,0.862125
MIDD,MIDD250919P00115000,Put,2025-09-19,115.0,0.0,1.35,10.0,28,0.7709983837890625,137.94,128.54,149.37,0.8336958097723648
MIDD,MIDD250919C00140000,Call,2025-09-19,140.0,0.4,4.5,28.0,19,0.56836369140625,137.94,128.54,149.37,0.9852857142857144
MIDD,MIDD260320P00095000,Put,2026-03-20,95.0,0.7,3.1,5.0,10,0.4913380944824219,137.94,128.54,149.37,0.6887052341597796
MIDD,MIDD250919C00150000,Call,2025-09-19,150.0,0.4,3.8,12.0,22,0.6428258374023439,137.94,128.54,149.37,0.9196
MIDD,MIDD250919C00160000,Call,2025-09-19,160.0,0.0,1.2,50.0,55,0.6162147753906251,137.94,128.54,149.37,0.862125
MIDD,MIDD260320P00120000,Put,2026-03-20,120.0,3.5,6.8,1.0,3,0.3753724572753906,137.94,128.54,149.37,0.8699434536755111
MIDD,MIDD250919C00145000,Call,2025-09-19,145.0,0.1,3.1,4.0,59,0.610599597167969,137.94,128.54,149.37,0.951310344827586
MIDD,MIDD250919P00140000,Put,2025-09-19,140.0,1.6,5.8,19.0,13,0.4882863671875,137.94,128.54,149.37,1.0149340292880964
MIDD,MIDD260320P00135000,Put,2026-03-20,135.0,8.6,11.6,,1,0.3297186169433593,137.94,128.54,149.37,0.97868638538495
MIDD,MIDD251219P00125000,Put,2025-12-19,125.0,2.1,5.3,5.0,7,0.3807434973144531,137.94,128.54,149.37,0.9061910975786576
MIDD,MIDD250919C00190000,Call,2025-09-19,190.0,0.0,2.4,1.0,124,1.2802770361328122,137.94,128.54,149.37,0.726
MIDD,MIDD250919P00135000,Put,2025-09-19,135.0,0.15,2.35,1.0,82,0.3844055700683593,137.94,128.54,149.37,0.97868638538495
MIDD,MIDD251219C00155000,Call,2025-12-19,155.0,3.0,6.3,4.0,7,0.4254207849121094,137.94,128.54,149.37,0.8899354838709678
