Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
SENS,SENS250919C00000500,Call,2025-09-19,0.5,0.0,0.05,6.0,3754,1.4375028125,0.4467,0.4457,0.4459,0.8934
SENS,SENS250919C00001000,Call,2025-09-19,1.0,0.0,0.05,93.0,357,3.8750003125,0.4467,0.4457,0.4459,0.4467
SENS,SENS250919P00000500,Put,2025-09-19,0.5,0.0,0.1,10.0,205,2.1250046874999997,0.4467,0.4457,0.4459,1.1193194537721065
SENS,SENS250919P00001000,Put,2025-09-19,1.0,0.0,0.0,,0,1.0000000000000003e-05,0.4467,0.4457,0.4459,2.238638907544213
SENS,SENS250919P00001500,Put,2025-09-19,1.5,1.0,1.1,2.0,75,6.0000025,0.4467,0.4457,0.4459,3.35795836131632
SENS,SENS250919P00002000,Put,2025-09-19,2.0,1.3,1.8,,0,13.625001484375,0.4467,0.4457,0.4459,4.477277815088426
SENS,SENS250919P00004000,Put,2025-09-19,4.0,3.4,3.7,,1,11.9375025390625,0.4467,0.4457,0.4459,8.954555630176852
SENS,SENS250919P00005000,Put,2025-09-19,5.0,2.55,4.7,,1,12.4375022265625,0.4467,0.4457,0.4459,11.193194537721066
SENS,SENS251017C00000500,Call,2025-10-17,0.5,0.0,0.05,74.0,2427,0.7500025,0.4467,0.4457,0.4459,0.8934
SENS,SENS251017C00001000,Call,2025-10-17,1.0,0.0,0.05,4.0,6820,2.0625048437499998,0.4467,0.4457,0.4459,0.4467
SENS,SENS251017C00001500,Call,2025-10-17,1.5,0.0,0.0,7.0,306,0.500005,0.4467,0.4457,0.4459,0.2978
SENS,SENS251017C00002000,Call,2025-10-17,2.0,0.0,0.0,15.0,0,0.500005,0.4467,0.4457,0.4459,0.22335
SENS,SENS251017C00003000,Call,2025-10-17,3.0,0.0,0.05,40.0,198,3.56250109375,0.4467,0.4457,0.4459,0.1489
SENS,SENS251017C00004000,Call,2025-10-17,4.0,0.0,0.0,30.0,0,0.500005,0.4467,0.4457,0.4459,0.111675
SENS,SENS251017P00000500,Put,2025-10-17,0.5,0.05,0.1,7.0,2331,0.6875031250000001,0.4467,0.4457,0.4459,1.1193194537721065
SENS,SENS251017P00001000,Put,2025-10-17,1.0,0.3,0.65,1.0,70,3.468751328125,0.4467,0.4457,0.4459,2.238638907544213
SENS,SENS251017P00001500,Put,2025-10-17,1.5,0.8,1.15,5.0,0,4.12500484375,0.4467,0.4457,0.4459,3.35795836131632
SENS,SENS251017P00004000,Put,2025-10-17,4.0,3.4,3.7,5.0,0,6.3437520703125,0.4467,0.4457,0.4459,8.954555630176852
SENS,SENS260116C00000500,Call,2026-01-16,0.5,0.1,0.15,44.0,18810,1.3750031249999999,0.4467,0.4457,0.4459,0.8934
SENS,SENS260116C00001000,Call,2026-01-16,1.0,0.0,0.05,4.0,23698,1.125004375,0.4467,0.4457,0.4459,0.4467
SENS,SENS260116C00001500,Call,2026-01-16,1.5,0.0,0.05,50.0,6486,1.46875265625,0.4467,0.4457,0.4459,0.2978
SENS,SENS260116C00002000,Call,2026-01-16,2.0,0.0,0.05,14.0,5263,1.65625171875,0.4467,0.4457,0.4459,0.22335
SENS,SENS260116C00003000,Call,2026-01-16,3.0,0.0,0.05,3.0,5667,1.9375003125,0.4467,0.4457,0.4459,0.1489
SENS,SENS260116C00004000,Call,2026-01-16,4.0,0.0,0.05,1.0,2760,2.1250046874999997,0.4467,0.4457,0.4459,0.111675
SENS,SENS260116C00005000,Call,2026-01-16,5.0,0.0,0.05,50.0,2959,2.2500043749999996,0.4467,0.4457,0.4459,0.08934
SENS,SENS260116P00000500,Put,2026-01-16,0.5,0.1,0.2,12.0,4361,1.09375453125,0.4467,0.4457,0.4459,1.1193194537721065
SENS,SENS260116P00001000,Put,2026-01-16,1.0,0.5,0.6,1.0,1545,1.40625296875,0.4467,0.4457,0.4459,2.238638907544213
SENS,SENS260116P00001500,Put,2026-01-16,1.5,1.0,1.1,1.0,113,1.75000125,0.4467,0.4457,0.4459,3.35795836131632
SENS,SENS260116P00002000,Put,2026-01-16,2.0,1.0,1.75,30.0,78,3.43750140625,0.4467,0.4457,0.4459,4.477277815088426
SENS,SENS260116P00003000,Put,2026-01-16,3.0,2.3,2.65,2.0,0,2.7968780078125004,0.4467,0.4457,0.4459,6.71591672263264
SENS,SENS260116P00004000,Put,2026-01-16,4.0,3.3,3.9,4.0,2,2.43750390625,0.4467,0.4457,0.4459,8.954555630176852
SENS,SENS260116P00005000,Put,2026-01-16,5.0,0.0,0.0,20.0,20,1.0000000000000003e-05,0.4467,0.4457,0.4459,11.193194537721066
SENS,SENS260417C00000500,Call,2026-04-17,0.5,0.1,0.15,57.0,2483,1.0468797656250002,0.4467,0.4457,0.4459,0.8934
SENS,SENS260417C00001000,Call,2026-04-17,1.0,0.05,0.1,36.0,736,1.2968785156249998,0.4467,0.4457,0.4459,0.4467
SENS,SENS260417C00001500,Call,2026-04-17,1.5,0.0,0.05,20.0,20,1.125004375,0.4467,0.4457,0.4459,0.2978
SENS,SENS260417C00002500,Call,2026-04-17,2.5,0.0,0.1,,1,1.65625171875,0.4467,0.4457,0.4459,0.17868
