Strike,Type,Expiry,IV Slope
1.5,Call,2025-09-19,-70.291745970906
1.5,Call,2025-09-26,-16.27523189287093
1.5,Call,2025-10-03,-5.321648181749045
1.5,Call,2025-10-10,0.5722349555273413
1.5,Put,2025-09-26,-17.645948848150258
1.5,Put,2025-10-03,-3.2819109546507828
1.5,Put,2025-10-10,3.333838052807125
2.5,Put,2025-09-19,
2.5,Put,2025-09-26,
2.5,Put,2025-10-24,
1.0,Call,2025-10-17,-37.29168353063655
1.0,Call,2025-11-21,-1.6618837526197838
1.0,Call,2026-01-16,-1.0804364116006104
1.0,Call,2026-02-20,-0.3382063152242797
1.0,Call,2027-01-15,-0.11639776867143269
1.0,Put,2026-01-16,-0.29377699100066884
1.0,Put,2027-01-15,0.32965185265393
2.0,Call,2025-09-19,-34.83054056027958
2.0,Call,2025-09-26,1.1310432379475686
2.0,Call,2025-10-03,-2.844757192958129
2.0,Call,2025-10-10,-2.4157587266730136
2.0,Call,2025-10-17,-5.037238707143419
2.0,Call,2025-11-21,0.054734951936584196
2.0,Call,2026-01-16,-0.3081453410471222
2.0,Call,2026-02-20,-0.38146265971720683
2.0,Call,2027-01-15,-0.0023928526428306936
2.0,Put,2025-09-19,
2.0,Put,2025-09-26,
2.0,Put,2025-10-03,4.492846091964875
2.0,Put,2025-10-17,-7.906521487902176
2.0,Put,2025-11-21,5.434937039400008
2.0,Put,2026-01-16,0.1105695848122282
2.0,Put,2026-02-20,0.013951735489971386
2.0,Put,2027-01-15,0.3143598413054473
4.0,Call,2026-02-20,-0.7245546185506289
4.0,Put,2025-11-21,
4.0,Put,2026-01-16,0.2908059288516693
4.0,Put,2026-02-20,-0.20938976949031077
3.0,Call,2025-11-21,-0.5360021725174069
3.0,Call,2026-01-16,-0.17323774899149338
3.0,Call,2026-02-20,-0.6015077664902954
3.0,Call,2027-01-15,-0.01469698407665854
3.0,Put,2025-09-19,
3.0,Put,2025-10-17,
3.0,Put,2025-11-21,1.7818137482538392
3.0,Put,2026-01-16,1.0631091546488178
3.0,Put,2026-02-20,-2.143438468956114
3.0,Put,2027-01-15,0.48662204181748
5.0,Call,2026-02-20,-1.1399447907499811
5.0,Call,2027-01-15,-0.02771370027542257
5.0,Put,2026-01-16,-1.0547233110759646
5.0,Put,2026-02-20,0.37781442340584104
5.0,Put,2027-01-15,0.18179424641289674
6.0,Put,2026-01-16,-1.2958580476985486
6.0,Put,2026-02-20,-0.44759639150604813
