Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
TEVA,TEVA250912P00018500,Put,2025-09-12,18.5,0.01,0.04,46.0,515,0.45313046875,19.68,19.85,19.71,0.940040650406504
TEVA,TEVA260618P00008000,Put,2026-06-18,8.0,0.04,0.09,18.0,54,0.5390671093750001,19.68,19.85,19.71,0.4065040650406504
TEVA,TEVA251219P00011000,Put,2025-12-19,11.0,0.0,0.1,23.0,50038,0.5820354296875,19.68,19.85,19.71,0.5589430894308943
TEVA,TEVA251219C00024000,Call,2025-12-19,24.0,0.0,0.37,32.0,50534,0.379889013671875,19.68,19.85,19.71,0.82
TEVA,TEVA260918P00013000,Put,2026-09-18,13.0,0.42,0.87,35.0,65,0.487309814453125,19.68,19.85,19.71,0.6605691056910569
TEVA,TEVA251010P00018000,Put,2025-10-10,18.0,0.18,0.27,8.0,12,0.387701435546875,19.68,19.85,19.71,0.9146341463414634
TEVA,TEVA250912P00019000,Put,2025-09-12,19.0,0.05,0.1,19.0,127,0.4160214648437499,19.68,19.85,19.71,0.9654471544715448
TEVA,TEVA250926P00018500,Put,2025-09-26,18.5,0.15,0.24,1.0,31,0.397466962890625,19.68,19.85,19.71,0.940040650406504
TEVA,TEVA250912C00012500,Call,2025-09-12,12.5,6.55,9.05,1.0,11,4.429691962890624,19.68,19.85,19.71,1.5744
TEVA,TEVA260918C00025000,Call,2026-09-18,25.0,1.11,1.94,5.0,72,0.45508357421875,19.68,19.85,19.71,0.7872
TEVA,TEVA251017P00016000,Put,2025-10-17,16.0,0.05,0.1,1.0,212,0.4570366796875,19.68,19.85,19.71,0.8130081300813008
TEVA,TEVA260220C00035000,Call,2026-02-20,35.0,0.07,0.17,850.0,850,0.5097705273437501,19.68,19.85,19.71,0.5622857142857143
TEVA,TEVA260618C00008000,Call,2026-06-18,8.0,8.15,10.6,14.0,9,1.0000000000000004e-05,19.68,19.85,19.71,2.46
TEVA,TEVA251219P00015000,Put,2025-12-19,15.0,0.18,0.42,2.0,1778,0.5293015820312501,19.68,19.85,19.71,0.7621951219512195
TEVA,TEVA251003P00018500,Put,2025-10-03,18.5,0.21,0.31,34.0,38,0.3808655664062499,19.68,19.85,19.71,0.940040650406504
TEVA,TEVA260220C00032000,Call,2026-02-20,32.0,0.12,0.22,20.0,404,0.47461462890625,19.68,19.85,19.71,0.615
TEVA,TEVA250919P00019500,Put,2025-09-19,19.5,0.32,0.42,5133.0,15,0.372076591796875,19.68,19.85,19.71,0.9908536585365854
TEVA,TEVA251017P00017000,Put,2025-10-17,17.0,0.09,0.18,10.0,1245,0.4169980175781249,19.68,19.85,19.71,0.8638211382113822
TEVA,TEVA251219C00023000,Call,2025-12-19,23.0,0.46,0.83,140.0,622,0.4648491015625,19.68,19.85,19.71,0.8556521739130435
TEVA,TEVA270115P00017000,Put,2027-01-15,17.0,1.33,2.6,10.0,1422,0.4514215014648438,19.68,19.85,19.71,0.8638211382113822
TEVA,TEVA250912C00015000,Call,2025-09-12,15.0,4.65,5.8,1.0,12,2.9414088964843748,19.68,19.85,19.71,1.312
TEVA,TEVA260618P00015000,Put,2026-06-18,15.0,0.49,0.8,50.0,287,0.4094297338867187,19.68,19.85,19.71,0.7621951219512195
TEVA,TEVA250926C00018000,Call,2025-09-26,18.0,1.53,2.21,1.0,140,0.710940390625,19.68,19.85,19.71,1.0933333333333333
TEVA,TEVA251003P00019000,Put,2025-10-03,19.0,0.35,0.42,11.0,12,0.3515689843749999,19.68,19.85,19.71,0.9654471544715448
TEVA,TEVA260116C00021000,Call,2026-01-16,21.0,0.73,1.38,11.0,6302,0.4077207666015625,19.68,19.85,19.71,0.9371428571428572
TEVA,TEVA250919P00018500,Put,2025-09-19,18.5,0.1,0.14,32.0,121,0.4062559375,19.68,19.85,19.71,0.940040650406504
TEVA,TEVA250912P00020000,Put,2025-09-12,20.0,0.41,0.48,23.0,9,0.3535220898437499,19.68,19.85,19.71,1.016260162601626
TEVA,TEVA251010C00017500,Call,2025-10-10,17.5,2.34,2.9,2.0,22,0.5644574804687501,19.68,19.85,19.71,1.1245714285714286
TEVA,TEVA250919C00011000,Call,2025-09-19,11.0,7.15,10.3,12.0,200,1.734376328125,19.68,19.85,19.71,1.789090909090909
TEVA,TEVA270115P00010000,Put,2027-01-15,10.0,0.2,0.34,5.0,3153,0.45313046875,19.68,19.85,19.71,0.508130081300813
TEVA,TEVA260320P00013000,Put,2026-03-20,13.0,0.2,0.25,1.0,31,0.4482477050781249,19.68,19.85,19.71,0.6605691056910569
TEVA,TEVA260116C00030000,Call,2026-01-16,30.0,0.08,0.13,64.0,2930,0.429693203125,19.68,19.85,19.71,0.656
TEVA,TEVA251017P00020000,Put,2025-10-17,20.0,0.95,1.09,98.0,9,0.3564517480468749,19.68,19.85,19.71,1.016260162601626
TEVA,TEVA260618P00013000,Put,2026-06-18,13.0,0.28,0.41,465.0,595,0.428716650390625,19.68,19.85,19.71,0.6605691056910569
TEVA,TEVA260918P00017000,Put,2026-09-18,17.0,1.3,1.93,5.0,950,0.4201718139648437,19.68,19.85,19.71,0.8638211382113822
TEVA,TEVA251219P00022000,Put,2025-12-19,22.0,2.3,2.83,20.0,37,0.3120185986328124,19.68,19.85,19.71,1.1178861788617886
TEVA,TEVA251121P00019000,Put,2025-11-21,19.0,0.75,1.08,39.0,693,0.4018614501953125,19.68,19.85,19.71,0.9654471544715448
TEVA,TEVA260618C00022000,Call,2026-06-18,22.0,1.53,2.46,41.0,5757,0.4819387744140625,19.68,19.85,19.71,0.8945454545454545
TEVA,TEVA251017C00022000,Call,2025-10-17,22.0,0.17,0.21,6.0,54,0.3515689843749999,19.68,19.85,19.71,0.8945454545454545
TEVA,TEVA250919P00017500,Put,2025-09-19,17.5,0.04,0.06,9.0,2097,0.4882863671875,19.68,19.85,19.71,0.8892276422764228
TEVA,TEVA251003C00018000,Call,2025-10-03,18.0,1.87,2.18,3.0,18,0.585941640625,19.68,19.85,19.71,1.0933333333333333
TEVA,TEVA260320C00030000,Call,2026-03-20,30.0,0.24,0.3,30.0,79,0.426763544921875,19.68,19.85,19.71,0.656
TEVA,TEVA260116P00014000,Put,2026-01-16,14.0,0.16,0.22,1.0,650,0.452153916015625,19.68,19.85,19.71,0.7113821138211383
TEVA,TEVA270115P00015000,Put,2027-01-15,15.0,1.04,1.49,7.0,2639,0.418951123046875,19.68,19.85,19.71,0.7621951219512195
TEVA,TEVA250912C00018500,Call,2025-09-12,18.5,1.2,1.55,112.0,298,0.7695335546875001,19.68,19.85,19.71,1.0637837837837838
TEVA,TEVA260220C00006000,Call,2026-02-20,6.0,11.8,14.05,2.0,52,1.3125034374999998,19.68,19.85,19.71,3.28
TEVA,TEVA251017C00014000,Call,2025-10-17,14.0,5.75,6.5,2.0,20,1.0253954980468751,19.68,19.85,19.71,1.4057142857142857
TEVA,TEVA250926C00020500,Call,2025-09-26,20.5,0.27,0.31,4.0,31,0.358404853515625,19.68,19.85,19.71,0.96
TEVA,TEVA260618P00017000,Put,2026-06-18,17.0,1.12,1.49,201.0,1364,0.4086973193359374,19.68,19.85,19.71,0.8638211382113822
TEVA,TEVA251003C00018500,Call,2025-10-03,18.5,1.47,1.72,10.0,55,0.5136767382812499,19.68,19.85,19.71,1.0637837837837838
TEVA,TEVA251003C00017500,Call,2025-10-03,17.5,2.25,2.53,1.0,20,0.577152666015625,19.68,19.85,19.71,1.1245714285714286
TEVA,TEVA251121C00019000,Call,2025-11-21,19.0,1.56,1.86,26.0,95,0.4311580322265625,19.68,19.85,19.71,1.0357894736842106
TEVA,TEVA250919C00020500,Call,2025-09-19,20.5,0.17,0.2,2611.0,69,0.36524072265625,19.68,19.85,19.71,0.96
TEVA,TEVA251219C00006000,Call,2025-12-19,6.0,11.9,14.0,5.0,72,1.609376953125,19.68,19.85,19.71,3.28
TEVA,TEVA270115C00032000,Call,2027-01-15,32.0,0.79,0.94,3.0,107,0.4091855957031249,19.68,19.85,19.71,0.615
TEVA,TEVA250926C00021000,Call,2025-09-26,21.0,0.15,0.18,13.0,156,0.3515689843749999,19.68,19.85,19.71,0.9371428571428572
TEVA,TEVA251017C00009000,Call,2025-10-17,9.0,10.7,12.55,74.0,98,2.5117224707031247,19.68,19.85,19.71,2.1866666666666665
TEVA,TEVA251017P00018000,Put,2025-10-17,18.0,0.25,0.32,33.0,1351,0.3779359082031249,19.68,19.85,19.71,0.9146341463414634
TEVA,TEVA250919C00021000,Call,2025-09-19,21.0,0.09,0.12,144.0,5087,0.3847717773437499,19.68,19.85,19.71,0.9371428571428572
TEVA,TEVA260116C00024000,Call,2026-01-16,24.0,0.5,0.58,3.0,83,0.3979552392578125,19.68,19.85,19.71,0.82
