Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
SO,SO250912C00090000,Call,2025-09-12,90.0,1.4,1.55,1.0,4.0,0.2124102197265625,91.21,90.22,91.74,1.0134444444444444
SO,SO250912C00091000,Call,2025-09-12,91.0,0.7,0.8,9.0,30.0,0.18116053222656248,91.21,90.22,91.74,1.0023076923076923
SO,SO250912C00092000,Call,2025-09-12,92.0,0.25,0.35,14.0,238.0,0.1757894921875,91.21,90.22,91.74,0.9914130434782608
SO,SO250912C00093000,Call,2025-09-12,93.0,0.0,0.15,71.0,125.0,0.1860432958984375,91.21,90.22,91.74,0.980752688172043
SO,SO250912C00094000,Call,2025-09-12,94.0,0.0,0.05,5.0,273.0,0.187508125,91.21,90.22,91.74,0.9703191489361701
SO,SO250912C00095000,Call,2025-09-12,95.0,0.0,0.05,125.0,69.0,0.23828886718749998,91.21,90.22,91.74,0.9601052631578947
SO,SO250912C00096000,Call,2025-09-12,96.0,0.0,1.55,1.0,198.0,0.63086306640625,91.21,90.22,91.74,0.9501041666666666
SO,SO250912C00097000,Call,2025-09-12,97.0,0.0,0.95,1.0,61.0,0.584965087890625,91.21,90.22,91.74,0.9403092783505154
SO,SO250912C00098000,Call,2025-09-12,98.0,0.0,1.15,3.0,1035.0,0.6899445068359377,91.21,90.22,91.74,0.9307142857142856
SO,SO250912C00099000,Call,2025-09-12,99.0,0.0,1.1,10.0,10.0,0.7407252490234374,91.21,90.22,91.74,0.9213131313131312
SO,SO250912P00080000,Put,2025-09-12,80.0,0.0,1.1,,2.0,1.0595750146484377,91.21,90.22,91.74,0.8770968095603553
SO,SO250912P00085000,Put,2025-09-12,85.0,0.0,0.35,10.0,5.0,0.5937540625000001,91.21,90.22,91.74,0.9319153601578775
SO,SO250912P00087000,Put,2025-09-12,87.0,0.0,1.35,1.0,2.0,0.5800823242187501,91.21,90.22,91.74,0.9538427803968864
SO,SO250912P00088000,Put,2025-09-12,88.0,0.0,0.5,5.0,16.0,0.43457596679687505,91.21,90.22,91.74,0.9648064905163908
SO,SO250912P00089000,Put,2025-09-12,89.0,0.0,0.15,33.0,535.0,0.21875781249999998,91.21,90.22,91.74,0.9757702006358953
SO,SO250912P00090000,Put,2025-09-12,90.0,0.1,0.3,46.0,45.0,0.1997150341796875,91.21,90.22,91.74,0.9867339107553997
SO,SO250912P00091000,Put,2025-09-12,91.0,0.4,0.5,12.0,48.0,0.157234990234375,91.21,90.22,91.74,0.9976976208749041
SO,SO250912P00092000,Put,2025-09-12,92.0,0.95,1.05,73.0,60.0,0.1489342919921875,91.21,90.22,91.74,1.0086613309944086
SO,SO250912P00093000,Put,2025-09-12,93.0,1.55,3.4,5.0,32.0,0.624027197265625,91.21,90.22,91.74,1.019625041113913
SO,SO250912P00094000,Put,2025-09-12,94.0,2.3,3.4,4.0,3.0,0.424810439453125,91.21,90.22,91.74,1.0305887512334175
SO,SO250912P00095000,Put,2025-09-12,95.0,3.0,4.0,,0.0,0.340826904296875,91.21,90.22,91.74,1.041552461352922
SO,SO250919C00045000,Call,2025-09-19,45.0,39.5,43.1,,0.0,1.0000000000000003e-05,91.21,90.22,91.74,2.0268888888888887
SO,SO250919C00050000,Call,2025-09-19,50.0,39.4,42.9,,0.0,2.8076201684570314,91.21,90.22,91.74,1.8241999999999998
SO,SO250919C00060000,Call,2025-09-19,60.0,29.4,32.9,5.0,0.0,2.1113328466796872,91.21,90.22,91.74,1.5201666666666667
SO,SO250919C00065000,Call,2025-09-19,65.0,24.8,28.9,1.0,0.0,1.3730500097656249,91.21,90.22,91.74,1.403230769230769
SO,SO250919C00070000,Call,2025-09-19,70.0,20.1,22.9,1.0,1.0,0.9414068359375,91.21,90.22,91.74,1.303
SO,SO250919C00072500,Call,2025-09-19,72.5,16.9,20.8,30.0,0.0,0.726565234375,91.21,90.22,91.74,1.2580689655172412
SO,SO250919C00075000,Call,2025-09-19,75.0,14.4,18.3,12.0,12.0,0.6367223828125,91.21,90.22,91.74,1.2161333333333333
SO,SO250919C00077500,Call,2025-09-19,77.5,11.9,15.7,3.0,3.0,0.5039112109375,91.21,90.22,91.74,1.1769032258064516
SO,SO250919C00080000,Call,2025-09-19,80.0,10.0,12.6,210.0,0.0,0.87500125,91.21,90.22,91.74,1.1401249999999998
SO,SO250919C00082000,Call,2025-09-19,82.0,7.5,10.2,,5.0,0.6718782812500002,91.21,90.22,91.74,1.1123170731707317
SO,SO250919C00082500,Call,2025-09-19,82.5,6.9,9.7,4.0,2.0,0.6469761865234375,91.21,90.22,91.74,1.1055757575757574
SO,SO250919C00083000,Call,2025-09-19,83.0,6.5,10.3,,9.0,0.8627943408203125,91.21,90.22,91.74,1.0989156626506023
SO,SO250919C00084000,Call,2025-09-19,84.0,6.1,7.6,2.0,2.0,0.41260353027343744,91.21,90.22,91.74,1.0858333333333332
SO,SO250919C00085000,Call,2025-09-19,85.0,5.8,7.6,1.0,29.0,0.6059609716796877,91.21,90.22,91.74,1.0730588235294116
SO,SO250919C00086000,Call,2025-09-19,86.0,4.5,5.7,,1.0,0.35352208984374994,91.21,90.22,91.74,1.0605813953488372
SO,SO250919C00087500,Call,2025-09-19,87.5,3.9,4.1,5.0,71.0,0.25977302734375,91.21,90.22,91.74,1.0424
SO,SO250919C00089000,Call,2025-09-19,89.0,2.55,3.0,1.0,0.0,0.26709717285156254,91.21,90.22,91.74,1.0248314606741573
SO,SO250919C00090000,Call,2025-09-19,90.0,1.65,1.95,3.0,2003.0,0.1997150341796875,91.21,90.22,91.74,1.0134444444444444
SO,SO250919C00091000,Call,2025-09-19,91.0,1.0,1.3,6.0,66.0,0.1889729541015625,91.21,90.22,91.74,1.0023076923076923
SO,SO250919C00092000,Call,2025-09-19,92.0,0.6,0.75,14.0,88.0,0.1733481103515625,91.21,90.22,91.74,0.9914130434782608
SO,SO250919C00092500,Call,2025-09-19,92.5,0.4,0.55,234.0,4282.0,0.16895362304687503,91.21,90.22,91.74,0.986054054054054
SO,SO250919C00093000,Call,2025-09-19,93.0,0.05,0.45,2.0,83.0,0.17652190673828128,91.21,90.22,91.74,0.980752688172043
SO,SO250919C00094000,Call,2025-09-19,94.0,0.1,0.2,33.0,385.0,0.165047412109375,91.21,90.22,91.74,0.9703191489361701
SO,SO250919C00095000,Call,2025-09-19,95.0,0.05,0.1,34.0,5893.0,0.16797707031250003,91.21,90.22,91.74,0.9601052631578947
SO,SO250919C00096000,Call,2025-09-19,96.0,0.0,0.75,40.0,423.0,0.37500625,91.21,90.22,91.74,0.9501041666666666
SO,SO250919C00097000,Call,2025-09-19,97.0,0.0,0.2,1.0,276.0,0.27149166015625,91.21,90.22,91.74,0.9403092783505154
SO,SO250919C00097500,Call,2025-09-19,97.5,0.0,0.15,62.0,5731.0,0.26856200195312496,91.21,90.22,91.74,0.9354871794871794
SO,SO250919C00098000,Call,2025-09-19,98.0,0.0,0.45,8.0,23.0,0.3833069482421875,91.21,90.22,91.74,0.9307142857142856
SO,SO250919C00099000,Call,2025-09-19,99.0,0.0,1.0,2.0,4.0,0.5537154003906251,91.21,90.22,91.74,0.9213131313131312
SO,SO250919C00100000,Call,2025-09-19,100.0,0.0,0.05,12.0,2190.0,0.27735097656249996,91.21,90.22,91.74,0.9120999999999999
SO,SO250919C00101000,Call,2025-09-19,101.0,0.0,0.95,,50.0,0.6201209863281252,91.21,90.22,91.74,0.903069306930693
SO,SO250919C00105000,Call,2025-09-19,105.0,0.0,0.95,2.0,180.0,0.6210975390625001,91.21,90.22,91.74,0.8686666666666666
SO,SO250919C00110000,Call,2025-09-19,110.0,0.0,1.5,1.0,253.0,0.8608412353515625,91.21,90.22,91.74,0.8291818181818181
SO,SO250919C00115000,Call,2025-09-19,115.0,0.0,1.4,20.0,10.0,0.9829103271484375,91.21,90.22,91.74,0.7931304347826087
SO,SO250919C00130000,Call,2025-09-19,130.0,0.0,3.1,100.0,350.0,1.6328143359374998,91.21,90.22,91.74,0.7016153846153845
SO,SO250919P00045000,Put,2025-09-19,45.0,0.0,2.15,1.0,2.0,2.853518491210937,91.21,90.22,91.74,0.49336695537769987
