Strike,Type,Expiry,IV Slope
105.0,Call,2026-01-16,0.04548969124440641
105.0,Call,2026-02-20,0.6822970566692904
110.0,Call,2025-11-21,-4.1544680237232186
110.0,Call,2026-01-16,0.022037438465943145
125.0,Call,2027-01-15,-0.03917683482263552
95.0,Call,2025-11-21,-0.9228025007811468
95.0,Call,2026-01-16,-0.7755229974883874
95.0,Call,2027-01-15,0.09555603080512325
95.0,Put,2025-10-17,
95.0,Put,2025-11-21,1.5833152044379184
95.0,Put,2027-01-15,-0.02298734327801465
75.0,Call,2025-11-21,-0.5446051907114249
75.0,Call,2026-01-16,-0.2937948370346952
75.0,Call,2027-01-15,-0.010415038961210028
75.0,Put,2025-10-17,-1.4940272548229319
75.0,Put,2025-11-21,0.8486492317862977
75.0,Put,2026-01-16,-0.18716506231161664
75.0,Put,2026-02-20,0.13160447220521596
70.0,Call,2026-01-16,-2.042041946955349
70.0,Put,2025-11-21,0.15227498149805618
70.0,Put,2026-01-16,-0.12372308404441032
70.0,Put,2027-01-15,0.26071062364789577
55.0,Put,2027-01-15,-0.020250510691261773
100.0,Call,2025-11-21,-2.1924009075073347
100.0,Call,2026-01-16,-0.2928271685221475
100.0,Call,2027-01-15,-0.08404595533614347
100.0,Call,2027-12-17,0.10343844249048893
100.0,Put,2025-11-21,-8.246617708298015
100.0,Put,2026-01-16,-0.0935570954940919
60.0,Call,2025-11-21,-4.423763493395384
60.0,Call,2026-01-16,-0.558664714294953
85.0,Call,2025-10-17,-0.7406074396444786
85.0,Call,2025-11-21,0.18916463803695266
85.0,Call,2026-01-16,-0.17452055099455907
85.0,Call,2026-02-20,-0.24201285631609673
85.0,Call,2027-01-15,-0.07819399990022373
85.0,Put,2025-11-21,0.06022919779284679
85.0,Put,2026-01-16,0.49719583333007283
85.0,Put,2027-01-15,-0.026397119198165054
90.0,Call,2025-10-17,-0.8753343226626322
90.0,Call,2025-11-21,0.1750136307885703
90.0,Call,2026-01-16,-0.03443021257121203
90.0,Call,2026-02-20,-0.4034502774548958
90.0,Call,2027-01-15,0.08179889784052244
90.0,Put,2025-10-17,
90.0,Put,2025-11-21,2.748292116084821
90.0,Put,2026-01-16,-1.1635449483981082
90.0,Put,2027-01-15,0.03292193399127341
80.0,Call,2025-10-17,-0.7017569294498509
80.0,Call,2025-11-21,-0.3761492953313797
80.0,Call,2026-01-16,0.15044506289050769
80.0,Call,2026-02-20,0.6895945055814288
80.0,Call,2027-01-15,-0.08523264202011406
80.0,Call,2027-12-17,-0.03165857106967987
80.0,Put,2025-10-17,-0.41972634789665275
80.0,Put,2025-11-21,0.10666973308041634
80.0,Put,2026-01-16,-0.05631366854744418
80.0,Put,2026-02-20,-0.25999958944417767
80.0,Put,2027-01-15,0.05452955939888712
65.0,Call,2026-01-16,0.4954589953458072
65.0,Call,2027-01-15,-0.08818894938001204
65.0,Put,2025-11-21,0.25881491643861637
50.0,Call,2027-01-15,
