Strike,Type,Expiry,IV Slope
25.0,Call,2026-01-16,
25.0,Call,2027-01-15,
110.0,Call,2026-12-18,-0.09747545666699928
20.0,Call,2027-01-15,
30.0,Call,2025-12-19,
30.0,Call,2026-01-16,
30.0,Call,2026-12-18,-0.25337467560247584
30.0,Call,2027-01-15,0.26361161079240675
30.0,Put,2027-01-15,-0.24034911025131778
40.0,Call,2025-12-19,-5.805334829112184
40.0,Call,2026-01-16,-2.00764744647919
40.0,Call,2026-03-20,-0.0908551743952512
40.0,Call,2026-12-18,-0.08303566658477712
40.0,Call,2027-01-15,0.11002173652027827
40.0,Call,2027-12-17,-0.02025003660163844
40.0,Put,2026-01-16,-0.8373515421770009
40.0,Put,2026-12-18,0.1705447245438079
40.0,Put,2027-01-15,-1.2404668370609626
90.0,Call,2026-12-18,-0.10391029860090797
90.0,Call,2027-01-15,0.3298619719355111
38.0,Call,2025-12-19,
38.0,Call,2026-12-18,
38.0,Call,2027-01-15,
38.0,Put,2026-12-18,-0.08641889724402359
38.0,Put,2027-01-15,2.2525919015572575
80.0,Call,2026-12-18,0.024034541494649068
80.0,Call,2027-01-15,-1.6248796697006613
47.0,Call,2025-10-17,-6.543020834593726
47.0,Call,2025-12-19,0.7619372535789409
47.0,Call,2026-01-16,-2.622742585730941
47.0,Call,2026-12-18,0.0464177361895698
47.0,Call,2027-01-15,
47.0,Put,2026-01-16,-1.0761622959174764
47.0,Put,2026-12-18,0.19750475280819846
47.0,Put,2027-01-15,4.25555676867101
48.0,Call,2025-12-19,-1.618858018352066
48.0,Call,2026-01-16,-0.9984100295001316
48.0,Put,2025-12-19,-1.134021615640965
48.0,Put,2026-01-16,-0.315298091916082
44.0,Call,2025-12-19,
50.0,Call,2025-10-17,-3.2988435939636176
50.0,Call,2025-12-19,0.13211708290011417
50.0,Call,2026-01-16,-0.3440098525897804
50.0,Call,2026-03-20,0.2454643043267261
50.0,Call,2026-12-18,-0.049637280412028056
50.0,Call,2027-01-15,-0.19190030414856166
50.0,Call,2027-12-17,-0.022970152458184227
50.0,Put,2025-12-19,0.3410966600195242
50.0,Put,2026-01-16,-0.25534175917495316
50.0,Put,2026-12-18,0.02579057160279999
50.0,Put,2027-01-15,0.03017740722827872
100.0,Call,2027-01-15,-0.09516110002772513
85.0,Call,2026-01-16,-0.3112064251510207
85.0,Call,2027-01-15,-0.07561389856245249
45.0,Call,2025-12-19,-2.554823904044254
45.0,Call,2026-01-16,-1.5764391807236764
45.0,Call,2026-12-18,-0.03892576578735882
45.0,Call,2027-01-15,-0.3952265035802302
45.0,Call,2027-12-17,-0.0005970781982259832
45.0,Put,2026-01-16,-0.717423543369408
45.0,Put,2027-01-15,0.00012004293225500487
