Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
DXCM,DXCM250919C00090000,Call,2025-09-19,90.0,0.0,0.25,8.0,2614,0.5800823242187501,76.0,70.13,82.35,0.8444444444444444
DXCM,DXCM250919P00065000,Put,2025-09-19,65.0,0.0,0.1,3.0,2615,0.5390671093750001,76.0,70.13,82.35,0.8552631578947368
DXCM,DXCM251003C00085000,Call,2025-10-03,85.0,0.25,0.4,1.0,7,0.358404853515625,76.0,70.13,82.35,0.8941176470588236
DXCM,DXCM261218P00045000,Put,2026-12-18,45.0,1.6,2.85,1.0,16,0.4866994689941406,76.0,70.13,82.35,0.5921052631578947
DXCM,DXCM250919C00085000,Call,2025-09-19,85.0,0.05,0.45,48.0,4218,0.5747112841796875,76.0,70.13,82.35,0.8941176470588236
DXCM,DXCM251017C00090000,Call,2025-10-17,90.0,0.1,0.3,509.0,215,0.3569400244140625,76.0,70.13,82.35,0.8444444444444444
DXCM,DXCM260618C00180000,Call,2026-06-18,180.0,0.6,1.0,2.0,15,0.5471236694335939,76.0,70.13,82.35,0.4222222222222222
DXCM,DXCM250912C00078000,Call,2025-09-12,78.0,0.25,0.5,10.0,46,0.450200810546875,76.0,70.13,82.35,0.9743589743589745
DXCM,DXCM250912C00071000,Call,2025-09-12,71.0,5.0,7.2,,10,1.1103560107421877,76.0,70.13,82.35,1.0704225352112675
DXCM,DXCM250912P00073000,Put,2025-09-12,73.0,0.1,0.3,6.0,916,0.473638076171875,76.0,70.13,82.35,0.9605263157894736
DXCM,DXCM251003C00084000,Call,2025-10-03,84.0,0.3,0.5,7.0,30,0.3549869189453124,76.0,70.13,82.35,0.9047619047619048
DXCM,DXCM250926C00083000,Call,2025-09-26,83.0,0.25,0.4,10.0,35,0.36133451171875,76.0,70.13,82.35,0.9156626506024096
DXCM,DXCM260918C00120000,Call,2026-09-18,120.0,2.0,2.5,5.0,6,0.4011290356445312,76.0,70.13,82.35,0.6333333333333333
DXCM,DXCM250919C00082000,Call,2025-09-19,82.0,0.15,0.3,6.0,450,0.3901428173828125,76.0,70.13,82.35,0.926829268292683
DXCM,DXCM250926P00070000,Put,2025-09-26,70.0,0.35,0.5,1.0,27,0.3813538427734374,76.0,70.13,82.35,0.9210526315789472
DXCM,DXCM251010C00085000,Call,2025-10-10,85.0,0.35,0.65,382.0,383,0.366217275390625,76.0,70.13,82.35,0.8941176470588236
DXCM,DXCM251003C00078000,Call,2025-10-03,78.0,1.6,2.4,14.0,56,0.4196835375976562,76.0,70.13,82.35,0.9743589743589745
DXCM,DXCM251024P00078000,Put,2025-10-24,78.0,4.2,5.6,3.0,18,0.4204159521484375,76.0,70.13,82.35,1.0263157894736843
DXCM,DXCM261218P00065000,Put,2026-12-18,65.0,5.8,7.5,1.0,15,0.3889831610107421,76.0,70.13,82.35,0.8552631578947368
DXCM,DXCM250926C00081000,Call,2025-09-26,81.0,0.5,0.65,12.0,16,0.3481510498046875,76.0,70.13,82.35,0.9382716049382716
DXCM,DXCM261218P00050000,Put,2026-12-18,50.0,2.8,3.9,5.0,35,0.4688773815917969,76.0,70.13,82.35,0.6578947368421053
DXCM,DXCM250926C00082000,Call,2025-09-26,82.0,0.35,0.5,50.0,48,0.3520572607421874,76.0,70.13,82.35,0.926829268292683
DXCM,DXCM260618C00135000,Call,2026-06-18,135.0,0.9,1.2,1.0,26,0.4425104577636719,76.0,70.13,82.35,0.562962962962963
DXCM,DXCM260918P00055000,Put,2026-09-18,55.0,2.75,3.7,1.0,30,0.4307918249511719,76.0,70.13,82.35,0.7236842105263158
DXCM,DXCM250912P00085000,Put,2025-09-12,85.0,4.3,5.1,15.0,7,1.0000000000000004e-05,76.0,70.13,82.35,1.118421052631579
DXCM,DXCM250912P00076000,Put,2025-09-12,76.0,0.9,1.4,135.0,294,0.5092822509765625,76.0,70.13,82.35,1.0
DXCM,DXCM261218P00040000,Put,2026-12-18,40.0,1.05,1.5,4.0,107,0.463872548828125,76.0,70.13,82.35,0.5263157894736842
DXCM,DXCM250919P00095000,Put,2025-09-19,95.0,17.0,20.7,3.0,15,1.3852569799804684,76.0,70.13,82.35,1.25
DXCM,DXCM251017P00065000,Put,2025-10-17,65.0,0.35,0.45,5.0,37,0.3891662646484375,76.0,70.13,82.35,0.8552631578947368
DXCM,DXCM250912C00077000,Call,2025-09-12,77.0,0.5,0.75,11.0,340,0.42774009765625,76.0,70.13,82.35,0.987012987012987
DXCM,DXCM251017C00085000,Call,2025-10-17,85.0,0.5,0.7,116.0,146,0.3388737988281249,76.0,70.13,82.35,0.8941176470588236
DXCM,DXCM260618C00130000,Call,2026-06-18,130.0,1.15,1.55,1.0,85,0.449102188720703,76.0,70.13,82.35,0.5846153846153846
DXCM,DXCM260116C00115000,Call,2026-01-16,115.0,0.35,0.5,10.0,219,0.4255428540039063,76.0,70.13,82.35,0.6608695652173913
DXCM,DXCM250919C00081000,Call,2025-09-19,81.0,0.25,0.4,3.0,1175,0.379889013671875,76.0,70.13,82.35,0.9382716049382716
DXCM,DXCM261218P00090000,Put,2026-12-18,90.0,16.0,18.5,1.0,9,0.2688671746826171,76.0,70.13,82.35,1.1842105263157894
DXCM,DXCM261218C00145000,Call,2026-12-18,145.0,6.5,7.6,10.0,11,0.6282385809326172,76.0,70.13,82.35,0.5241379310344828
DXCM,DXCM261218C00110000,Call,2026-12-18,110.0,3.8,5.2,2.0,149,0.4162045684814452,76.0,70.13,82.35,0.6909090909090909
DXCM,DXCM250919P00072000,Put,2025-09-19,72.0,0.4,0.55,9.0,163,0.393560751953125,76.0,70.13,82.35,0.9473684210526316
DXCM,DXCM250912C00072000,Call,2025-09-12,72.0,4.0,5.3,2.0,96,0.770510107421875,76.0,70.13,82.35,1.0555555555555556
DXCM,DXCM250912P00075000,Put,2025-09-12,75.0,0.5,0.7,15.0,273,0.414068359375,76.0,70.13,82.35,0.986842105263158
DXCM,DXCM251219C00105000,Call,2025-12-19,105.0,0.45,0.6,3.0,170,0.4157773266601562,76.0,70.13,82.35,0.7238095238095238
DXCM,DXCM260320C00115000,Call,2026-03-20,115.0,1.2,1.5,40.0,59,0.4525201232910156,76.0,70.13,82.35,0.6608695652173913
DXCM,DXCM250919P00074000,Put,2025-09-19,74.0,0.85,1.05,16.0,56,0.3803772900390625,76.0,70.13,82.35,0.9736842105263158
DXCM,DXCM260618P00055000,Put,2026-06-18,55.0,2.6,3.4,1.0,186,0.4781546325683594,76.0,70.13,82.35,0.7236842105263158
DXCM,DXCM261218P00085000,Put,2026-12-18,85.0,14.6,16.4,4.0,9,0.3149482568359374,76.0,70.13,82.35,1.118421052631579
DXCM,DXCM250919P00070000,Put,2025-09-19,70.0,0.2,0.3,5.0,3158,0.4223690576171874,76.0,70.13,82.35,0.9210526315789472
DXCM,DXCM260618P00045000,Put,2026-06-18,45.0,1.15,1.45,3.0,119,0.5009815527343751,76.0,70.13,82.35,0.5921052631578947
DXCM,DXCM260918P00050000,Put,2026-09-18,50.0,2.45,2.75,1.0,10,0.4544732287597656,76.0,70.13,82.35,0.6578947368421053
DXCM,DXCM261218C00120000,Call,2026-12-18,120.0,7.5,9.3,2.0,91,0.5704999005126954,76.0,70.13,82.35,0.6333333333333333
DXCM,DXCM250926P00073000,Put,2025-09-26,73.0,0.95,1.1,11.0,23,0.3579165771484375,76.0,70.13,82.35,0.9605263157894736
DXCM,DXCM260116C00110000,Call,2026-01-16,110.0,0.55,0.7,8.0,194,0.4206600903320313,76.0,70.13,82.35,0.6909090909090909
DXCM,DXCM260320C00100000,Call,2026-03-20,100.0,2.1,2.6,665.0,112,0.4173642248535155,76.0,70.13,82.35,0.76
DXCM,DXCM260320C00110000,Call,2026-03-20,110.0,1.1,1.4,10.0,207,0.4112607702636719,76.0,70.13,82.35,0.6909090909090909
DXCM,DXCM250919P00071000,Put,2025-09-19,71.0,0.3,0.4,2.0,575,0.405279384765625,76.0,70.13,82.35,0.9342105263157896
DXCM,DXCM270115P00050000,Put,2027-01-15,50.0,3.1,3.7,1.0,52,0.4454401159667969,76.0,70.13,82.35,0.6578947368421053
DXCM,DXCM270115P00040000,Put,2027-01-15,40.0,1.4,1.75,6.0,152,0.4714408325195312,76.0,70.13,82.35,0.5263157894736842
DXCM,DXCM251219C00100000,Call,2025-12-19,100.0,0.6,0.85,11.0,2790,0.403326279296875,76.0,70.13,82.35,0.76
DXCM,DXCM251010C00080000,Call,2025-10-10,80.0,1.3,1.6,,119,0.3542545043945311,76.0,70.13,82.35,0.95
DXCM,DXCM250926C00077000,Call,2025-09-26,77.0,1.7,1.95,4.0,24,0.367193828125,76.0,70.13,82.35,0.987012987012987
DXCM,DXCM251219P00055000,Put,2025-12-19,55.0,0.65,0.85,1.0,551,0.4931691308593751,76.0,70.13,82.35,0.7236842105263158
DXCM,DXCM250919C00079000,Call,2025-09-19,79.0,0.6,0.75,2809.0,219,0.3676821044921875,76.0,70.13,82.35,0.9620253164556962
DXCM,DXCM250926P00075000,Put,2025-09-26,75.0,1.6,1.8,6.0,17,0.348639326171875,76.0,70.13,82.35,0.986842105263158
DXCM,DXCM260320P00100000,Put,2026-03-20,100.0,18.1,20.3,1.0,16,1.0000000000000004e-05,76.0,70.13,82.35,1.3157894736842106
DXCM,DXCM250926C00079000,Call,2025-09-26,79.0,1.0,1.15,21.0,31,0.352545537109375,76.0,70.13,82.35,0.9620253164556962
DXCM,DXCM261218C00130000,Call,2026-12-18,130.0,2.05,2.55,38.0,221,0.4007628283691406,76.0,70.13,82.35,0.5846153846153846
DXCM,DXCM261218C00115000,Call,2026-12-18,115.0,3.6,4.2,1.0,46,0.4057676611328125,76.0,70.13,82.35,0.6608695652173913
DXCM,DXCM250919C00080000,Call,2025-09-19,80.0,0.4,0.55,25.0,3037,0.3735414208984374,76.0,70.13,82.35,0.95
DXCM,DXCM260320P00045000,Put,2026-03-20,45.0,0.75,0.9,1.0,108,0.5212450219726561,76.0,70.13,82.35,0.5921052631578947
DXCM,DXCM260918P00090000,Put,2026-09-18,90.0,14.1,16.0,,26,0.2052081433105468,76.0,70.13,82.35,1.1842105263157894
DXCM,DXCM270115P00075000,Put,2027-01-15,75.0,11.1,14.3,200.0,752,0.4271907867431641,76.0,70.13,82.35,0.986842105263158
DXCM,DXCM251003C00079000,Call,2025-10-03,79.0,1.35,1.5,8.0,15,0.3461979443359374,76.0,70.13,82.35,0.9620253164556962
DXCM,DXCM261218P00055000,Put,2026-12-18,55.0,4.5,5.0,4.0,16,0.4447077014160155,76.0,70.13,82.35,0.7236842105263158
DXCM,DXCM260618C00115000,Call,2026-06-18,115.0,1.65,1.9,4.0,46,0.399420068359375,76.0,70.13,82.35,0.6608695652173913
DXCM,DXCM260320P00075000,Put,2026-03-20,75.0,6.5,8.1,4.0,516,0.3946593737792969,76.0,70.13,82.35,0.986842105263158
DXCM,DXCM260116P00055000,Put,2026-01-16,55.0,1.0,1.25,1.0,580,0.4890187817382813,76.0,70.13,82.35,0.7236842105263158
DXCM,DXCM251010P00073000,Put,2025-10-10,73.0,1.5,1.7,3.0,35,0.3420475952148437,76.0,70.13,82.35,0.9605263157894736
DXCM,DXCM260918C00115000,Call,2026-09-18,115.0,2.6,3.0,6.0,61,0.4008848974609375,76.0,70.13,82.35,0.6608695652173913
DXCM,DXCM270115C00125000,Call,2027-01-15,125.0,2.8,3.4,1.0,297,0.4063780065917969,76.0,70.13,82.35,0.608
DXCM,DXCM260618C00120000,Call,2026-06-18,120.0,1.25,1.5,1.0,250,0.3989317919921875,76.0,70.13,82.35,0.6333333333333333
