Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
RIG,RIG250912C00000500,Call,2025-09-12,0.5,2.13,3.85,9.0,43,26.250001796875004,3.24,3.22,3.23,6.48
RIG,RIG250912C00001000,Call,2025-09-12,1.0,2.03,2.48,1.0,104,7.125001093750001,3.24,3.22,3.23,3.24
RIG,RIG250912C00002000,Call,2025-09-12,2.0,1.13,1.25,4.0,3,3.0000025,3.24,3.22,3.23,1.62
RIG,RIG250912C00002500,Call,2025-09-12,2.5,0.61,0.75,1.0,61,1.75000125,3.24,3.22,3.23,1.296
RIG,RIG250912C00003000,Call,2025-09-12,3.0,0.23,0.26,237.0,1242,0.5625043750000001,3.24,3.22,3.23,1.08
RIG,RIG250912C00003500,Call,2025-09-12,3.5,0.0,0.01,15.0,967,0.5625043750000001,3.24,3.22,3.23,0.9257142857142858
RIG,RIG250912C00004000,Call,2025-09-12,4.0,0.0,0.04,10.0,84,1.65625171875,3.24,3.22,3.23,0.81
RIG,RIG250912C00004500,Call,2025-09-12,4.5,0.0,0.02,5.0,11,2.000005,3.24,3.22,3.23,0.7200000000000001
RIG,RIG250912C00005000,Call,2025-09-12,5.0,0.0,0.1,,1,3.50000125,3.24,3.22,3.23,0.648
RIG,RIG250912C00005500,Call,2025-09-12,5.5,0.0,0.92,1.0,8,8.53125466796875,3.24,3.22,3.23,0.5890909090909091
RIG,RIG250912C00006000,Call,2025-09-12,6.0,0.0,0.01,1.0,10,3.0000025,3.24,3.22,3.23,0.54
RIG,RIG250912P00000500,Put,2025-09-12,0.5,0.0,0.01,1.0,2,9.5000040625,3.24,3.22,3.23,0.15432098765432098
RIG,RIG250912P00001000,Put,2025-09-12,1.0,0.0,0.01,27.0,12,6.0000025,3.24,3.22,3.23,0.30864197530864196
RIG,RIG250912P00001500,Put,2025-09-12,1.5,0.0,0.01,3.0,7,4.000005,3.24,3.22,3.23,0.4629629629629629
RIG,RIG250912P00002000,Put,2025-09-12,2.0,0.0,0.01,1.0,2,2.6250034375,3.24,3.22,3.23,0.6172839506172839
RIG,RIG250912P00002500,Put,2025-09-12,2.5,0.0,0.01,1.0,81,1.5000025,3.24,3.22,3.23,0.7716049382716049
RIG,RIG250912P00003000,Put,2025-09-12,3.0,0.01,0.02,19.0,628,0.7812521875,3.24,3.22,3.23,0.9259259259259258
RIG,RIG250912P00003500,Put,2025-09-12,3.5,0.25,0.29,7.0,74,0.6875031250000001,3.24,3.22,3.23,1.0802469135802468
RIG,RIG250919C00000500,Call,2025-09-19,0.5,2.05,2.98,2.0,4,14.062501210937501,3.24,3.22,3.23,6.48
RIG,RIG250919C00001500,Call,2025-09-19,1.5,1.53,1.56,,4,1.0000000000000003e-05,3.24,3.22,3.23,2.16
RIG,RIG250919C00002000,Call,2025-09-19,2.0,1.22,1.33,2.0,33,2.1250046874999997,3.24,3.22,3.23,1.62
RIG,RIG250919C00002500,Call,2025-09-19,2.5,0.71,0.77,4.0,389,0.500005,3.24,3.22,3.23,1.296
RIG,RIG250919C00003000,Call,2025-09-19,3.0,0.25,0.3,119.0,3968,0.57812921875,3.24,3.22,3.23,1.08
RIG,RIG250919C00003500,Call,2025-09-19,3.5,0.03,0.04,706.0,6396,0.5625043750000001,3.24,3.22,3.23,0.9257142857142858
RIG,RIG250919C00004000,Call,2025-09-19,4.0,0.0,0.01,6.0,1587,0.6875031250000001,3.24,3.22,3.23,0.81
RIG,RIG250919C00004500,Call,2025-09-19,4.5,0.0,0.02,1.0,82,1.09375453125,3.24,3.22,3.23,0.7200000000000001
RIG,RIG250919C00005000,Call,2025-09-19,5.0,0.0,0.15,5.0,353,2.1406296484375,3.24,3.22,3.23,0.648
RIG,RIG250919C00005500,Call,2025-09-19,5.5,0.0,0.75,1.0,24,4.2500046875,3.24,3.22,3.23,0.5890909090909091
RIG,RIG250919C00006000,Call,2025-09-19,6.0,0.0,0.75,,175,4.570316787109375,3.24,3.22,3.23,0.54
RIG,RIG250919P00000500,Put,2025-09-19,0.5,0.0,0.01,1.0,2,5.000003749999999,3.24,3.22,3.23,0.15432098765432098
RIG,RIG250919P00001000,Put,2025-09-19,1.0,0.0,0.01,2.0,122,3.2500018749999997,3.24,3.22,3.23,0.30864197530864196
RIG,RIG250919P00002000,Put,2025-09-19,2.0,0.0,0.01,1.0,6,1.4375028125,3.24,3.22,3.23,0.6172839506172839
RIG,RIG250919P00002500,Put,2025-09-19,2.5,0.0,0.02,33.0,1412,0.9687503125,3.24,3.22,3.23,0.7716049382716049
RIG,RIG250919P00003000,Put,2025-09-19,3.0,0.04,0.06,86.0,1892,0.6718782812500002,3.24,3.22,3.23,0.9259259259259258
RIG,RIG250919P00003500,Put,2025-09-19,3.5,0.28,0.32,9.0,289,0.5937540625000001,3.24,3.22,3.23,1.0802469135802468
RIG,RIG250919P00004000,Put,2025-09-19,4.0,0.75,0.88,5.0,17,1.21875390625,3.24,3.22,3.23,1.2345679012345678
RIG,RIG250919P00005000,Put,2025-09-19,5.0,1.67,1.9,9.0,0,1.625001875,3.24,3.22,3.23,1.5432098765432098
RIG,RIG250926C00002000,Call,2025-09-26,2.0,1.13,1.31,1.0,1,1.984375078125,3.24,3.22,3.23,1.62
RIG,RIG250926C00002500,Call,2025-09-26,2.5,0.67,0.77,1.0,8,0.9687503125,3.24,3.22,3.23,1.296
RIG,RIG250926C00003000,Call,2025-09-26,3.0,0.24,0.33,50.0,515,0.6953155468750001,3.24,3.22,3.23,1.08
RIG,RIG250926C00003500,Call,2025-09-26,3.5,0.04,0.09,118.0,1655,0.5625043750000001,3.24,3.22,3.23,0.9257142857142858
RIG,RIG250926C00004000,Call,2025-09-26,4.0,0.01,0.02,1.0,90,0.6562534375000001,3.24,3.22,3.23,0.81
RIG,RIG250926C00004500,Call,2025-09-26,4.5,0.0,0.04,10.0,22,0.9687503125,3.24,3.22,3.23,0.7200000000000001
RIG,RIG250926C00005000,Call,2025-09-26,5.0,0.0,0.95,1.0,3,3.3515641210937495,3.24,3.22,3.23,0.648
RIG,RIG250926C00005500,Call,2025-09-26,5.5,0.0,0.38,,1,2.49219126953125,3.24,3.22,3.23,0.5890909090909091
RIG,RIG250926P00001000,Put,2025-09-26,1.0,0.0,0.53,,23,6.734376582031251,3.24,3.22,3.23,0.30864197530864196
RIG,RIG250926P00001500,Put,2025-09-26,1.5,0.0,0.22,4.0,67,3.3281266796874993,3.24,3.22,3.23,0.4629629629629629
RIG,RIG250926P00002000,Put,2025-09-26,2.0,0.0,0.01,82.0,99,1.125004375,3.24,3.22,3.23,0.6172839506172839
RIG,RIG250926P00002500,Put,2025-09-26,2.5,0.0,0.1,5.0,203,1.125004375,3.24,3.22,3.23,0.7716049382716049
RIG,RIG250926P00003000,Put,2025-09-26,3.0,0.05,0.08,301.0,875,0.585941640625,3.24,3.22,3.23,0.9259259259259258
RIG,RIG250926P00003500,Put,2025-09-26,3.5,0.3,0.36,2.0,42,0.585941640625,3.24,3.22,3.23,1.0802469135802468
RIG,RIG250926P00004000,Put,2025-09-26,4.0,0.76,0.82,2.0,2,0.7812521875,3.24,3.22,3.23,1.2345679012345678
RIG,RIG251003C00002500,Call,2025-10-03,2.5,0.0,0.8,,3,1.000005,3.24,3.22,3.23,1.296
RIG,RIG251003C00003000,Call,2025-10-03,3.0,0.31,0.57,1.0,292,0.9609378906249999,3.24,3.22,3.23,1.08
RIG,RIG251003C00003500,Call,2025-10-03,3.5,0.07,0.11,2042.0,2276,0.5625043750000001,3.24,3.22,3.23,0.9257142857142858
RIG,RIG251003C00004000,Call,2025-10-03,4.0,0.01,0.05,13.0,28,0.6562534375000001,3.24,3.22,3.23,0.81
RIG,RIG251003C00004500,Call,2025-10-03,4.5,0.0,0.03,1.0,159,0.7656273437500001,3.24,3.22,3.23,0.7200000000000001
RIG,RIG251003C00005000,Call,2025-10-03,5.0,0.0,0.95,,3,2.82031544921875,3.24,3.22,3.23,0.648
RIG,RIG251003P00001000,Put,2025-10-03,1.0,0.0,0.22,12.0,37,4.0468799414062495,3.24,3.22,3.23,0.30864197530864196
RIG,RIG251003P00001500,Put,2025-10-03,1.5,0.0,0.01,154.0,600,1.4375028125,3.24,3.22,3.23,0.4629629629629629
RIG,RIG251003P00003000,Put,2025-10-03,3.0,0.09,0.11,21.0,68,0.6171913281250001,3.24,3.22,3.23,0.9259259259259258
RIG,RIG251003P00004000,Put,2025-10-03,4.0,0.77,0.82,2.0,2,0.6875031250000001,3.24,3.22,3.23,1.2345679012345678
RIG,RIG251010C00003000,Call,2025-10-10,3.0,0.33,0.39,13.0,129,0.6054726953125001,3.24,3.22,3.23,1.08
RIG,RIG251010C00003500,Call,2025-10-10,3.5,0.09,0.12,23.0,189,0.5390671093750001,3.24,3.22,3.23,0.9257142857142858
RIG,RIG251010C00004000,Call,2025-10-10,4.0,0.02,0.05,3.0,27,0.6015664843750002,3.24,3.22,3.23,0.81
RIG,RIG251010P00002500,Put,2025-10-10,2.5,0.0,0.06,30.0,75,0.7187528125,3.24,3.22,3.23,0.7716049382716049
RIG,RIG251010P00003000,Put,2025-10-10,3.0,0.08,0.14,40.0,126,0.57812921875,3.24,3.22,3.23,0.9259259259259258
RIG,RIG251017C00002000,Call,2025-10-17,2.0,1.24,1.27,22.0,922,0.9062509375,3.24,3.22,3.23,1.62
RIG,RIG251017C00002500,Call,2025-10-17,2.5,0.7,0.8,27.0,302,0.500005,3.24,3.22,3.23,1.296
RIG,RIG251017C00003000,Call,2025-10-17,3.0,0.35,0.39,45.0,2302,0.5742230078125,3.24,3.22,3.23,1.08
RIG,RIG251017C00003500,Call,2025-10-17,3.5,0.13,0.15,1243.0,53226,0.5742230078125,3.24,3.22,3.23,0.9257142857142858
RIG,RIG251017C00004000,Call,2025-10-17,4.0,0.02,0.06,157.0,754,0.5625043750000001,3.24,3.22,3.23,0.81
RIG,RIG251017C00004500,Call,2025-10-17,4.5,0.01,0.03,2.0,234,0.6562534375000001,3.24,3.22,3.23,0.7200000000000001
RIG,RIG251017C00005000,Call,2025-10-17,5.0,0.0,0.05,1.0,50,0.8437515624999999,3.24,3.22,3.23,0.648
RIG,RIG251017C00005500,Call,2025-10-17,5.5,0.0,0.05,1.0,103,0.9687503125,3.24,3.22,3.23,0.5890909090909091
RIG,RIG251017C00006000,Call,2025-10-17,6.0,0.0,0.27,,1,1.6328143359374998,3.24,3.22,3.23,0.54
RIG,RIG251017P00001000,Put,2025-10-17,1.0,0.0,0.23,2.0,55,3.2656268359375,3.24,3.22,3.23,0.30864197530864196
RIG,RIG251017P00001500,Put,2025-10-17,1.5,0.0,0.01,10.0,46,1.125004375,3.24,3.22,3.23,0.4629629629629629
RIG,RIG251017P00002000,Put,2025-10-17,2.0,0.0,0.01,3.0,300,0.7500025,3.24,3.22,3.23,0.6172839506172839
RIG,RIG251017P00002500,Put,2025-10-17,2.5,0.02,0.04,18.0,145,0.64062859375,3.24,3.22,3.23,0.7716049382716049
