Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
U,U250912C00020000,Call,2025-09-12,20.0,21.6,25.15,9.0,15,5.12500359375,43.1,42.97,43.03,2.1550000000000002
U,U250912C00022500,Call,2025-09-12,22.5,19.4,22.65,9.0,12,4.878910151367187,43.1,42.97,43.03,1.9155555555555557
U,U250912C00024000,Call,2025-09-12,24.0,17.6,21.15,1.0,20,4.050786186523437,43.1,42.97,43.03,1.7958333333333334
U,U250912C00025000,Call,2025-09-12,25.0,17.45,19.4,1.0,46,3.9531251171874997,43.1,42.97,43.03,1.724
U,U250912C00026000,Call,2025-09-12,26.0,16.45,18.4,1.0,71,3.71093822265625,43.1,42.97,43.03,1.6576923076923078
U,U250912C00027000,Call,2025-09-12,27.0,15.55,17.4,1.0,106,3.5976572558593753,43.1,42.97,43.03,1.5962962962962963
U,U250912C00027500,Call,2025-09-12,27.5,14.95,16.9,3.0,51,3.3671890820312496,43.1,42.97,43.03,1.5672727272727274
U,U250912C00028000,Call,2025-09-12,28.0,13.7,17.15,4.0,15,3.253908115234375,43.1,42.97,43.03,1.5392857142857144
U,U250912C00028500,Call,2025-09-12,28.5,13.1,15.95,3.0,14,4.769535288085937,43.1,42.97,43.03,1.512280701754386
U,U250912C00029000,Call,2025-09-12,29.0,12.8,15.35,4.0,22,4.496098129882812,43.1,42.97,43.03,1.486206896551724
U,U250912C00029500,Call,2025-09-12,29.5,13.0,14.9,2.0,32,2.9843775390625,43.1,42.97,43.03,1.4610169491525424
U,U250912C00030000,Call,2025-09-12,30.0,12.45,14.4,3.0,77,2.824221689453125,43.1,42.97,43.03,1.4366666666666668
U,U250912C00030500,Call,2025-09-12,30.5,11.4,13.95,11.0,52,2.0156299609375,43.1,42.97,43.03,1.4131147540983606
U,U250912C00031000,Call,2025-09-12,31.0,11.45,13.45,2.0,47,2.6679720800781253,43.1,42.97,43.03,1.3903225806451613
U,U250912C00031500,Call,2025-09-12,31.5,10.95,12.95,2.0,61,2.566409833984375,43.1,42.97,43.03,1.3682539682539683
U,U250912C00032000,Call,2025-09-12,32.0,10.6,12.3,3.0,73,2.464847587890625,43.1,42.97,43.03,1.346875
U,U250912C00032500,Call,2025-09-12,32.5,9.95,11.9,1.0,33,2.3164104589843744,43.1,42.97,43.03,1.3261538461538462
U,U250912C00033000,Call,2025-09-12,33.0,8.85,11.4,1.0,19,1.359378203125,43.1,42.97,43.03,1.3060606060606061
U,U250912C00033500,Call,2025-09-12,33.5,7.8,10.95,1.0,12,3.394532763671875,43.1,42.97,43.03,1.2865671641791045
U,U250912C00034000,Call,2025-09-12,34.0,8.45,10.4,2.0,78,2.025395561523437,43.1,42.97,43.03,1.2676470588235293
U,U250912C00034500,Call,2025-09-12,34.5,7.95,9.9,55.0,58,1.9296878515625,43.1,42.97,43.03,1.2492753623188406
U,U250912C00035000,Call,2025-09-12,35.0,7.45,9.45,2.0,92,1.873047509765625,43.1,42.97,43.03,1.2314285714285715
U,U250912C00035500,Call,2025-09-12,35.5,7.0,8.8,62.0,75,1.703126484375,43.1,42.97,43.03,1.2140845070422535
U,U250912C00036000,Call,2025-09-12,36.0,5.85,8.3,3.0,270,2.615237836914063,43.1,42.97,43.03,1.1972222222222222
U,U250912C00036500,Call,2025-09-12,36.5,5.5,7.9,2.0,97,1.15625421875,43.1,42.97,43.03,1.1808219178082193
U,U250912C00037000,Call,2025-09-12,37.0,5.3,7.0,110.0,768,0.937500625,43.1,42.97,43.03,1.164864864864865
U,U250912C00037500,Call,2025-09-12,37.5,4.8,5.7,8.0,1773,1.0039112304687499,43.1,42.97,43.03,1.1493333333333333
U,U250912C00038000,Call,2025-09-12,38.0,5.05,5.2,22.0,799,0.710940390625,43.1,42.97,43.03,1.1342105263157896
U,U250912C00038500,Call,2025-09-12,38.5,3.9,4.7,3.0,1050,0.851563984375,43.1,42.97,43.03,1.1194805194805195
U,U250912C00039000,Call,2025-09-12,39.0,3.4,4.95,80.0,914,0.7226590234375,43.1,42.97,43.03,1.1051282051282052
U,U250912C00040000,Call,2025-09-12,40.0,3.15,3.55,51.0,3107,0.81445498046875,43.1,42.97,43.03,1.0775000000000001
U,U250912C00041000,Call,2025-09-12,41.0,2.2,2.61,44.0,4641,0.6796907031250001,43.1,42.97,43.03,1.051219512195122
U,U250912C00042000,Call,2025-09-12,42.0,1.49,1.69,169.0,1806,0.6103554589843752,43.1,42.97,43.03,1.0261904761904763
U,U250912C00043000,Call,2025-09-12,43.0,1.05,1.11,207.0,6120,0.6611362011718751,43.1,42.97,43.03,1.0023255813953489
U,U250912C00044000,Call,2025-09-12,44.0,0.64,0.68,968.0,16264,0.6660189648437502,43.1,42.97,43.03,0.9795454545454546
U,U250912C00045000,Call,2025-09-12,45.0,0.39,0.43,1394.0,16599,0.6972686523437501,43.1,42.97,43.03,0.9577777777777778
U,U250912C00046000,Call,2025-09-12,46.0,0.23,0.26,1149.0,5391,0.7226590234375,43.1,42.97,43.03,0.9369565217391305
U,U250912C00047000,Call,2025-09-12,47.0,0.13,0.17,227.0,1229,0.7539087109375,43.1,42.97,43.03,0.9170212765957447
U,U250912C00048000,Call,2025-09-12,48.0,0.08,0.14,84.0,1274,0.8164080859374999,43.1,42.97,43.03,0.8979166666666667
U,U250912C00049000,Call,2025-09-12,49.0,0.05,0.09,487.0,1012,0.8476577734374999,43.1,42.97,43.03,0.8795918367346939
U,U250912C00050000,Call,2025-09-12,50.0,0.04,0.12,837.0,3508,0.9765627343750001,43.1,42.97,43.03,0.862
U,U250912C00051000,Call,2025-09-12,51.0,0.0,0.5,3748.0,3973,1.3906280468749999,43.1,42.97,43.03,0.8450980392156863
U,U250912C00052000,Call,2025-09-12,52.0,0.0,0.26,11.0,143,1.2968785156249998,43.1,42.97,43.03,0.8288461538461539
U,U250912C00053000,Call,2025-09-12,53.0,0.0,0.35,5.0,131,1.4882838085937498,43.1,42.97,43.03,0.8132075471698114
U,U250912C00054000,Call,2025-09-12,54.0,0.0,0.3,1.0,18,1.5390648046875,43.1,42.97,43.03,0.7981481481481482
U,U250912C00055000,Call,2025-09-12,55.0,0.01,0.09,8.0,1094,1.3437532812499997,43.1,42.97,43.03,0.7836363636363637
U,U250912C00056000,Call,2025-09-12,56.0,0.01,0.1,13.0,183,1.4453152734375,43.1,42.97,43.03,0.7696428571428572
U,U250912C00057000,Call,2025-09-12,57.0,0.0,0.49,1.0,84,2.0117237207031247,43.1,42.97,43.03,0.756140350877193
U,U250912C00058000,Call,2025-09-12,58.0,0.0,0.1,2.0,288,1.5781271093749998,43.1,42.97,43.03,0.743103448275862
U,U250912C00059000,Call,2025-09-12,59.0,0.0,0.1,9.0,515,1.65625171875,43.1,42.97,43.03,0.7305084745762712
U,U250912C00060000,Call,2025-09-12,60.0,0.0,0.03,55.0,2195,1.46875265625,43.1,42.97,43.03,0.7183333333333334
U,U250912P00025000,Put,2025-09-12,25.0,0.0,0.59,10.0,19,3.86718783203125,43.1,42.97,43.03,0.580046403712297
U,U250912P00026000,Put,2025-09-12,26.0,0.0,0.61,14.0,15,3.6562508593750005,43.1,42.97,43.03,0.6032482598607889
U,U250912P00027000,Put,2025-09-12,27.0,0.0,0.65,1.0,3,3.480470048828125,43.1,42.97,43.03,0.6264501160092807
U,U250912P00028000,Put,2025-09-12,28.0,0.0,0.67,2.0,2663,3.2773455566406247,43.1,42.97,43.03,0.6496519721577726
U,U250912P00028500,Put,2025-09-12,28.5,0.0,0.08,1.0,43,2.1406296484375,43.1,42.97,43.03,0.6612529002320185
U,U250912P00029000,Put,2025-09-12,29.0,0.0,0.74,1.0,325,3.13281466796875,43.1,42.97,43.03,0.6728538283062645
U,U250912P00029500,Put,2025-09-12,29.5,0.0,0.02,1.0,10,1.65625171875,43.1,42.97,43.03,0.6844547563805105
U,U250912P00030000,Put,2025-09-12,30.0,0.0,0.75,1.0,99,2.925783935546875,43.1,42.97,43.03,0.6960556844547564
U,U250912P00030500,Put,2025-09-12,30.5,0.0,1.07,20.0,25,3.1015647460937497,43.1,42.97,43.03,0.7076566125290022
U,U250912P00031000,Put,2025-09-12,31.0,0.0,1.12,27.0,42,3.031252421875,43.1,42.97,43.03,0.7192575406032482
U,U250912P00031500,Put,2025-09-12,31.5,0.0,1.27,16.0,32,3.0292993017578125,43.1,42.97,43.03,0.7308584686774942
U,U250912P00032000,Put,2025-09-12,32.0,0.0,0.8,8.0,56,2.550784873046875,43.1,42.97,43.03,0.7424593967517401
U,U250912P00032500,Put,2025-09-12,32.5,0.0,0.94,96.0,112,2.56250359375,43.1,42.97,43.03,0.7540603248259861
U,U250912P00033000,Put,2025-09-12,33.0,0.0,0.36,4.0,315,1.92578162109375,43.1,42.97,43.03,0.765661252900232
