Strike,Type,Expiry,IV Slope
16.5,Call,2025-09-19,
16.5,Call,2025-09-26,
16.5,Call,2025-10-03,
16.5,Call,2025-10-10,
16.5,Call,2025-10-24,2.5768333634934226
16.5,Put,2025-09-19,-88.38526577107353
16.5,Put,2025-09-26,-12.780014611182116
16.5,Put,2025-10-03,-5.106871776100515
16.5,Put,2025-10-10,-2.2684550497182094
19.0,Call,2025-10-17,0.5620828450551862
19.0,Call,2025-10-24,-0.3613631313408604
19.0,Call,2025-12-19,0.35360627713512927
19.0,Call,2026-01-16,0.15122919020293704
19.0,Call,2026-03-20,0.020350590219189457
19.0,Put,2025-09-19,-151.06447228221165
19.0,Put,2025-10-17,-12.072734574481949
19.0,Put,2025-12-19,-1.319748115030771
19.0,Put,2026-01-16,-0.48899209581844605
19.0,Put,2026-03-20,-0.18713581299922774
22.0,Call,2025-12-19,-0.13709422692354303
22.0,Call,2026-01-16,0.0075134964902765534
22.0,Call,2026-03-20,-0.0739131428035966
22.0,Call,2026-05-15,-0.10613493074855081
22.0,Call,2027-06-17,-0.02242349927547816
22.0,Call,2027-12-17,-0.007532199077329232
22.0,Put,2025-10-03,-28.206808201547197
22.0,Put,2025-12-19,-3.391431975357637
22.0,Put,2026-01-16,-0.768535874124266
22.0,Put,2026-03-20,-0.4280577684018302
22.0,Put,2026-06-18,-0.22724723810410652
22.0,Put,2027-01-15,-0.07536454116986395
22.0,Put,2027-12-17,-0.009666041804463074
19.5,Call,2025-10-10,-1.885620174332004
19.5,Call,2025-10-24,0.02425193125648896
37.0,Call,2026-01-16,-0.7373542818519464
37.0,Put,2026-09-18,-0.6325878782528043
37.0,Put,2027-01-15,-0.08142961177919535
7.0,Call,2025-12-19,
7.0,Call,2026-01-16,
7.0,Call,2026-03-20,
29.0,Call,2026-03-20,-0.28561463185274233
29.0,Put,2026-01-16,0.2608944070167087
8.0,Call,2025-12-19,
8.0,Call,2026-01-16,
8.0,Call,2026-03-20,
8.0,Call,2026-06-18,
