Strike,Type,Expiry,IV Slope
40.0,Call,2025-12-19,-7.667938833094612
45.0,Call,2025-12-19,-7.87417194020267
30.0,Call,2025-12-19,-1.3272016562277351
30.0,Call,2026-03-20,0.3259471617090052
30.0,Put,2025-12-19,-1.6889493454555005
35.0,Call,2025-12-19,-3.11818697843276
35.0,Put,2025-12-19,-7.576551449930426
25.0,Call,2025-10-17,-0.13472844200433548
25.0,Call,2025-12-19,-0.30840066413810385
25.0,Call,2026-03-20,0.9078496403343591
25.0,Put,2025-10-17,-0.6754768154917021
25.0,Put,2025-12-19,0.5109739477545553
25.0,Put,2026-03-20,0.467064453888161
22.5,Call,2025-10-17,
20.0,Call,2026-03-20,-0.12216803050584012
