Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
BILI,BILI250919P00023500,Put,2025-09-19,23.5,0.3,0.4,37.0,118,0.523442265625,24.45,24.34,24.56,0.9611451942740288
BILI,BILI250919P00023000,Put,2025-09-19,23.0,0.18,0.28,195.0,1526,0.5429733203125001,24.45,24.34,24.56,0.9406952965235174
BILI,BILI250919C00027500,Call,2025-09-19,27.5,0.12,0.17,1.0,383,0.6269568554687501,24.45,24.34,24.56,0.889090909090909
BILI,BILI251024P00023000,Put,2025-10-24,23.0,0.92,1.16,1.0,53,0.507817421875,24.45,24.34,24.56,0.9406952965235174
BILI,BILI250926C00027000,Call,2025-09-26,27.0,0.33,0.43,11.0,96,0.5908244042968751,24.45,24.34,24.56,0.9055555555555556
BILI,BILI270115P00008000,Put,2027-01-15,8.0,0.24,0.35,4.0,672,0.6435582519531251,24.45,24.34,24.56,0.32719836400818
BILI,BILI250912C00020000,Call,2025-09-12,20.0,4.0,4.95,5.0,46,1.421877890625,24.45,24.34,24.56,1.2225
BILI,BILI251010P00022000,Put,2025-10-10,22.0,0.38,0.46,13.0,36,0.506840869140625,24.45,24.34,24.56,0.899795501022495
BILI,BILI260417P00015000,Put,2026-04-17,15.0,0.46,0.56,2.0,46,0.55273884765625,24.45,24.34,24.56,0.6134969325153374
BILI,BILI251003P00022000,Put,2025-10-03,22.0,0.28,0.33,6.0,25,0.5029346582031251,24.45,24.34,24.56,0.899795501022495
BILI,BILI260116P00016000,Put,2026-01-16,16.0,0.25,0.33,2.0,243,0.5507857421875001,24.45,24.34,24.56,0.65439672801636
BILI,BILI250926P00024000,Put,2025-09-26,24.0,0.74,0.9,56.0,50,0.508793974609375,24.45,24.34,24.56,0.98159509202454
BILI,BILI250926C00025500,Call,2025-09-26,25.5,0.63,0.76,10.0,45,0.5488326367187502,24.45,24.34,24.56,0.9588235294117646
BILI,BILI251017C00010000,Call,2025-10-17,10.0,12.8,15.35,30.0,41,2.6250034375,24.45,24.34,24.56,2.445
BILI,BILI251003P00021500,Put,2025-10-03,21.5,0.2,0.24,23.0,45,0.507817421875,24.45,24.34,24.56,0.8793456032719836
BILI,BILI250926P00022500,Put,2025-09-26,22.5,0.26,0.34,11.0,284,0.5019581054687501,24.45,24.34,24.56,0.9202453987730062
BILI,BILI250919C00026500,Call,2025-09-19,26.5,0.21,0.26,5.0,94,0.57617611328125,24.45,24.34,24.56,0.9226415094339624
BILI,BILI250926P00025000,Put,2025-09-26,25.0,1.2,1.43,20.0,46,0.5498091894531252,24.45,24.34,24.56,1.0224948875255624
BILI,BILI251017C00031000,Call,2025-10-17,31.0,0.27,0.35,18.0,321,0.6250037500000001,24.45,24.34,24.56,0.7887096774193548
BILI,BILI270115C00040000,Call,2027-01-15,40.0,2.23,2.92,31.0,481,0.5617719604492188,24.45,24.34,24.56,0.61125
BILI,BILI250926P00023000,Put,2025-09-26,23.0,0.38,0.49,49.0,406,0.5039112109375,24.45,24.34,24.56,0.9406952965235174
BILI,BILI251010C00027500,Call,2025-10-10,27.5,0.52,0.6,,30,0.5590864404296876,24.45,24.34,24.56,0.889090909090909
BILI,BILI250926C00026000,Call,2025-09-26,26.0,0.51,0.64,14.0,230,0.5664105859375,24.45,24.34,24.56,0.9403846153846154
BILI,BILI251003P00023500,Put,2025-10-03,23.5,0.7,0.79,1.0,22,0.5029346582031251,24.45,24.34,24.56,0.9611451942740288
BILI,BILI251017P00020000,Put,2025-10-17,20.0,0.16,0.21,31.0,1666,0.5097705273437501,24.45,24.34,24.56,0.8179959100204499
BILI,BILI251010P00023000,Put,2025-10-10,23.0,0.66,0.75,31.0,34,0.499028447265625,24.45,24.34,24.56,0.9406952965235174
BILI,BILI250919C00021500,Call,2025-09-19,21.5,2.72,3.1,4.0,38,0.6992217578125001,24.45,24.34,24.56,1.1372093023255814
BILI,BILI251024P00022000,Put,2025-10-24,22.0,0.59,0.69,1.0,81,0.507817421875,24.45,24.34,24.56,0.899795501022495
BILI,BILI260618P00017000,Put,2026-06-18,17.0,1.01,1.27,10.0,708,0.526371923828125,24.45,24.34,24.56,0.6952965235173825
BILI,BILI260618P00013000,Put,2026-06-18,13.0,0.39,0.48,2.0,409,0.5722699023437501,24.45,24.34,24.56,0.5316973415132924
BILI,BILI251017C00030000,Call,2025-10-17,30.0,0.33,0.42,123.0,1273,0.5996133789062501,24.45,24.34,24.56,0.815
BILI,BILI251121P00021000,Put,2025-11-21,21.0,0.79,0.91,4.0,67,0.5361374511718751,24.45,24.34,24.56,0.8588957055214724
BILI,BILI250919C00010000,Call,2025-09-19,10.0,13.75,15.35,10.0,27,3.1171897070312498,24.45,24.34,24.56,2.445
BILI,BILI260116C00045000,Call,2026-01-16,45.0,0.35,0.43,1.0,509,0.6870148486328126,24.45,24.34,24.56,0.5433333333333333
BILI,BILI251121P00019000,Put,2025-11-21,19.0,0.36,0.45,60.0,893,0.5478560839843751,24.45,24.34,24.56,0.7770961145194274
BILI,BILI260116C00047000,Call,2026-01-16,47.0,0.3,0.38,1.0,1520,0.700198310546875,24.45,24.34,24.56,0.5202127659574468
BILI,BILI270115P00027000,Put,2027-01-15,27.0,6.6,7.65,100.0,101,0.5373581420898439,24.45,24.34,24.56,1.1042944785276074
BILI,BILI251003P00022500,Put,2025-10-03,22.5,0.39,0.44,8.0,43,0.4960987890625,24.45,24.34,24.56,0.9202453987730062
BILI,BILI260320P00015000,Put,2026-03-20,15.0,0.39,0.46,2.0,213,0.56055126953125,24.45,24.34,24.56,0.6134969325153374
BILI,BILI250919C00013000,Call,2025-09-19,13.0,10.7,12.35,5.0,108,2.1718795703125,24.45,24.34,24.56,1.8807692307692307
BILI,BILI251017C00029000,Call,2025-10-17,29.0,0.45,0.52,10.0,127,0.585941640625,24.45,24.34,24.56,0.843103448275862
BILI,BILI271217C00030000,Call,2027-12-17,30.0,6.55,7.85,4.0,452,0.6179237426757813,24.45,24.34,24.56,0.815
BILI,BILI271217P00015000,Put,2027-12-17,15.0,2.1,2.37,2.0,59,0.508793974609375,24.45,24.34,24.56,0.6134969325153374
BILI,BILI251121C00030000,Call,2025-11-21,30.0,0.85,1.0,614.0,246,0.6035195898437502,24.45,24.34,24.56,0.815
BILI,BILI251121P00025000,Put,2025-11-21,25.0,2.41,2.7,1.0,47,0.5190477783203125,24.45,24.34,24.56,1.0224948875255624
BILI,BILI270115P00010000,Put,2027-01-15,10.0,0.48,0.55,4.0,109,0.6074258007812501,24.45,24.34,24.56,0.4089979550102249
BILI,BILI251003C00027000,Call,2025-10-03,27.0,0.48,0.55,1.0,112,0.5625043750000001,24.45,24.34,24.56,0.9055555555555556
BILI,BILI250912C00024500,Call,2025-09-12,24.5,0.3,0.35,372.0,219,0.51758294921875,24.45,24.34,24.56,0.9979591836734694
