Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
FOUR,FOUR250919C00100000,Call,2025-09-19,100.0,0.05,0.3,2.0,589,0.5488326367187502,86.93,86.4,88.0,0.8693000000000001
FOUR,FOUR260320C00120000,Call,2026-03-20,120.0,2.15,3.3,1.0,6,0.4774222180175781,86.93,86.4,88.0,0.7244166666666667
FOUR,FOUR251219P00070000,Put,2025-12-19,70.0,1.7,2.5,1.0,7,0.5151415673828125,86.93,86.4,88.0,0.8052455999079718
FOUR,FOUR270115C00160000,Call,2027-01-15,160.0,2.2,4.6,4.0,49,0.485356708984375,86.93,86.4,88.0,0.5433125000000001
FOUR,FOUR270115P00065000,Put,2027-01-15,65.0,4.0,9.0,3.0,71,0.5191698474121094,86.93,86.4,88.0,0.7477280570574024
FOUR,FOUR270115C00170000,Call,2027-01-15,170.0,1.15,5.0,2500.0,2311,0.5273484765625001,86.93,86.4,88.0,0.5113529411764707
FOUR,FOUR260417C00110000,Call,2026-04-17,110.0,3.7,5.6,5.0,12,0.4735770416259766,86.93,86.4,88.0,0.7902727272727273
FOUR,FOUR251017C00097500,Call,2025-10-17,97.5,0.7,1.9,3.0,354,0.4868215380859375,86.93,86.4,88.0,0.8915897435897436
FOUR,FOUR250919C00077500,Call,2025-09-19,77.5,7.7,11.5,10.0,12,1.081547561035156,86.93,86.4,88.0,1.121677419354839
FOUR,FOUR250919P00080000,Put,2025-09-19,80.0,0.15,0.35,4.0,233,0.45117736328125,86.93,86.4,88.0,0.9202806856091108
FOUR,FOUR260116P00072500,Put,2026-01-16,72.5,2.55,4.9,3.0,73,0.5664105859375,86.93,86.4,88.0,0.8340043713332566
FOUR,FOUR250919C00075000,Call,2025-09-19,75.0,10.1,13.4,5.0,6,1.0864303491210938,86.93,86.4,88.0,1.1590666666666667
FOUR,FOUR251017C00105000,Call,2025-10-17,105.0,0.15,0.35,2.0,300,0.3950255810546875,86.93,86.4,88.0,0.8279047619047619
FOUR,FOUR250919C00095000,Call,2025-09-19,95.0,0.15,0.45,6.0,1314,0.4965870654296875,86.93,86.4,88.0,0.9150526315789476
FOUR,FOUR260116C00130000,Call,2026-01-16,130.0,0.45,1.0,2.0,278,0.4730277307128906,86.93,86.4,88.0,0.6686923076923077
FOUR,FOUR270115C00155000,Call,2027-01-15,155.0,8.0,13.0,1.0,38,0.644107562866211,86.93,86.4,88.0,0.5608387096774194
FOUR,FOUR260320C00115000,Call,2026-03-20,115.0,2.8,4.1,3.0,18,0.4802298071289062,86.93,86.4,88.0,0.7559130434782609
FOUR,FOUR270115P00060000,Put,2027-01-15,60.0,3.9,6.5,3.0,60,0.5006763800048828,86.93,86.4,88.0,0.690210514206833
FOUR,FOUR251017P00072500,Put,2025-10-17,72.5,0.35,0.55,2.0,40,0.4492242578124999,86.93,86.4,88.0,0.8340043713332566
FOUR,FOUR251219C00115000,Call,2025-12-19,115.0,1.0,1.5,7.0,33,0.4646049633789063,86.93,86.4,88.0,0.7559130434782609
FOUR,FOUR270115C00150000,Call,2027-01-15,150.0,3.2,5.3,16.0,78,0.4772391143798828,86.93,86.4,88.0,0.5795333333333333
FOUR,FOUR270115C00180000,Call,2027-01-15,180.0,1.65,4.9,6.0,10638,0.5501143621826172,86.93,86.4,88.0,0.4829444444444445
FOUR,FOUR260116P00067500,Put,2026-01-16,67.5,1.6,2.5,3.0,66,0.5034229345703125,86.93,86.4,88.0,0.7764868284826871
FOUR,FOUR250919C00092500,Call,2025-09-19,92.5,0.2,0.45,15.0,1695,0.3916076464843749,86.93,86.4,88.0,0.939783783783784
FOUR,FOUR251017P00075000,Put,2025-10-17,75.0,0.5,0.75,3.0,68,0.422857333984375,86.93,86.4,88.0,0.8627631427585413
FOUR,FOUR250919P00082500,Put,2025-09-19,82.5,0.35,0.6,5.0,335,0.399420068359375,86.93,86.4,88.0,0.9490394570343954
FOUR,FOUR250919C00080000,Call,2025-09-19,80.0,6.8,9.4,8.0,38,0.6948272705078126,86.93,86.4,88.0,1.0866250000000002
FOUR,FOUR270115P00097500,Put,2027-01-15,97.5,19.6,23.4,,7,0.4170590521240234,86.93,86.4,88.0,1.1215920855861037
FOUR,FOUR251017C00100000,Call,2025-10-17,100.0,0.45,0.75,6.0,371,0.3898986791992188,86.93,86.4,88.0,0.8693000000000001
FOUR,FOUR260116C00072500,Call,2026-01-16,72.5,16.3,20.2,2.0,12,0.6201209863281252,86.93,86.4,88.0,1.1990344827586208
FOUR,FOUR250919P00097500,Put,2025-09-19,97.5,8.9,11.8,11.0,28,0.8256853369140623,86.93,86.4,88.0,1.1215920855861037
FOUR,FOUR270115C00175000,Call,2027-01-15,175.0,1.85,3.6,2500.0,2501,0.4898732653808594,86.93,86.4,88.0,0.4967428571428572
FOUR,FOUR250919C00062500,Call,2025-09-19,62.5,23.1,27.0,1.0,6,1.4921900390624998,86.93,86.4,88.0,1.39088
FOUR,FOUR270115C00077500,Call,2027-01-15,77.5,22.7,26.4,1.0,6,0.5195665719604492,86.93,86.4,88.0,1.121677419354839
FOUR,FOUR260417C00100000,Call,2026-04-17,100.0,6.9,8.3,5.0,10,0.4836477416992188,86.93,86.4,88.0,0.8693000000000001
FOUR,FOUR260417C00065000,Call,2026-04-17,65.0,24.4,28.6,,7,0.5451705639648439,86.93,86.4,88.0,1.3373846153846154
FOUR,FOUR270115P00095000,Put,2027-01-15,95.0,18.3,21.8,1.0,9,0.4191952612304687,86.93,86.4,88.0,1.0928333141608189
FOUR,FOUR270115C00135000,Call,2027-01-15,135.0,5.6,6.6,2.0,8,0.4621635815429688,86.93,86.4,88.0,0.643925925925926
FOUR,FOUR251219C00070000,Call,2025-12-19,70.0,18.2,21.4,1.0,8,0.5461471166992189,86.93,86.4,88.0,1.241857142857143
FOUR,FOUR270115C00165000,Call,2027-01-15,165.0,2.4,4.3,2502.0,2283,0.4892629199218751,86.93,86.4,88.0,0.5268484848484849
FOUR,FOUR251017P00077500,Put,2025-10-17,77.5,0.8,1.05,1.0,44,0.4006407592773437,86.93,86.4,88.0,0.891521914183826
FOUR,FOUR270115C00120000,Call,2027-01-15,120.0,7.5,9.9,2.0,58,0.4841360180664062,86.93,86.4,88.0,0.7244166666666667
FOUR,FOUR250919C00070000,Call,2025-09-19,70.0,15.1,19.0,10.0,29,0.75195560546875,86.93,86.4,88.0,1.241857142857143
FOUR,FOUR250919C00055000,Call,2025-09-19,55.0,30.0,34.1,5.0,6,1.43359658203125,86.93,86.4,88.0,1.5805454545454547
FOUR,FOUR260320P00100000,Put,2026-03-20,100.0,16.9,18.9,1.0,5,0.4165097412109374,86.93,86.4,88.0,1.1503508570113885
FOUR,FOUR251219C00105000,Call,2025-12-19,105.0,2.2,2.75,1.0,37,0.4544732287597656,86.93,86.4,88.0,0.8279047619047619
FOUR,FOUR260320C00070000,Call,2026-03-20,70.0,20.2,24.2,1.0,23,0.5289964093017578,86.93,86.4,88.0,1.241857142857143
FOUR,FOUR251219C00110000,Call,2025-12-19,110.0,1.45,1.9,4.0,116,0.4489801196289062,86.93,86.4,88.0,0.7902727272727273
FOUR,FOUR260417P00090000,Put,2026-04-17,90.0,11.5,13.4,1.0,14,0.4339045867919922,86.93,86.4,88.0,1.0353157713102497
FOUR,FOUR250919P00092500,Put,2025-09-19,92.5,5.6,7.8,40.0,344,0.5634809277343751,86.93,86.4,88.0,1.0640745427355345
FOUR,FOUR250919C00060000,Call,2025-09-19,60.0,25.0,28.6,5.0,10,2.1523483691406247,86.93,86.4,88.0,1.4488333333333334
FOUR,FOUR251017C00052500,Call,2025-10-17,52.5,25.0,28.6,1.0,10,1.0000000000000004e-05,86.93,86.4,88.0,1.6558095238095238
FOUR,FOUR251017C00095000,Call,2025-10-17,95.0,1.1,1.45,4.0,170,0.3764710791015625,86.93,86.4,88.0,0.9150526315789476
FOUR,FOUR260116C00067500,Call,2026-01-16,67.5,20.3,24.0,1.0,22,0.5206346765136718,86.93,86.4,88.0,1.287851851851852
FOUR,FOUR260320P00070000,Put,2026-03-20,70.0,3.1,4.6,1.0,1503,0.493291199951172,86.93,86.4,88.0,0.8052455999079718
FOUR,FOUR251017P00105000,Put,2025-10-17,105.0,15.8,19.5,4.0,51,0.5837443969726561,86.93,86.4,88.0,1.2078683998619577
FOUR,FOUR250919C00082500,Call,2025-09-19,82.5,4.7,5.8,10.0,55,0.5830119824218749,86.93,86.4,88.0,1.0536969696969698
FOUR,FOUR260320C00110000,Call,2026-03-20,110.0,3.7,4.4,2.0,27,0.4527642614746094,86.93,86.4,88.0,0.7902727272727273
FOUR,FOUR250919C00047500,Call,2025-09-19,47.5,38.2,41.8,5.0,5,2.417972705078125,86.93,86.4,88.0,1.830105263157895
FOUR,FOUR270115C00095000,Call,2027-01-15,95.0,14.6,17.9,4.0,68,0.5231370928955077,86.93,86.4,88.0,0.9150526315789476
FOUR,FOUR260320C00055000,Call,2026-03-20,55.0,41.5,46.0,20.0,9,1.2620886505126954,86.93,86.4,88.0,1.5805454545454547
FOUR,FOUR250919P00100000,Put,2025-09-19,100.0,12.3,15.1,5.0,100,0.7504907763671875,86.93,86.4,88.0,1.1503508570113885
FOUR,FOUR260320C00075000,Call,2026-03-20,75.0,17.8,19.7,1.0,9,0.5105029418945313,86.93,86.4,88.0,1.1590666666666667
FOUR,FOUR260116C00115000,Call,2026-01-16,115.0,1.35,1.7,1.0,205,0.426763544921875,86.93,86.4,88.0,0.7559130434782609
FOUR,FOUR260116C00120000,Call,2026-01-16,120.0,0.9,1.15,6.0,340,0.418951123046875,86.93,86.4,88.0,0.7244166666666667
FOUR,FOUR251017C00070000,Call,2025-10-17,70.0,17.0,19.5,3.0,31,0.666263103027344,86.93,86.4,88.0,1.241857142857143
FOUR,FOUR270115C00082500,Call,2027-01-15,82.5,20.4,22.3,1.0,9,0.51758294921875,86.93,86.4,88.0,1.0536969696969698
FOUR,FOUR251017P00100000,Put,2025-10-17,100.0,13.1,15.2,1.0,52,0.5698285205078125,86.93,86.4,88.0,1.1503508570113885
FOUR,FOUR260320C00065000,Call,2026-03-20,65.0,33.3,37.4,1.0,23,1.069706799926758,86.93,86.4,88.0,1.3373846153846154
FOUR,FOUR270115C00045000,Call,2027-01-15,45.0,44.5,49.0,8.0,13,0.6522251574707032,86.93,86.4,88.0,1.931777777777778
FOUR,FOUR260116P00077500,Put,2026-01-16,77.5,4.0,4.4,2.0,13,0.4276180285644532,86.93,86.4,88.0,0.891521914183826
FOUR,FOUR251017C00077500,Call,2025-10-17,77.5,10.4,11.6,5.0,20,0.5454147021484376,86.93,86.4,88.0,1.121677419354839
