Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
MMYT,MMYT250919C00070000,Call,2025-09-19,70.0,31.5,35.4,1.0,1.0,2.388675903320312,100.7,73.46,123.13,1.4385714285714286
MMYT,MMYT250919C00085000,Call,2025-09-19,85.0,12.4,16.5,2.0,2.0,0.922852333984375,100.7,73.46,123.13,1.1847058823529413
MMYT,MMYT250919C00090000,Call,2025-09-19,90.0,9.1,13.1,10.0,28.0,0.5600629931640625,100.7,73.46,123.13,1.1188888888888888
MMYT,MMYT250919C00095000,Call,2025-09-19,95.0,4.3,8.4,1.0,14.0,0.8239763696289062,100.7,73.46,123.13,1.06
MMYT,MMYT250919C00100000,Call,2025-09-19,100.0,1.85,2.85,3.0,53.0,0.3952697192382813,100.7,73.46,123.13,1.0070000000000001
MMYT,MMYT250919C00105000,Call,2025-09-19,105.0,0.2,0.75,1.0,117.0,0.3544986425781249,100.7,73.46,123.13,0.959047619047619
MMYT,MMYT250919C00110000,Call,2025-09-19,110.0,0.0,2.0,2.0,27.0,0.6167030517578126,100.7,73.46,123.13,0.9154545454545455
MMYT,MMYT250919C00115000,Call,2025-09-19,115.0,0.0,1.75,2.0,52.0,0.764650791015625,100.7,73.46,123.13,0.8756521739130435
MMYT,MMYT250919C00120000,Call,2025-09-19,120.0,0.0,0.1,10.0,115.0,0.5195360546875,100.7,73.46,123.13,0.8391666666666667
MMYT,MMYT250919P00055000,Put,2025-09-19,55.0,0.0,0.6,2.0,3.0,2.0781298046874994,100.7,73.46,123.13,0.5461767626613704
MMYT,MMYT250919P00060000,Put,2025-09-19,60.0,0.0,0.0,,1.0,0.500005,100.7,73.46,123.13,0.5958291956305859
MMYT,MMYT250919P00065000,Put,2025-09-19,65.0,0.0,0.0,,1.0,0.500005,100.7,73.46,123.13,0.6454816285998014
MMYT,MMYT250919P00070000,Put,2025-09-19,70.0,0.0,0.0,,1.0,0.500005,100.7,73.46,123.13,0.6951340615690169
MMYT,MMYT250919P00075000,Put,2025-09-19,75.0,0.0,0.0,,1.0,0.500005,100.7,73.46,123.13,0.7447864945382323
MMYT,MMYT250919P00080000,Put,2025-09-19,80.0,0.0,0.85,1.0,2.0,0.989257919921875,100.7,73.46,123.13,0.7944389275074478
