Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
V,V250912C00190000,Call,2025-09-12,190.0,152.15,154.35,,1,4.201176623535156,343.49,343.2,343.99,1.807842105263158
V,V250912C00200000,Call,2025-09-12,200.0,142.45,144.3,,2,3.838867590332031,343.49,343.2,343.99,1.7174500000000001
V,V250912C00290000,Call,2025-09-12,290.0,52.45,54.1,8.0,0,1.361331318359375,343.49,343.2,343.99,1.184448275862069
V,V250912C00295000,Call,2025-09-12,295.0,47.55,49.05,2.0,0,1.2265663671875,343.49,343.2,343.99,1.1643728813559322
V,V250912C00300000,Call,2025-09-12,300.0,42.3,44.2,5.0,1,1.171879140625,343.49,343.2,343.99,1.1449666666666667
V,V250912C00310000,Call,2025-09-12,310.0,32.55,34.3,6.0,2,0.9711916943359374,343.49,343.2,343.99,1.108032258064516
V,V250912C00320000,Call,2025-09-12,320.0,23.1,23.85,4.0,2,0.6049844189453126,343.49,343.2,343.99,1.0734062500000001
V,V250912C00325000,Call,2025-09-12,325.0,17.9,19.0,1.0,1,0.5410202148437502,343.49,343.2,343.99,1.0568923076923078
V,V250912C00330000,Call,2025-09-12,330.0,13.05,13.8,48.0,58,0.3745179736328125,343.49,343.2,343.99,1.040878787878788
V,V250912C00332500,Call,2025-09-12,332.5,10.4,11.25,4.0,32,0.3061592822265625,343.49,343.2,343.99,1.0330526315789474
V,V250912C00335000,Call,2025-09-12,335.0,8.1,8.9,28.0,93,0.28443098388671867,343.49,343.2,343.99,1.0253432835820895
V,V250912C00337500,Call,2025-09-12,337.5,5.85,6.4,41.0,74,0.22266402343749997,343.49,343.2,343.99,1.017748148148148
V,V250912C00340000,Call,2025-09-12,340.0,3.8,4.1,521.0,309,0.18384605224609374,343.49,343.2,343.99,1.010264705882353
V,V250912C00342500,Call,2025-09-12,342.5,2.01,2.19,435.0,291,0.1626060302734375,343.49,343.2,343.99,1.0028905109489052
V,V250912C00345000,Call,2025-09-12,345.0,0.83,0.92,730.0,480,0.1534508483886719,343.49,343.2,343.99,0.9956231884057971
V,V250912C00347500,Call,2025-09-12,347.5,0.28,0.33,126.0,362,0.1562584375,343.49,343.2,343.99,0.9884604316546762
V,V250912C00350000,Call,2025-09-12,350.0,0.1,0.13,188.0,804,0.16993017578125003,343.49,343.2,343.99,0.9814
V,V250912C00352500,Call,2025-09-12,352.5,0.05,0.06,80.0,600,0.188484677734375,343.49,343.2,343.99,0.9744397163120567
V,V250912C00355000,Call,2025-09-12,355.0,0.03,0.04,99.0,644,0.215828154296875,343.49,343.2,343.99,0.9675774647887324
