Strike,Type,Expiry,IV Slope
180.0,Put,2026-06-18,-0.42204038648151554
240.0,Call,2026-01-16,
190.0,Put,2025-12-19,-7.345248129511664
190.0,Put,2026-01-16,-4.796861575103459
300.0,Call,2025-10-17,-3.7488318713251276
300.0,Call,2025-12-19,0.20303880441155406
300.0,Call,2026-01-16,-0.5945822199530534
300.0,Call,2026-06-18,0.06127411254023225
300.0,Put,2025-10-17,-5.456087244106213
300.0,Put,2025-12-19,-0.11820377008231937
300.0,Put,2026-01-16,-0.45392369182540726
300.0,Put,2026-03-20,-0.0624142509791444
300.0,Put,2026-06-18,0.075111606371677
210.0,Put,2025-12-19,-7.241361079942655
210.0,Put,2026-01-16,-0.9392283530532387
210.0,Put,2026-06-18,-0.29273359276278194
380.0,Call,2025-12-19,-1.6843157377774798
380.0,Call,2026-01-16,-0.18262294282741218
380.0,Call,2026-03-20,0.13285933758928567
170.0,Put,2025-12-19,-9.272842772926424
260.0,Call,2026-01-16,-1.7556106688433109
260.0,Put,2026-06-18,-1.5369971097795043
280.0,Call,2026-01-16,
280.0,Put,2025-12-19,-3.057474470361141
280.0,Put,2026-01-16,-0.4473005701014626
250.0,Call,2026-01-16,
250.0,Put,2025-12-19,-5.192463284255101
250.0,Put,2026-06-18,-0.06642239454387872
400.0,Call,2026-01-16,-0.5890173611095723
400.0,Call,2026-03-20,0.15251076963900054
400.0,Call,2026-06-18,0.08923077236882393
200.0,Put,2026-01-16,-5.301424244160787
310.0,Call,2025-10-17,-2.576910958925962
310.0,Call,2025-12-19,0.21146376862308916
310.0,Call,2026-01-16,0.9401342816420138
310.0,Call,2026-06-18,-0.1322037302209345
310.0,Put,2025-10-17,-4.31397724269493
310.0,Put,2025-12-19,0.2733736655991331
310.0,Put,2026-01-16,0.011238511364902318
310.0,Put,2026-06-18,0.036941539796251685
270.0,Call,2025-12-19,
270.0,Call,2026-01-16,
270.0,Call,2026-03-20,0.5441917923947698
270.0,Call,2026-06-18,-0.4377371333764009
270.0,Put,2026-06-18,-0.03645021732482034
290.0,Call,2025-12-19,-1.6037262482118129
290.0,Call,2026-01-16,-0.7002308989669684
290.0,Call,2026-06-18,-0.22211852776823854
290.0,Put,2025-12-19,-2.6872136959719803
290.0,Put,2026-01-16,0.11525023542694325
410.0,Call,2026-01-16,-0.9055908796543917
410.0,Call,2026-03-20,0.2454862972785818
320.0,Call,2025-10-17,-1.74823326515924
320.0,Call,2025-12-19,0.2164971047886747
320.0,Call,2026-01-16,-0.08895537894900996
320.0,Call,2026-03-20,0.11083521423037074
320.0,Call,2026-06-18,0.0685065721259622
320.0,Put,2025-10-17,-1.4185677865571387
320.0,Put,2025-12-19,0.38106618299392636
320.0,Put,2026-01-16,-0.10156870566813403
320.0,Put,2026-03-20,0.04325121307818254
320.0,Put,2026-06-18,0.028860682401261436
390.0,Call,2026-01-16,-0.028161248953239897
390.0,Call,2026-03-20,0.054595234456921805
390.0,Call,2026-06-18,0.04370739241613285
370.0,Call,2025-10-17,-2.785962372133128
370.0,Call,2025-12-19,0.27298025784344737
370.0,Call,2026-01-16,0.12335263674551603
370.0,Call,2026-06-18,0.028712843343793624
360.0,Call,2025-10-17,-1.8060310233539938
360.0,Call,2025-12-19,0.4431783580389946
360.0,Call,2026-01-16,-0.1248271596863594
360.0,Call,2026-03-20,0.12996159793812645
360.0,Call,2026-06-18,0.039083943979731806
350.0,Call,2025-10-17,-0.1935895849716363
350.0,Call,2025-12-19,0.32653285985848207
350.0,Call,2026-01-16,0.12496285655987474
350.0,Call,2026-03-20,0.024807526158523267
350.0,Put,2025-10-17,0.23930352661709334
350.0,Put,2025-12-19,0.44042834735703623
350.0,Put,2026-01-16,-0.11482904927963826
350.0,Put,2026-03-20,0.03664655806193697
350.0,Put,2026-06-18,0.09210409545793308
340.0,Call,2025-10-17,-1.380696189336725
340.0,Call,2025-12-19,0.377147469532038
340.0,Call,2026-01-16,-0.1267470249998686
340.0,Call,2026-03-20,0.11225328842220773
340.0,Call,2026-06-18,0.03507068201541779
340.0,Put,2025-10-17,0.05842253199296086
340.0,Put,2025-12-19,0.47045156521153675
340.0,Put,2026-01-16,-0.1751875446669974
330.0,Call,2025-10-17,-0.7028300871787154
330.0,Call,2025-12-19,0.30052381551382773
330.0,Call,2026-01-16,-0.0951461188667512
330.0,Call,2026-06-18,0.043437440627913215
330.0,Put,2025-10-17,-0.4087568326306547
330.0,Put,2025-12-19,0.3372964654747054
330.0,Put,2026-01-16,0.05234940756510192
330.0,Put,2026-06-18,0.05156599145737396
220.0,Call,2026-01-16,
