Strike,Type,Expiry,IV Slope
21.5,Call,2025-09-19,
21.5,Call,2025-09-26,
21.5,Put,2025-10-24,-1.5714198115950473
23.0,Call,2025-09-19,
23.0,Call,2025-09-26,-6.107120647407883
23.0,Call,2025-10-03,-1.3535706061346793
23.0,Call,2025-10-17,-0.43209902119195426
23.0,Call,2025-10-24,-0.5581082721471633
23.0,Call,2025-11-21,0.7696448091231528
23.0,Call,2025-12-19,-0.2592777797772308
23.0,Call,2026-01-16,-0.3003011602082177
23.0,Call,2026-02-20,0.1671546364390169
23.0,Call,2026-03-20,-0.12547801659477859
23.0,Call,2026-04-17,-0.1593734869670461
23.0,Put,2025-09-26,-5.88402041330194
23.0,Put,2025-10-03,-1.668880640961434
23.0,Put,2025-10-10,-0.8061071990236226
23.0,Put,2025-10-17,0.212744335452987
23.0,Put,2025-10-24,-0.13443559026338195
23.0,Put,2025-11-21,0.8421761611361825
23.0,Put,2025-12-19,-0.2892101454117632
23.0,Put,2026-01-16,-0.27135355373016884
23.0,Put,2026-02-20,0.1775962934881749
12.0,Call,2025-09-19,
12.0,Call,2025-10-17,-24.70445754886473
12.0,Call,2025-12-19,-1.9718570810643183
12.0,Call,2026-01-16,-0.6569455336051591
12.0,Call,2026-02-20,
12.0,Call,2026-03-20,
12.0,Call,2026-06-18,-1.1160032969540317
12.0,Call,2026-09-18,-0.6552745662834832
12.0,Call,2027-01-15,0.2940604919320567
32.0,Call,2025-10-17,-0.4110032345992324
32.0,Call,2025-11-21,0.49703047334118455
32.0,Call,2025-12-19,-0.3058907386378664
32.0,Call,2026-01-16,-0.22963686800187713
32.0,Call,2026-02-20,0.00530768511814696
32.0,Call,2026-03-20,-0.05336896471607511
32.0,Call,2026-04-17,-0.1462221418939741
32.0,Call,2026-06-18,0.010782591084746216
32.0,Call,2026-09-18,-0.026210945897356806
32.0,Call,2027-01-15,-0.017066598550959836
32.0,Call,2027-06-17,-0.007792279091865641
32.0,Call,2027-12-17,-0.022567042648952755
32.0,Put,2026-06-18,-0.2685951384830279
32.0,Put,2027-01-15,0.04931404871025945
32.0,Put,2027-12-17,-0.018220072171634606
24.5,Call,2025-09-19,
24.5,Call,2025-09-26,-2.0992529436510483
24.5,Call,2025-10-03,0.014303596417804303
24.5,Put,2025-09-26,-2.1863651399141935
24.5,Put,2025-10-03,0.07879008908449074
24.5,Put,2025-10-10,-0.37514364713686643
24.5,Put,2025-10-24,0.11272898407894003
22.0,Call,2025-09-19,
22.0,Call,2025-09-26,-7.846538405386104
