Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
RTX,RTX261218P00095000,Put,2026-12-18,95.0,1.34,1.91,2.0,30.0,0.3388737988281249,158.37,157.98,158.34,0.5998610848014144
RTX,RTX251003C00170000,Call,2025-10-03,170.0,0.22,0.32,1.0,39.0,0.2246171289062499,158.37,157.98,158.34,0.9315882352941176
RTX,RTX251031P00145000,Put,2025-10-31,145.0,0.96,1.74,168.0,339.0,0.2900461621093749,158.37,157.98,158.34,0.9155774452232116
RTX,RTX270115P00095000,Put,2027-01-15,95.0,1.47,2.21,23.0,64.0,0.3419255261230468,158.37,157.98,158.34,0.5998610848014144
RTX,RTX251010C00170000,Call,2025-10-10,170.0,0.43,0.55,10.0,13.0,0.2219316088867187,158.37,157.98,158.34,0.9315882352941176
RTX,RTX251010C00167500,Call,2025-10-10,167.5,0.73,0.97,1.0,20.0,0.2291336853027344,158.37,157.98,158.34,0.9454925373134327
RTX,RTX250919P00150000,Put,2025-09-19,150.0,0.08,0.15,27.0,761.0,0.3037179003906249,158.37,157.98,158.34,0.9471490812653912
RTX,RTX260618P00130000,Put,2026-06-18,130.0,1.84,3.5,1.0,1098.0,0.262275443725586,158.37,157.98,158.34,0.8208625370966723
RTX,RTX250926C00150000,Call,2025-09-26,150.0,6.8,9.1,13.0,27.0,0.3042061767578125,158.37,157.98,158.34,1.0558
RTX,RTX251121C00190000,Call,2025-11-21,190.0,0.33,0.49,2.0,89.0,0.2673413110351562,158.37,157.98,158.34,0.8335263157894737
RTX,RTX251024P00152500,Put,2025-10-24,152.5,2.17,2.99,,46.0,0.264533721923828,158.37,157.98,158.34,0.962934899286481
RTX,RTX260220C00195000,Call,2026-02-20,195.0,1.18,1.52,10.0,25.0,0.2542188836669922,158.37,157.98,158.34,0.8121538461538462
RTX,RTX260320P00110000,Put,2026-03-20,110.0,0.54,0.89,1.0,567.0,0.3357000024414062,158.37,157.98,158.34,0.6945759929279535
RTX,RTX251031C00180000,Call,2025-10-31,180.0,0.47,0.73,169.0,341.0,0.2718578674316406,158.37,157.98,158.34,0.8798333333333334
RTX,RTX250926P00148000,Put,2025-09-26,148.0,0.2,0.27,40.0,58.0,0.266608896484375,158.37,157.98,158.34,0.9345204268485192
RTX,RTX260220C00210000,Call,2026-02-20,210.0,0.48,0.59,1.0,16.0,0.2547681945800781,158.37,157.98,158.34,0.7541428571428571
RTX,RTX270115P00085000,Put,2027-01-15,85.0,0.9,1.3,9.0,193.0,0.3535220898437499,158.37,157.98,158.34,0.536717812717055
RTX,RTX251024C00160000,Call,2025-10-24,160.0,3.85,4.9,4.0,32.0,0.2701489001464844,158.37,157.98,158.34,0.9898125
RTX,RTX251010C00162500,Call,2025-10-10,162.5,1.81,2.14,5.0,13.0,0.2258378198242187,158.37,157.98,158.34,0.9745846153846154
RTX,RTX250919C00165000,Call,2025-09-19,165.0,0.08,0.13,48.0,1977.0,0.233406103515625,158.37,157.98,158.34,0.9598181818181818
RTX,RTX251003C00167500,Call,2025-10-03,167.5,0.42,0.52,4.0,29.0,0.2170488452148437,158.37,157.98,158.34,0.9454925373134327
RTX,RTX250926P00149000,Put,2025-09-26,149.0,0.26,0.37,7.0,277.0,0.2673413110351562,158.37,157.98,158.34,0.9408347540569552
RTX,RTX261218C00185000,Call,2026-12-18,185.0,6.85,9.05,2.0,87.0,0.2555006091308594,158.37,157.98,158.34,0.8560540540540541
RTX,RTX260116P00120000,Put,2026-01-16,120.0,0.42,0.71,4.0,4092.0,0.3139717041015625,158.37,157.98,158.34,0.7577192650123129
RTX,RTX260618P00110000,Put,2026-06-18,110.0,1.23,1.76,5.0,371.0,0.3263006823730469,158.37,157.98,158.34,0.6945759929279535
RTX,RTX251121C00185000,Call,2025-11-21,185.0,0.47,0.66,77.0,292.0,0.2539137109375,158.37,157.98,158.34,0.8560540540540541
RTX,RTX250926C00155000,Call,2025-09-26,155.0,4.55,5.8,25.0,65.0,0.3427800097656249,158.37,157.98,158.34,1.021741935483871
RTX,RTX251010C00165000,Call,2025-10-10,165.0,1.19,1.41,4.0,20.0,0.2237626452636718,158.37,157.98,158.34,0.9598181818181818
RTX,RTX270115P00120000,Put,2027-01-15,120.0,4.05,5.3,1.0,129.0,0.2912363357543944,158.37,157.98,158.34,0.7577192650123129
RTX,RTX260918C00210000,Call,2026-09-18,210.0,2.4,2.77,1.0,13.0,0.2440871490478515,158.37,157.98,158.34,0.7541428571428571
RTX,RTX251024C00152500,Call,2025-10-24,152.5,8.45,9.7,4.0,12.0,0.3088448022460937,158.37,157.98,158.34,1.0384918032786885
RTX,RTX251010C00152500,Call,2025-10-10,152.5,6.8,7.9,1.0,16.0,0.2628247546386719,158.37,157.98,158.34,1.0384918032786885
RTX,RTX260320C00200000,Call,2026-03-20,200.0,1.13,1.56,60.0,516.0,0.2557447473144532,158.37,157.98,158.34,0.79185
RTX,RTX251031P00157500,Put,2025-10-31,157.5,4.7,5.25,1.0,8.0,0.2511061218261718,158.37,157.98,158.34,0.9945065353286608
RTX,RTX250926P00150000,Put,2025-09-26,150.0,0.31,0.4,48.0,155.0,0.2512281909179687,158.37,157.98,158.34,0.9471490812653912
RTX,RTX260618C00195000,Call,2026-06-18,195.0,2.55,3.15,5.0,91.0,0.2418593881225585,158.37,157.98,158.34,0.8121538461538462
RTX,RTX251121P00140000,Put,2025-11-21,140.0,1.2,1.61,26.0,536.0,0.290900645751953,158.37,157.98,158.34,0.8840058091810318
RTX,RTX251024C00162500,Call,2025-10-24,162.5,2.88,3.7,21.0,240.0,0.2606275109863281,158.37,157.98,158.34,0.9745846153846154
RTX,RTX250919P00152500,Put,2025-09-19,152.5,0.18,0.25,73.0,1571.0,0.2617261328125,158.37,157.98,158.34,0.962934899286481
RTX,RTX261218C00210000,Call,2026-12-18,210.0,3.65,4.05,1.0,10.0,0.2469557727050781,158.37,157.98,158.34,0.7541428571428571
RTX,RTX251024C00155000,Call,2025-10-24,155.0,6.8,7.9,1.0,36.0,0.2932199584960936,158.37,157.98,158.34,1.021741935483871
RTX,RTX270115C00220000,Call,2027-01-15,220.0,2.6,3.2,1.0,154.0,0.2450637017822265,158.37,157.98,158.34,0.7198636363636364
RTX,RTX261218P00110000,Put,2026-12-18,110.0,2.38,2.82,4.0,65.0,0.2903513348388671,158.37,157.98,158.34,0.6945759929279535
RTX,RTX260918C00190000,Call,2026-09-18,190.0,5.4,5.9,2.0,8.0,0.2490004299926758,158.37,157.98,158.34,0.8335263157894737
RTX,RTX251017C00170000,Call,2025-10-17,170.0,0.69,0.89,306.0,536.0,0.2290116162109375,158.37,157.98,158.34,0.9315882352941176
RTX,RTX251024C00157500,Call,2025-10-24,157.5,5.35,6.35,1.0,78.0,0.2831492584228515,158.37,157.98,158.34,1.0055238095238097
RTX,RTX250926C00167500,Call,2025-09-26,167.5,0.19,0.24,50.0,401.0,0.2211991943359375,158.37,157.98,158.34,0.9454925373134327
RTX,RTX260618C00220000,Call,2026-06-18,220.0,0.88,1.13,10.0,656.0,0.2484206018066406,158.37,157.98,158.34,0.7198636363636364
RTX,RTX251010C00160000,Call,2025-10-10,160.0,2.73,3.15,11.0,41.0,0.2307205834960937,158.37,157.98,158.34,0.9898125
RTX,RTX251017C00175000,Call,2025-10-17,175.0,0.29,0.35,21.0,166.0,0.2251054052734374,158.37,157.98,158.34,0.9049714285714286
RTX,RTX260220C00190000,Call,2026-02-20,190.0,1.64,1.86,1.0,36.0,0.2464674963378906,158.37,157.98,158.34,0.8335263157894737
RTX,RTX261218P00160000,Put,2026-12-18,160.0,15.05,16.3,1.0,9.0,0.2177202252197265,158.37,157.98,158.34,1.0102923533497503
