Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d,IV_mid_binomial
RNG,RNG260116C00060000,Call,2026-01-16,60.0,1.946236234262258,0.0,0.15,1.0,759.0,29.5,31.15,30.325,,2026-01-16,0.33401779603011633,30.828734427885962,0.6658973711865337,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919P00025000,Put,2025-09-19,25.0,0.8240516310666175,0.0,0.25,1.0,912.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33790488059718,-0.19352209197423334,,,,,,,,,,,0.5439802531408396,
RNG,RNG260116C00050000,Call,2026-01-16,50.0,1.6218635285518817,0.0,0.25,1.0,1510.0,29.5,31.15,30.325,,2026-01-16,0.33401779603011633,30.828734427885962,0.48357581439257913,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919C00032500,Call,2025-09-19,32.5,1.0712829585391366,0.05,0.15,1.0,59.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,0.06885695688750819,,,,,,,,,,,0.5439802531408396,
RNG,RNG251003C00035000,Call,2025-10-03,35.0,1.1514804168497212,0.05,0.2,160.0,172.0,29.5,31.15,30.325,,2025-10-03,0.04654346338124572,30.39565370616965,0.14104843349023768,,,,,,,,,,,0.5439802531408396,
RNG,RNG251219P00020000,Put,2025-12-19,20.0,0.6510895556348006,0.15,0.3,2.0,18.0,29.5,31.15,30.325,,2025-12-19,0.25735797399041754,30.717740481185203,-0.4291080799756436,,,,,,,,,,,0.5439802531408396,
RNG,RNG251024C00035000,Call,2025-10-24,35.0,1.148174959652708,0.25,0.45,9.0,13.0,29.5,31.15,30.325,,2025-10-24,0.10403832991101986,30.483159126363947,0.1381736901637489,,,,,,,,,,,0.5439802531408396,
RNG,RNG260116P00015000,Put,2026-01-16,15.0,0.4864490339264807,0.05,0.35,10.0,3122.0,29.5,31.15,30.325,,2026-01-16,0.33401779603011633,30.835707245472747,-0.7206231435294096,,,,,,,,,,,0.5439802531408396,
RNG,RNG251017P00025000,Put,2025-10-17,25.0,0.820911230765353,0.05,0.15,12.0,242.0,29.5,31.15,30.325,,2025-10-17,0.08487337440109514,30.453962697881437,-0.1973402986819677,,,,,,,,,,,0.5439802531408396,
RNG,RNG250926C00032000,Call,2025-09-26,32.0,1.053791405013575,0.35,0.45,3.0,6.0,29.5,31.15,30.325,,2025-09-26,0.02737850787132101,30.366541089398783,0.05239452257604675,,,,,,,,,,,0.5439802531408396,
RNG,RNG260116C00045000,Call,2026-01-16,45.0,1.4593471017794422,0.15,0.35,2.0,599.0,29.5,31.15,30.325,,2026-01-16,0.33401779603011633,30.835707245472747,0.37798914513870013,,,,,,,,,,,0.5439802531408396,
RNG,RNG251031C00035000,Call,2025-10-31,35.0,1.1470752505327988,0.45,0.65,20.0,20.0,29.5,31.15,30.325,,2025-10-31,0.12320328542094455,30.512383545668026,0.1372154423882526,,,,,,,,,,,0.5439802531408396,
RNG,RNG250926C00032500,Call,2025-09-26,32.5,1.070256895716912,0.25,0.35,,17.0,29.5,31.15,30.325,,2025-09-26,0.02737850787132101,30.366541089398783,0.06789870911201193,,,,,,,,,,,0.5439802531408396,
RNG,RNG251219C00045000,Call,2025-12-19,45.0,1.4649515001783013,0.15,0.3,200.0,723.0,29.5,31.15,30.325,,2025-12-19,0.25735797399041754,30.717740481185203,0.3818221362406851,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919C00031500,Call,2025-09-19,31.5,1.0383204059687017,0.25,0.35,207.0,51.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,0.03760441338340384,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919P00030000,Put,2025-09-19,30.0,0.9888765771130491,0.2,0.3,3.0,196.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,-0.011185750786028278,,,,,,,,,,,0.5439802531408396,
RNG,RNG260417C00045000,Call,2026-04-17,45.0,1.4412804560329182,0.8,0.95,1.0,9.0,29.5,31.15,30.325,,2026-04-17,0.5831622176591376,31.222237012677716,0.3655319240572491,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919P00033000,Put,2025-09-19,33.0,1.0877642348243541,2.05,2.5,,15.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,0.0841244290182967,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919C00032000,Call,2025-09-19,32.0,1.054801682253919,0.15,0.2,16.0,54.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,0.053352770351542865,,,,,,,,,,,0.5439802531408396,
RNG,RNG251017C00035000,Call,2025-10-17,35.0,1.1492757230714943,0.25,0.4,136.0,775.0,29.5,31.15,30.325,,2025-10-17,0.08487337440109514,30.453962697881437,0.1391319379392453,,,,,,,,,,,0.5439802531408396,
RNG,RNG250926C00031500,Call,2025-09-26,31.5,1.0373259143102378,0.5,0.6,44.0,16.0,29.5,31.15,30.325,,2025-09-26,0.02737850787132101,30.366541089398783,0.03664616560790745,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919C00031000,Call,2025-09-19,31.0,1.0218391296834841,0.4,0.5,11.0,35.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,0.021604072036962633,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919P00031500,Put,2025-09-19,31.5,1.0383204059687017,0.95,1.1,2.0,10.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,0.03760441338340384,,,,,,,,,,,0.5439802531408396,
RNG,RNG260116P00022500,Put,2026-01-16,22.5,0.7296735508897211,0.35,0.55,1.0,1512.0,29.5,31.15,30.325,,2026-01-16,0.33401779603011633,30.835707245472747,-0.31515803542124515,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919C00028500,Call,2025-09-19,28.5,0.9394327482573966,2.15,2.5,10.0,11.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,-0.062479045173578815,,,,,,,,,,,0.5439802531408396,
RNG,RNG260417P00025000,Put,2026-04-17,25.0,0.8007113644627324,1.5,1.7,4.0,7.0,29.5,31.15,30.325,,2026-04-17,0.5831622176591376,31.222237012677716,-0.22225474084486982,,,,,,,,,,,0.5439802531408396,
RNG,RNG251219P00025000,Put,2025-12-19,25.0,0.8138619445435008,0.6,0.8,2.0,121.0,29.5,31.15,30.325,,2025-12-19,0.25735797399041754,30.717740481185203,-0.20596452866143383,,,,,,,,,,,0.5439802531408396,
RNG,RNG250926P00030000,Put,2025-09-26,30.0,0.9879294422002266,0.45,0.55,34.0,34.0,29.5,31.15,30.325,,2025-09-26,0.02737850787132101,30.366541089398783,-0.012143998561524424,,,,,,,,,,,0.5439802531408396,
RNG,RNG250926P00034000,Put,2025-09-26,34.0,1.1196533678269234,3.1,3.6,,20.0,29.5,31.15,30.325,,2025-09-26,0.02737850787132101,30.366541089398783,0.1130191443924815,,,,,,,,,,,0.5439802531408396,
RNG,RNG251219P00022500,Put,2025-12-19,22.5,0.7324757500891507,0.3,0.4,110.0,403.0,29.5,31.15,30.325,,2025-12-19,0.25735797399041754,30.717740481185203,-0.31132504431926017,,,,,,,,,,,0.5439802531408396,
RNG,RNG251219C00040000,Call,2025-12-19,40.0,1.3021791112696013,0.45,0.6,22.0,544.0,29.5,31.15,30.325,,2025-12-19,0.25735797399041754,30.717740481185203,0.26403910058430174,,,,,,,,,,,0.5439802531408396,
RNG,RNG260116P00025000,Put,2026-01-16,25.0,0.8107483898774679,0.75,0.95,97.0,197.0,29.5,31.15,30.325,,2026-01-16,0.33401779603011633,30.835707245472747,-0.20979751976341884,,,,,,,,,,,0.5439802531408396,
RNG,RNG251017P00030000,Put,2025-10-17,30.0,0.9850934769184236,0.9,1.15,1.0,342.0,29.5,31.15,30.325,,2025-10-17,0.08487337440109514,30.453962697881437,-0.015018741888013038,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919C00028000,Call,2025-09-19,28.0,0.9229514719721792,2.6,2.95,,20.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,-0.0801786222729797,,,,,,,,,,,0.5439802531408396,
RNG,RNG251003C00030000,Call,2025-10-03,30.0,0.9869832144426182,1.45,1.6,2.0,10.0,29.5,31.15,30.325,,2025-10-03,0.04654346338124572,30.39565370616965,-0.01310224633702067,,,,,,,,,,,0.5439802531408396,
RNG,RNG260417P00022500,Put,2026-04-17,22.5,0.7206402280164591,0.9,1.1,,159.0,29.5,31.15,30.325,,2026-04-17,0.5831622176591376,31.222237012677716,-0.3276152565026962,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919C00029000,Call,2025-09-19,29.0,0.9559140245426141,1.7,1.95,53.0,53.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,-0.045087302461709666,,,,,,,,,,,0.5439802531408396,
RNG,RNG260417C00040000,Call,2026-04-17,40.0,1.2811381831403719,1.45,1.65,2.0,53.0,29.5,31.15,30.325,,2026-04-17,0.5831622176591376,31.222237012677716,0.24774888840086576,,,,,,,,,,,0.5439802531408396,
RNG,RNG250919P00031000,Put,2025-09-19,31.0,1.0218391296834841,0.65,0.75,7.0,94.0,29.5,31.15,30.325,,2025-09-19,0.008213552361396304,30.33745635636628,0.021604072036962633,,,,,,,,,,,0.5439802531408396,
RNG,RNG260116C00040000,Call,2026-01-16,40.0,1.2971974238039485,0.55,0.7,3.0,2776.0,29.5,31.15,30.325,,2026-01-16,0.33401779603011633,30.835707245472747,0.26020610948231665,,,,,,,,,,,0.5439802531408396,
RNG,RNG260417C00035000,Call,2026-04-17,35.0,1.1209959102478253,2.7,3.0,4.0,35.0,29.5,31.15,30.325,,2026-04-17,0.5831622176591376,31.222237012677716,0.11421749577634306,,,,,,,,,,,0.5439802531408396,
