Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
EXPE,EXPE250919C00080000,Call,2025-09-19,80.0,133.6,135.75,1.0,0.0,1.0000000000000003e-05,228.24,228.09,228.56,2.853
EXPE,EXPE250919C00085000,Call,2025-09-19,85.0,76.05,79.8,5.0,5.0,1.0000000000000003e-05,228.24,228.09,228.56,2.6851764705882353
EXPE,EXPE250919C00095000,Call,2025-09-19,95.0,118.65,120.5,1.0,3.0,1.0000000000000003e-05,228.24,228.09,228.56,2.4025263157894736
EXPE,EXPE250919C00100000,Call,2025-09-19,100.0,127.0,129.55,1.0,0.0,2.5312536718749996,228.24,228.09,228.56,2.2824
EXPE,EXPE250919C00105000,Call,2025-09-19,105.0,108.7,110.65,3.0,0.0,1.0000000000000003e-05,228.24,228.09,228.56,2.173714285714286
EXPE,EXPE250919C00110000,Call,2025-09-19,110.0,103.7,105.75,1.0,6.0,1.0000000000000003e-05,228.24,228.09,228.56,2.074909090909091
EXPE,EXPE250919C00115000,Call,2025-09-19,115.0,74.5,76.6,2.0,29.0,1.0000000000000003e-05,228.24,228.09,228.56,1.9846956521739132
EXPE,EXPE250919C00120000,Call,2025-09-19,120.0,107.1,109.55,3.0,0.0,2.1953170117187497,228.24,228.09,228.56,1.9020000000000001
EXPE,EXPE250919C00125000,Call,2025-09-19,125.0,88.7,90.85,1.0,52.0,1.0000000000000003e-05,228.24,228.09,228.56,1.82592
EXPE,EXPE250919C00130000,Call,2025-09-19,130.0,84.1,85.95,1.0,9.0,1.0000000000000003e-05,228.24,228.09,228.56,1.7556923076923077
EXPE,EXPE250919C00135000,Call,2025-09-19,135.0,78.7,80.75,1.0,9.0,1.0000000000000003e-05,228.24,228.09,228.56,1.6906666666666668
EXPE,EXPE250919C00140000,Call,2025-09-19,140.0,87.1,89.55,4.0,23.0,1.7109389453125,228.24,228.09,228.56,1.6302857142857143
EXPE,EXPE250919C00145000,Call,2025-09-19,145.0,69.2,70.85,1.0,39.0,1.0000000000000003e-05,228.24,228.09,228.56,1.5740689655172415
EXPE,EXPE250919C00150000,Call,2025-09-19,150.0,77.5,78.95,1.0,34.0,2.0468798828125,228.24,228.09,228.56,1.5216
EXPE,EXPE250919C00155000,Call,2025-09-19,155.0,72.2,74.55,1.0,47.0,1.466799541015625,228.24,228.09,228.56,1.4725161290322581
EXPE,EXPE250919C00160000,Call,2025-09-19,160.0,67.85,69.5,1.0,110.0,1.625001875,228.24,228.09,228.56,1.4265
EXPE,EXPE250919C00165000,Call,2025-09-19,165.0,62.1,64.65,1.0,57.0,1.25390998046875,228.24,228.09,228.56,1.3832727272727274
EXPE,EXPE250919C00170000,Call,2025-09-19,170.0,57.4,59.5,1.0,133.0,1.228519482421875,228.24,228.09,228.56,1.3425882352941176
EXPE,EXPE250919C00175000,Call,2025-09-19,175.0,46.4,48.75,5.0,58.0,1.0000000000000003e-05,228.24,228.09,228.56,1.3042285714285715
EXPE,EXPE250919C00180000,Call,2025-09-19,180.0,48.05,49.55,1.0,364.0,1.2119180029296874,228.24,228.09,228.56,1.268
EXPE,EXPE250919C00185000,Call,2025-09-19,185.0,43.25,44.25,7.0,643.0,1.0751999365234377,228.24,228.09,228.56,1.2337297297297298
EXPE,EXPE250919C00190000,Call,2025-09-19,190.0,38.1,40.1,1.0,386.0,1.0795944458007813,228.24,228.09,228.56,1.2012631578947368
EXPE,EXPE250919C00192500,Call,2025-09-19,192.5,34.6,37.15,,2.0,0.7148466015625,228.24,228.09,228.56,1.1856623376623376
EXPE,EXPE250919C00195000,Call,2025-09-19,195.0,33.0,34.85,1.0,277.0,0.9077157666015624,228.24,228.09,228.56,1.1704615384615384
EXPE,EXPE250919C00200000,Call,2025-09-19,200.0,28.1,29.25,2.0,1319.0,0.7138700488281251,228.24,228.09,228.56,1.1412
EXPE,EXPE250919C00202500,Call,2025-09-19,202.5,25.1,26.55,1.0,6.0,0.7651390673828126,228.24,228.09,228.56,1.1271111111111112
EXPE,EXPE250919C00205000,Call,2025-09-19,205.0,22.8,23.95,3.0,15.0,0.6811555322265627,228.24,228.09,228.56,1.1133658536585367
EXPE,EXPE250919C00207500,Call,2025-09-19,207.5,19.75,22.2,1.0,60.0,0.7695335546875001,228.24,228.09,228.56,1.0999518072289156
EXPE,EXPE250919C00210000,Call,2025-09-19,210.0,17.9,19.4,25.0,409.0,0.6508823974609376,228.24,228.09,228.56,1.086857142857143
EXPE,EXPE250919C00212500,Call,2025-09-19,212.5,14.85,17.35,8.0,39.0,0.6567417138671876,228.24,228.09,228.56,1.074070588235294
EXPE,EXPE250919C00215000,Call,2025-09-19,215.0,13.4,14.8,11.0,241.0,0.5793499096679688,228.24,228.09,228.56,1.0615813953488373
EXPE,EXPE250919C00217500,Call,2025-09-19,217.5,10.95,11.7,15.0,108.0,0.42188078125,228.24,228.09,228.56,1.0493793103448277
EXPE,EXPE250919C00220000,Call,2025-09-19,220.0,9.05,9.4,31.0,780.0,0.38233039550781245,228.24,228.09,228.56,1.0374545454545454
EXPE,EXPE250919C00222500,Call,2025-09-19,222.5,6.95,7.3,61.0,78.0,0.35657381713867187,228.24,228.09,228.56,1.0257977528089888
EXPE,EXPE250919C00225000,Call,2025-09-19,225.0,5.1,5.4,121.0,205.0,0.33521172607421873,228.24,228.09,228.56,1.0144
EXPE,EXPE250919C00227500,Call,2025-09-19,227.5,2.81,3.85,34.0,51.0,0.3259344750976562,228.24,228.09,228.56,1.0032527472527473
