Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
PANW,PANW250919C00025000,Call,2025-09-19,25.0,175.3,176.75,3.0,18.0,8.656254589843748,201.28,201.16,201.45,8.0512
PANW,PANW250919C00040000,Call,2025-09-19,40.0,160.8,161.5,2.0,,6.003908745117187,201.28,201.16,201.45,5.032
PANW,PANW250919C00042500,Call,2025-09-19,42.5,,,,,0.0,201.28,201.16,201.45,4.736
PANW,PANW250919C00045000,Call,2025-09-19,45.0,,,,,0.0,201.28,201.16,201.45,4.472888888888889
PANW,PANW250919C00050000,Call,2025-09-19,50.0,0.0,0.0,2.0,84.0,1.0000000000000003e-05,201.28,201.16,201.45,4.0256
PANW,PANW250919C00052500,Call,2025-09-19,52.5,134.8,139.3,,1.0,1.0000000000000003e-05,201.28,201.16,201.45,3.833904761904762
PANW,PANW250919C00055000,Call,2025-09-19,55.0,117.7,122.65,1.0,9.0,1.0000000000000003e-05,201.28,201.16,201.45,3.6596363636363636
PANW,PANW250919C00060000,Call,2025-09-19,60.0,,,,,0.0,201.28,201.16,201.45,3.3546666666666667
PANW,PANW250919C00062500,Call,2025-09-19,62.5,0.0,0.0,10.0,12.0,1.0000000000000003e-05,201.28,201.16,201.45,3.2204800000000002
PANW,PANW250919C00065000,Call,2025-09-19,65.0,135.85,136.7,2.0,16.0,4.6562541796875,201.28,201.16,201.45,3.0966153846153848
PANW,PANW250919C00067500,Call,2025-09-19,67.5,133.05,134.65,1.0,8039.0,3.58593853515625,201.28,201.16,201.45,2.981925925925926
PANW,PANW250919C00070000,Call,2025-09-19,70.0,129.55,131.95,1.0,35.0,4.705082243652344,201.28,201.16,201.45,2.8754285714285714
PANW,PANW250919C00072500,Call,2025-09-19,72.5,0.0,0.0,2.0,8.0,1.0000000000000003e-05,201.28,201.16,201.45,2.7762758620689656
PANW,PANW250919C00075000,Call,2025-09-19,75.0,126.0,126.5,2.0,41.0,3.7382819042968753,201.28,201.16,201.45,2.6837333333333335
PANW,PANW250919C00077500,Call,2025-09-19,77.5,123.35,124.0,6.0,6.0,3.6250009375000003,201.28,201.16,201.45,2.5971612903225805
PANW,PANW250919C00080000,Call,2025-09-19,80.0,120.95,122.65,3.0,44.0,3.9843750390625,201.28,201.16,201.45,2.516
PANW,PANW250919C00082500,Call,2025-09-19,82.5,118.3,119.45,2.0,87.0,3.06250234375,201.28,201.16,201.45,2.4397575757575756
PANW,PANW250919C00085000,Call,2025-09-19,85.0,115.4,117.0,4.0,48.0,3.9531251171874997,201.28,201.16,201.45,2.368
PANW,PANW250919C00087500,Call,2025-09-19,87.5,112.7,114.05,2.0,118.0,3.285158037109375,201.28,201.16,201.45,2.3003428571428572
