Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
REAL,REAL250919C00002500,Call,2025-09-19,2.5,7.4,7.6,1.0,71,0.500005,10.0,9.97,10.03,4.0
REAL,REAL250919C00005000,Call,2025-09-19,5.0,4.9,5.1,108.0,323,0.500005,10.0,9.97,10.03,2.0
REAL,REAL250919C00007500,Call,2025-09-19,7.5,2.45,2.55,24.0,4852,0.500005,10.0,9.97,10.03,1.3333333333333333
REAL,REAL250919C00010000,Call,2025-09-19,10.0,0.3,0.45,1066.0,7698,0.804689453125,10.0,9.97,10.03,1.0
REAL,REAL250919C00012500,Call,2025-09-19,12.5,0.0,0.1,4.0,10,1.2812535937499998,10.0,9.97,10.03,0.8
REAL,REAL250919C00015000,Call,2025-09-19,15.0,0.0,0.05,3.0,23,1.78125109375,10.0,9.97,10.03,0.6666666666666666
REAL,REAL250919P00005000,Put,2025-09-19,5.0,0.0,0.05,1.0,343,3.06250234375,10.0,9.97,10.03,0.5
REAL,REAL250919P00007500,Put,2025-09-19,7.5,0.0,0.1,2.0,384,1.65625171875,10.0,9.97,10.03,0.75
REAL,REAL250919P00010000,Put,2025-09-19,10.0,0.3,0.4,55.0,13,0.7500025,10.0,9.97,10.03,1.0
REAL,REAL250919P00012500,Put,2025-09-19,12.5,2.45,2.55,,0,0.500005,10.0,9.97,10.03,1.25
REAL,REAL251017C00002500,Call,2025-10-17,2.5,6.8,8.7,5.0,10,3.67968830078125,10.0,9.97,10.03,4.0
REAL,REAL251017C00005000,Call,2025-10-17,5.0,5.0,5.1,2.0,462,1.3437532812499997,10.0,9.97,10.03,2.0
REAL,REAL251017C00007500,Call,2025-10-17,7.5,2.55,2.7,104.0,174,0.8164080859374999,10.0,9.97,10.03,1.3333333333333333
REAL,REAL251017C00010000,Call,2025-10-17,10.0,0.8,1.0,161.0,1058,0.75195560546875,10.0,9.97,10.03,1.0
REAL,REAL251017C00012500,Call,2025-10-17,12.5,0.15,0.3,1372.0,1062,0.76367423828125,10.0,9.97,10.03,0.8
REAL,REAL251017C00015000,Call,2025-10-17,15.0,,0.1,101.0,10,0.9062509375,10.0,9.97,10.03,0.6666666666666666
REAL,REAL251017P00002500,Put,2025-10-17,2.5,0.0,0.2,1.0,1,2.9218776953125003,10.0,9.97,10.03,0.25
REAL,REAL251017P00005000,Put,2025-10-17,5.0,0.0,0.05,,1,1.1875040625,10.0,9.97,10.03,0.5
REAL,REAL251017P00007500,Put,2025-10-17,7.5,0.0,0.15,19.0,397,0.7070341796875,10.0,9.97,10.03,0.75
REAL,REAL251017P00010000,Put,2025-10-17,10.0,0.75,0.95,31.0,30,0.709963837890625,10.0,9.97,10.03,1.0
REAL,REAL251017P00012500,Put,2025-10-17,12.5,2.6,2.75,1.0,0,0.70117486328125,10.0,9.97,10.03,1.25
REAL,REAL251121C00002500,Call,2025-11-21,2.5,6.9,7.2,5.0,21,1.0000000000000003e-05,10.0,9.97,10.03,4.0
REAL,REAL251121C00005000,Call,2025-11-21,5.0,4.1,5.3,11.0,1046,1.46484642578125,10.0,9.97,10.03,2.0
REAL,REAL251121C00007500,Call,2025-11-21,7.5,2.85,3.1,160.0,11850,0.92773509765625,10.0,9.97,10.03,1.3333333333333333
REAL,REAL251121C00010000,Call,2025-11-21,10.0,1.4,1.6,31.0,952,0.875977802734375,10.0,9.97,10.03,1.0
REAL,REAL251121C00012500,Call,2025-11-21,12.5,0.6,0.8,2.0,1398,0.8652357226562499,10.0,9.97,10.03,0.8
REAL,REAL251121C00015000,Call,2025-11-21,15.0,0.25,0.4,4.0,1038,0.8710950390625,10.0,9.97,10.03,0.6666666666666666
REAL,REAL251121P00002500,Put,2025-11-21,2.5,0.0,0.15,3.0,493,1.9140629296875002,10.0,9.97,10.03,0.25
REAL,REAL251121P00005000,Put,2025-11-21,5.0,0.0,0.55,1.0,1221,1.4257841210937499,10.0,9.97,10.03,0.5
REAL,REAL251121P00007500,Put,2025-11-21,7.5,0.3,0.45,4.0,1200,0.8378922460937499,10.0,9.97,10.03,0.75
REAL,REAL251121P00010000,Put,2025-11-21,10.0,1.3,1.5,320.0,444,0.8173846386718748,10.0,9.97,10.03,1.0
REAL,REAL251121P00012500,Put,2025-11-21,12.5,7.1,7.3,2.0,0,3.2988298779296876,10.0,9.97,10.03,1.25
REAL,REAL260116C00000500,Call,2026-01-16,0.5,6.9,10.6,1.0,9,0.0,10.0,9.97,10.03,20.0
REAL,REAL260116C00001000,Call,2026-01-16,1.0,6.4,10.0,1.0,243,16.000005,10.0,9.97,10.03,10.0
REAL,REAL260116C00001500,Call,2026-01-16,1.5,4.1,4.3,1.0,43,1.0000000000000003e-05,10.0,9.97,10.03,6.666666666666667
REAL,REAL260116C00002000,Call,2026-01-16,2.0,7.9,8.2,2.0,377,1.5156274218749999,10.0,9.97,10.03,5.0
REAL,REAL260116C00002500,Call,2026-01-16,2.5,0.0,0.0,10.0,85,1.0000000000000003e-05,10.0,9.97,10.03,4.0
REAL,REAL260116C00003000,Call,2026-01-16,3.0,7.0,7.2,4.0,321,1.3203158984374999,10.0,9.97,10.03,3.3333333333333335
REAL,REAL260116C00003500,Call,2026-01-16,3.5,6.4,6.7,1.0,833,1.0078174609375,10.0,9.97,10.03,2.857142857142857
REAL,REAL260116C00004000,Call,2026-01-16,4.0,5.9,6.3,1.0,426,1.0273486132812502,10.0,9.97,10.03,2.5
REAL,REAL260116C00004500,Call,2026-01-16,4.5,5.5,5.9,46.0,212,1.08203583984375,10.0,9.97,10.03,2.2222222222222223
REAL,REAL260116C00005000,Call,2026-01-16,5.0,5.1,5.3,2.0,2310,0.9609378906249999,10.0,9.97,10.03,2.0
REAL,REAL260116C00005500,Call,2026-01-16,5.5,3.5,4.8,5.0,147,0.9648441015625,10.0,9.97,10.03,1.8181818181818181
REAL,REAL260116C00007500,Call,2026-01-16,7.5,3.0,3.3,12.0,569,0.797853583984375,10.0,9.97,10.03,1.3333333333333333
REAL,REAL260116C00010000,Call,2026-01-16,10.0,1.75,1.9,24.0,4589,0.7919942675781251,10.0,9.97,10.03,1.0
REAL,REAL260116C00012500,Call,2026-01-16,12.5,0.95,1.05,749.0,482,0.7773459765625,10.0,9.97,10.03,0.8
REAL,REAL260116C00015000,Call,2026-01-16,15.0,0.45,0.65,3.0,1192,0.7753928710937501,10.0,9.97,10.03,0.6666666666666666
REAL,REAL260116C00017500,Call,2026-01-16,17.5,0.25,0.45,1.0,635,0.80664255859375,10.0,9.97,10.03,0.5714285714285714
REAL,REAL260116C00020000,Call,2026-01-16,20.0,0.15,0.3,30.0,627,0.8261736132812498,10.0,9.97,10.03,0.5
REAL,REAL260116P00000500,Put,2026-01-16,0.5,0.0,1.2,1.0,221,0.0,10.0,9.97,10.03,0.05
REAL,REAL260116P00001000,Put,2026-01-16,1.0,0.0,1.1,3.0,2172,4.62500421875,10.0,9.97,10.03,0.1
REAL,REAL260116P00001500,Put,2026-01-16,1.5,0.25,0.45,12.0,17,2.92969017578125,10.0,9.97,10.03,0.15
REAL,REAL260116P00002000,Put,2026-01-16,2.0,0.0,1.5,13.0,1592,3.3242204394531245,10.0,9.97,10.03,0.2
REAL,REAL260116P00002500,Put,2026-01-16,2.5,0.0,1.5,75.0,857,2.82031544921875,10.0,9.97,10.03,0.25
REAL,REAL260116P00003000,Put,2026-01-16,3.0,0.0,0.75,1.0,272,1.8808599707031248,10.0,9.97,10.03,0.3
REAL,REAL260116P00003500,Put,2026-01-16,3.5,0.0,0.15,1.0,1345,1.09375453125,10.0,9.97,10.03,0.35
REAL,REAL260116P00004000,Put,2026-01-16,4.0,0.0,0.2,5.0,1123,1.0273486132812502,10.0,9.97,10.03,0.4
REAL,REAL260116P00004500,Put,2026-01-16,4.5,0.05,0.7,2.0,6122,1.3125034374999998,10.0,9.97,10.03,0.45
REAL,REAL260116P00005000,Put,2026-01-16,5.0,0.05,0.4,6.0,20,0.9941406835937501,10.0,9.97,10.03,0.5
REAL,REAL260116P00005500,Put,2026-01-16,5.5,0.15,0.25,51.0,1016,0.851563984375,10.0,9.97,10.03,0.55
REAL,REAL260116P00007500,Put,2026-01-16,7.5,0.5,0.65,10.0,139,0.75195560546875,10.0,9.97,10.03,0.75
REAL,REAL260116P00010000,Put,2026-01-16,10.0,1.6,1.75,21.0,164,0.725588681640625,10.0,9.97,10.03,1.0
REAL,REAL260116P00012500,Put,2026-01-16,12.5,3.3,3.5,1.0,5,0.7324245507812499,10.0,9.97,10.03,1.25
REAL,REAL260116P00015000,Put,2026-01-16,15.0,5.3,5.5,,1,0.6914093359375001,10.0,9.97,10.03,1.5
REAL,REAL260116P00017500,Put,2026-01-16,17.5,8.9,9.4,,1,1.4628933105468749,10.0,9.97,10.03,1.75
REAL,REAL260116P00020000,Put,2026-01-16,20.0,0.0,0.0,,0,1.0000000000000003e-05,10.0,9.97,10.03,2.0
REAL,REAL260220C00002500,Call,2026-02-20,2.5,7.3,8.4,1.0,5,1.859375703125,10.0,9.97,10.03,4.0
REAL,REAL260220C00005000,Call,2026-02-20,5.0,5.0,5.6,1.0,12,0.9589847851562499,10.0,9.97,10.03,2.0
REAL,REAL260220C00007500,Call,2026-02-20,7.5,3.3,3.5,1.0,455,0.8378922460937499,10.0,9.97,10.03,1.3333333333333333
REAL,REAL260220C00010000,Call,2026-02-20,10.0,2.0,2.15,2.0,63,0.79687703125,10.0,9.97,10.03,1.0
REAL,REAL260220C00012500,Call,2026-02-20,12.5,1.15,1.35,1.0,112,0.7832052929687501,10.0,9.97,10.03,0.8
REAL,REAL260220C00015000,Call,2026-02-20,15.0,0.75,0.85,12.0,107,0.797853583984375,10.0,9.97,10.03,0.6666666666666666
REAL,REAL260220P00005000,Put,2026-02-20,5.0,0.0,0.25,2.0,19,0.7500025,10.0,9.97,10.03,0.5
REAL,REAL260220P00007500,Put,2026-02-20,7.5,0.6,0.85,82.0,135,0.745119736328125,10.0,9.97,10.03,0.75
REAL,REAL260220P00010000,Put,2026-02-20,10.0,1.75,2.0,20.0,23,0.7187528125,10.0,9.97,10.03,1.0
REAL,REAL270115C00000500,Call,2027-01-15,0.5,0.0,0.0,1.0,1,1.0000000000000003e-05,10.0,9.97,10.03,20.0
REAL,REAL270115C00001000,Call,2027-01-15,1.0,0.0,0.0,1.0,0,1.0000000000000003e-05,10.0,9.97,10.03,10.0
REAL,REAL270115C00001500,Call,2027-01-15,1.5,0.0,0.0,2.0,1,1.0000000000000003e-05,10.0,9.97,10.03,6.666666666666667
REAL,REAL270115C00002000,Call,2027-01-15,2.0,6.2,8.3,3.0,577,1.171879140625,10.0,9.97,10.03,5.0
REAL,REAL270115C00002500,Call,2027-01-15,2.5,3.5,4.8,5.0,123,1.0000000000000003e-05,10.0,9.97,10.03,4.0
REAL,REAL270115C00003000,Call,2027-01-15,3.0,7.3,7.4,6.0,164,0.9267585449218749,10.0,9.97,10.03,3.3333333333333335
REAL,REAL270115C00003500,Call,2027-01-15,3.5,5.3,5.8,1.0,12,1.0000000000000003e-05,10.0,9.97,10.03,2.857142857142857
REAL,REAL270115C00004000,Call,2027-01-15,4.0,6.4,6.7,2.0,227,0.852540537109375,10.0,9.97,10.03,2.5
REAL,REAL270115C00004500,Call,2027-01-15,4.5,6.0,6.3,1.0,377,0.8125018749999999,10.0,9.97,10.03,2.2222222222222223
REAL,REAL270115C00005000,Call,2027-01-15,5.0,5.7,6.0,3.0,576,0.8188494677734374,10.0,9.97,10.03,2.0
REAL,REAL270115C00005500,Call,2027-01-15,5.5,5.4,5.7,4.0,1292,0.815431533203125,10.0,9.97,10.03,1.8181818181818181
REAL,REAL270115C00007500,Call,2027-01-15,7.5,4.3,6.1,4.0,169,1.0068409033203123,10.0,9.97,10.03,1.3333333333333333
REAL,REAL270115C00010000,Call,2027-01-15,10.0,3.3,3.7,3.0,1405,0.7846701220703125,10.0,9.97,10.03,1.0
REAL,REAL270115C00012500,Call,2027-01-15,12.5,2.6,2.9,2.0,120,0.7744163183593751,10.0,9.97,10.03,0.8
REAL,REAL270115C00015000,Call,2027-01-15,15.0,2.05,2.35,100.0,134,0.7697776928710938,10.0,9.97,10.03,0.6666666666666666
