Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
AMD,AMD260618C00380000,Call,2026-06-18,380.0,1.35,1.4,2.0,767.0,0.5330857238769531,160.46,160.36,160.6,0.4222631578947368
AMD,AMD270617C00370000,Call,2027-06-17,370.0,7.0,7.2,5.0,171.0,0.4913075772094727,160.46,160.36,160.6,0.4336756756756757
AMD,AMD260618P00075000,Put,2026-06-18,75.0,1.01,1.06,1.0,6903.0,0.5313767565917968,160.46,160.36,160.6,0.467406207154431
AMD,AMD260320P00080000,Put,2026-03-20,80.0,0.65,0.68,50.0,4089.0,0.5493209130859377,160.46,160.36,160.6,0.4985666209647263
AMD,AMD260618C00390000,Call,2026-06-18,390.0,1.22,1.28,239.0,7119.0,0.5363815893554689,160.46,160.36,160.6,0.4114358974358975
AMD,AMD251024C00167500,Call,2025-10-24,167.5,6.25,6.4,48.0,80.0,0.4450739086914062,160.46,160.36,160.6,0.9579701492537314
AMD,AMD260515P00105000,Put,2026-05-15,105.0,3.4,3.5,3.0,218.0,0.4782767016601562,160.46,160.36,160.6,0.6543686900162033
AMD,AMD261218C00360000,Call,2026-12-18,360.0,4.2,4.35,27.0,684.0,0.4989674127197265,160.46,160.36,160.6,0.4457222222222222
AMD,AMD271217C00310000,Call,2027-12-17,310.0,15.15,15.65,24.0,429.0,0.4862111926269531,160.46,160.36,160.6,0.5176129032258064
AMD,AMD250919P00172500,Put,2025-09-19,172.5,12.15,12.65,108.0,1887.0,0.5102588037109376,160.46,160.36,160.6,1.0750342764551912
AMD,AMD260515P00090000,Put,2026-05-15,90.0,1.75,1.8,2.0,196.0,0.5061084545898438,160.46,160.36,160.6,0.5608874485853171
AMD,AMD250926C00140000,Call,2025-09-26,140.0,20.45,21.15,14.0,562.0,0.5053760400390624,160.46,160.36,160.6,1.1461428571428571
AMD,AMD251031P00162500,Put,2025-10-31,162.5,10.4,10.7,10.0,211.0,0.4222469885253906,160.46,160.36,160.6,1.0127134488346006
AMD,AMD260417P00125000,Put,2026-04-17,125.0,6.4,6.55,1.0,80.0,0.447698394165039,160.46,160.36,160.6,0.779010345257385
AMD,AMD260821P00095000,Put,2026-08-21,95.0,3.4,3.5,1.0,246.0,0.475041870727539,160.46,160.36,160.6,0.5920478623956126
AMD,AMD260618C00340000,Call,2026-06-18,340.0,2.01,2.07,4.0,270.0,0.5177050183105469,160.46,160.36,160.6,0.4719411764705882
AMD,AMD251121P00110000,Put,2025-11-21,110.0,0.67,0.7,10.0,4451.0,0.5444381494140625,160.46,160.36,160.6,0.6855291038264988
AMD,AMD261218P00070000,Put,2026-12-18,70.0,1.77,1.84,143.0,1719.0,0.502080174560547,160.46,160.36,160.6,0.4362457933441356
AMD,AMD271217C00270000,Call,2027-12-17,270.0,20.0,20.55,1.0,198.0,0.4870961935424804,160.46,160.36,160.6,0.5942962962962963
AMD,AMD260220P00095000,Put,2026-02-20,95.0,1.11,1.15,5.0,1025.0,0.5192919165039063,160.46,160.36,160.6,0.5920478623956126
AMD,AMD251024C00180000,Call,2025-10-24,180.0,3.0,3.1,64.0,616.0,0.4499566723632812,160.46,160.36,160.6,0.8914444444444445
AMD,AMD251010P00146000,Put,2025-10-10,146.0,1.89,1.94,69.0,166.0,0.4309138940429688,160.46,160.36,160.6,0.9098840832606256
AMD,AMD260220C00240000,Call,2026-02-20,240.0,3.4,3.5,2.0,321.0,0.5013477600097658,160.46,160.36,160.6,0.6685833333333334
AMD,AMD251003C00146000,Call,2025-10-03,146.0,15.9,16.25,8.0,77.0,0.4919484399414063,160.46,160.36,160.6,1.099041095890411
AMD,AMD251031C00162500,Call,2025-10-31,162.5,9.3,9.55,51.0,204.0,0.4613090979003906,160.46,160.36,160.6,0.987446153846154
AMD,AMD251003P00182500,Put,2025-10-03,182.5,22.25,22.85,7.0,211.0,0.4519097778320313,160.46,160.36,160.6,1.137355104075782
AMD,AMD260515C00270000,Call,2026-05-15,270.0,4.0,4.1,43.0,148.0,0.5022022436523439,160.46,160.36,160.6,0.5942962962962963
AMD,AMD251121C00240000,Call,2025-11-21,240.0,0.82,0.85,21.0,1491.0,0.5512740185546876,160.46,160.36,160.6,0.6685833333333334
AMD,AMD261218C00330000,Call,2026-12-18,330.0,5.45,5.6,2.0,250.0,0.4931691308593751,160.46,160.36,160.6,0.4862424242424242
AMD,AMD260618C00290000,Call,2026-06-18,290.0,3.65,3.75,21.0,253.0,0.5005543109130859,160.46,160.36,160.6,0.5533103448275862
AMD,AMD271217P00070000,Put,2027-12-17,70.0,3.8,3.95,25.0,2866.0,0.460515648803711,160.46,160.36,160.6,0.4362457933441356
AMD,AMD270115P00065000,Put,2027-01-15,65.0,1.53,1.58,8.0,747.0,0.5081836291503907,160.46,160.36,160.6,0.4050853795338401
AMD,AMD260918P00095000,Put,2026-09-18,95.0,3.7,3.8,1.0,242.0,0.4683891052246094,160.46,160.36,160.6,0.5920478623956126
AMD,AMD251010C00143000,Call,2025-10-10,143.0,19.1,19.6,1.0,205.0,0.5073291455078125,160.46,160.36,160.6,1.122097902097902
AMD,AMD251024C00190000,Call,2025-10-24,190.0,1.66,1.71,47.0,458.0,0.4594780615234375,160.46,160.36,160.6,0.8445263157894737
AMD,AMD260918C00370000,Call,2026-09-18,370.0,2.56,2.64,12.0,617.0,0.5088550091552735,160.46,160.36,160.6,0.4336756756756757
AMD,AMD260417C00290000,Call,2026-04-17,290.0,2.24,2.3,23.0,254.0,0.5059863854980469,160.46,160.36,160.6,0.5533103448275862
AMD,AMD250926C00180000,Call,2025-09-26,180.0,0.5,0.52,1964.0,3827.0,0.47461462890625,160.46,160.36,160.6,0.8914444444444445
AMD,AMD260515C00320000,Call,2026-05-15,320.0,2.03,2.08,15.0,169.0,0.5206346765136718,160.46,160.36,160.6,0.5014375
AMD,AMD260320P00090000,Put,2026-03-20,90.0,1.1,1.15,8.0,11922.0,0.5195360546875,160.46,160.36,160.6,0.5608874485853171
AMD,AMD271217P00065000,Put,2027-12-17,65.0,3.15,3.25,1.0,735.0,0.4689994506835938,160.46,160.36,160.6,0.4050853795338401
AMD,AMD260821P00090000,Put,2026-08-21,90.0,2.78,2.84,1.0,90.0,0.4831594653320313,160.46,160.36,160.6,0.5608874485853171
AMD,AMD251003P00142000,Put,2025-10-03,142.0,0.82,0.84,14.0,162.0,0.4553277124023437,160.46,160.36,160.6,0.8849557522123893
AMD,AMD250926C00135000,Call,2025-09-26,135.0,25.55,26.1,9.0,90.0,0.6201209863281252,160.46,160.36,160.6,1.1885925925925926
AMD,AMD250919C00152500,Call,2025-09-19,152.5,8.4,8.7,198.0,1709.0,0.5048877636718749,160.46,160.36,160.6,1.0521967213114756
AMD,AMD270617C00360000,Call,2027-06-17,360.0,7.5,7.7,10.0,274.0,0.4902089553833009,160.46,160.36,160.6,0.4457222222222222
AMD,AMD260116P00095000,Put,2026-01-16,95.0,0.65,0.68,13.0,15195.0,0.5273484765625001,160.46,160.36,160.6,0.5920478623956126
AMD,AMD260220C00270000,Call,2026-02-20,270.0,1.89,1.94,20.0,263.0,0.5168505346679688,160.46,160.36,160.6,0.5942962962962963
AMD,AMD270617P00090000,Put,2027-06-17,90.0,5.8,5.95,1.0,241.0,0.4451349432373046,160.46,160.36,160.6,0.5608874485853171
AMD,AMD270617C00350000,Call,2027-06-17,350.0,8.05,8.25,17.0,196.0,0.4892018853759766,160.46,160.36,160.6,0.4584571428571429
AMD,AMD260618P00105000,Put,2026-06-18,105.0,3.9,4.05,3.0,3386.0,0.4697928997802735,160.46,160.36,160.6,0.6543686900162033
AMD,AMD260515C00360000,Call,2026-05-15,360.0,1.28,1.32,2.0,755.0,0.5366257275390626,160.46,160.36,160.6,0.4457222222222222
AMD,AMD260116C00290000,Call,2026-01-16,290.0,0.69,0.72,7.0,9574.0,0.5327195166015625,160.46,160.36,160.6,0.5533103448275862
AMD,AMD250926P00146000,Put,2025-09-26,146.0,0.7,0.72,118.0,447.0,0.461919443359375,160.46,160.36,160.6,0.9098840832606256
AMD,AMD260618C00280000,Call,2026-06-18,280.0,4.15,4.3,1.0,2332.0,0.4998829309082031,160.46,160.36,160.6,0.5730714285714286
AMD,AMD260417C00260000,Call,2026-04-17,260.0,3.6,3.7,3.0,403.0,0.4955494781494141,160.46,160.36,160.6,0.6171538461538462
AMD,AMD251010P00143000,Put,2025-10-10,143.0,1.4,1.44,61.0,496.0,0.4389704541015625,160.46,160.36,160.6,0.8911878349744484
AMD,AMD260320C00310000,Call,2026-03-20,310.0,1.31,1.35,15.0,793.0,0.526371923828125,160.46,160.36,160.6,0.5176129032258064
AMD,AMD251010C00144000,Call,2025-10-10,144.0,18.25,18.75,1.0,403.0,0.5012256909179689,160.46,160.36,160.6,1.1143055555555557
AMD,AMD260320C00290000,Call,2026-03-20,290.0,1.79,1.83,1.0,137.0,0.5168505346679688,160.46,160.36,160.6,0.5533103448275862
AMD,AMD251017C00220000,Call,2025-10-17,220.0,0.24,0.25,230.0,8987.0,0.5307664111328125,160.46,160.36,160.6,0.7293636363636364
AMD,AMD251024P00152500,Put,2025-10-24,152.5,5.0,5.1,6.0,83.0,0.4166318103027343,160.46,160.36,160.6,0.9503926212140096
AMD,AMD251003C00167500,Call,2025-10-03,167.5,3.4,3.5,122.0,684.0,0.4417780432128906,160.46,160.36,160.6,0.9579701492537314
AMD,AMD251121C00230000,Call,2025-11-21,230.0,1.12,1.16,40.0,2763.0,0.5400436621093752,160.46,160.36,160.6,0.6976521739130435
AMD,AMD270617P00105000,Put,2027-06-17,105.0,9.25,9.45,6.0,125.0,0.4279842358398438,160.46,160.36,160.6,0.6543686900162033
AMD,AMD251219C00250000,Call,2025-12-19,250.0,1.06,1.1,445.0,4500.0,0.524418818359375,160.46,160.36,160.6,0.6418400000000001
AMD,AMD260618P00080000,Put,2026-06-18,80.0,1.29,1.34,5.0,5929.0,0.5173388110351562,160.46,160.36,160.6,0.4985666209647263
AMD,AMD251031C00157500,Call,2025-10-31,157.5,11.75,12.0,21.0,124.0,0.4647270324707031,160.46,160.36,160.6,1.0187936507936508
AMD,AMD270617C00330000,Call,2027-06-17,330.0,9.3,9.55,14.0,455.0,0.487859125366211,160.46,160.36,160.6,0.4862424242424242
AMD,AMD251031C00160000,Call,2025-10-31,160.0,10.45,10.7,301.0,236.0,0.4617973742675781,160.46,160.36,160.6,1.002875
AMD,AMD251010P00145000,Put,2025-10-10,145.0,1.71,1.76,106.0,785.0,0.4335994140625,160.46,160.36,160.6,0.9036520004985664
AMD,AMD251010P00147000,Put,2025-10-10,147.0,2.09,2.13,35.0,80.0,0.4278621667480469,160.46,160.36,160.6,0.9161161660226848
AMD,AMD250919P00167500,Put,2025-09-19,167.5,7.6,7.85,350.0,1815.0,0.460942890625,160.46,160.36,160.6,1.0438738626448958
AMD,AMD260417C00230000,Call,2026-04-17,230.0,6.15,6.3,8.0,268.0,0.486882572631836,160.46,160.36,160.6,0.6976521739130435
AMD,AMD250926C00125000,Call,2025-09-26,125.0,35.35,36.0,11.0,68.0,0.762697685546875,160.46,160.36,160.6,1.2836800000000002
AMD,AMD260618C00330000,Call,2026-06-18,330.0,2.25,2.31,5.0,462.0,0.5142260491943358,160.46,160.36,160.6,0.4862424242424242
AMD,AMD251010C00185000,Call,2025-10-10,185.0,1.16,1.19,68.0,403.0,0.4582573706054688,160.46,160.36,160.6,0.8673513513513514
AMD,AMD260116C00280000,Call,2026-01-16,280.0,0.85,0.88,6.0,3829.0,0.5261277856445312,160.46,160.36,160.6,0.5730714285714286
AMD,AMD251003P00185000,Put,2025-10-03,185.0,24.6,25.2,2.0,310.0,0.460942890625,160.46,160.36,160.6,1.1529353109809295
AMD,AMD260320C00260000,Call,2026-03-20,260.0,2.97,3.05,15.0,574.0,0.5032398309326171,160.46,160.36,160.6,0.6171538461538462
AMD,AMD260515P00095000,Put,2026-05-15,95.0,2.21,2.26,4.0,222.0,0.4967091345214844,160.46,160.36,160.6,0.5920478623956126
AMD,AMD251219C00260000,Call,2025-12-19,260.0,0.82,0.85,25.0,6015.0,0.5324753784179688,160.46,160.36,160.6,0.6171538461538462
AMD,AMD251024C00170000,Call,2025-10-24,170.0,5.4,5.55,157.0,776.0,0.4448297705078124,160.46,160.36,160.6,0.9438823529411764
AMD,AMD260515C00330000,Call,2026-05-15,330.0,1.8,1.85,52.0,831.0,0.5249070947265625,160.46,160.36,160.6,0.4862424242424242
AMD,AMD250926C00149000,Call,2025-09-26,149.0,12.65,12.9,22.0,121.0,0.4965870654296875,160.46,160.36,160.6,1.0769127516778525
AMD,AMD251010P00152500,Put,2025-10-10,152.5,3.5,3.6,91.0,1010.0,0.4200497448730469,160.46,160.36,160.6,0.9503926212140096
AMD,AMD251003P00147000,Put,2025-10-03,147.0,1.47,1.5,13.0,143.0,0.4382380395507813,160.46,160.36,160.6,0.9161161660226848
AMD,AMD251024C00172500,Call,2025-10-24,172.5,4.7,4.8,14.0,177.0,0.4449518395996094,160.46,160.36,160.6,0.9302028985507248
AMD,AMD270617P00085000,Put,2027-06-17,85.0,4.9,5.0,1.0,145.0,0.4513604669189454,160.46,160.36,160.6,0.5297270347750218
AMD,AMD251003P00140000,Put,2025-10-03,140.0,0.65,0.67,134.0,1776.0,0.4643608251953125,160.46,160.36,160.6,0.8724915866882712
AMD,AMD251024P00140000,Put,2025-10-24,140.0,1.88,1.93,107.0,664.0,0.4362849340820312,160.46,160.36,160.6,0.8724915866882712
AMD,AMD250926P00141000,Put,2025-09-26,141.0,0.35,0.36,31.0,1139.0,0.4907277490234375,160.46,160.36,160.6,0.8787236694503302
AMD,AMD261218C00320000,Call,2026-12-18,320.0,6.0,6.15,2.0,479.0,0.4919789572143555,160.46,160.36,160.6,0.5014375
AMD,AMD251017C00195000,Call,2025-10-17,195.0,0.89,0.92,157.0,4022.0,0.4726615234375,160.46,160.36,160.6,0.822871794871795
AMD,AMD251003P00146000,Put,2025-10-03,146.0,1.31,1.34,17.0,294.0,0.4416559741210937,160.46,160.36,160.6,0.9098840832606256
AMD,AMD270617C00340000,Call,2027-06-17,340.0,8.65,8.85,150.0,318.0,0.4881642980957031,160.46,160.36,160.6,0.4719411764705882
AMD,AMD251003C00135000,Call,2025-10-03,135.0,25.95,26.4,19.0,76.0,0.5654340332031251,160.46,160.36,160.6,1.1885925925925926
AMD,AMD260618C00350000,Call,2026-06-18,350.0,1.81,1.87,35.0,4035.0,0.5216112292480468,160.46,160.36,160.6,0.4584571428571429
AMD,AMD270115C00370000,Call,2027-01-15,370.0,4.25,4.35,15.0,372.0,0.4954884436035156,160.46,160.36,160.6,0.4336756756756757
AMD,AMD251024C00175000,Call,2025-10-24,175.0,4.05,4.15,30.0,514.0,0.4460504614257812,160.46,160.36,160.6,0.9169142857142858
AMD,AMD261218C00340000,Call,2026-12-18,340.0,5.0,5.15,2.0,2070.0,0.4954274090576172,160.46,160.36,160.6,0.4719411764705882
AMD,AMD260515C00240000,Call,2026-05-15,240.0,6.4,6.55,13.0,400.0,0.4957325817871094,160.46,160.36,160.6,0.6685833333333334
AMD,AMD251024P00155000,Put,2025-10-24,155.0,5.95,6.1,43.0,655.0,0.4162656030273437,160.46,160.36,160.6,0.9659728281191574
AMD,AMD251010C00170000,Call,2025-10-10,170.0,3.65,3.75,646.0,1146.0,0.4399470068359374,160.46,160.36,160.6,0.9438823529411764
AMD,AMD250926P00147000,Put,2025-09-26,147.0,0.81,0.83,190.0,594.0,0.4572808178710938,160.46,160.36,160.6,0.9161161660226848
AMD,AMD270617C00320000,Call,2027-06-17,320.0,10.05,10.25,1.0,176.0,0.4865163653564454,160.46,160.36,160.6,0.5014375
AMD,AMD260220P00100000,Put,2026-02-20,100.0,1.45,1.49,5.0,1272.0,0.5065967309570312,160.46,160.36,160.6,0.623208276205908
AMD,AMD260618C00370000,Call,2026-06-18,370.0,1.49,1.53,1.0,1072.0,0.5293015820312501,160.46,160.36,160.6,0.4336756756756757
AMD,AMD260220P00105000,Put,2026-02-20,105.0,1.88,1.93,11.0,1021.0,0.497197410888672,160.46,160.36,160.6,0.6543686900162033
AMD,AMD251010P00162500,Put,2025-10-10,162.5,7.85,8.0,13.0,148.0,0.4113828393554687,160.46,160.36,160.6,1.0127134488346006
AMD,AMD261218P00075000,Put,2026-12-18,75.0,2.21,2.27,1.0,1196.0,0.4923146472167969,160.46,160.36,160.6,0.467406207154431
AMD,AMD251024P00165000,Put,2025-10-24,165.0,10.95,11.15,4.0,121.0,0.4099790447998046,160.46,160.36,160.6,1.0282936557397482
AMD,AMD251003P00148000,Put,2025-10-03,148.0,1.64,1.68,158.0,604.0,0.43555251953125,160.46,160.36,160.6,0.922348248784744
AMD,AMD251024P00150000,Put,2025-10-24,150.0,4.15,4.25,63.0,574.0,0.4190731921386719,160.46,160.36,160.6,0.934812414308862
AMD,AMD260116C00260000,Call,2026-01-16,260.0,1.31,1.35,5.0,3093.0,0.512578116455078,160.46,160.36,160.6,0.6171538461538462
AMD,AMD251121P00115000,Put,2025-11-21,115.0,0.94,0.97,35.0,4451.0,0.5280808911132813,160.46,160.36,160.6,0.7166895176367942
AMD,AMD251010C00152500,Call,2025-10-10,152.5,11.9,12.15,9.0,259.0,0.4598442687988281,160.46,160.36,160.6,1.0521967213114756
AMD,AMD260220C00260000,Call,2026-02-20,260.0,2.29,2.34,3.0,323.0,0.5116015637207032,160.46,160.36,160.6,0.6171538461538462
AMD,AMD260618P00085000,Put,2026-06-18,85.0,1.64,1.69,1.0,3238.0,0.5050098327636718,160.46,160.36,160.6,0.5297270347750218
AMD,AMD270115C00320000,Call,2027-01-15,320.0,6.45,6.6,151.0,486.0,0.4872792971801758,160.46,160.36,160.6,0.5014375
AMD,AMD250926P00177500,Put,2025-09-26,177.5,17.4,17.7,19.0,99.0,0.4597221997070312,160.46,160.36,160.6,1.106194690265487
AMD,AMD260918C00280000,Call,2026-09-18,280.0,6.45,6.6,17.0,491.0,0.49023947265625,160.46,160.36,160.6,0.5730714285714286
AMD,AMD251003P00145000,Put,2025-10-03,145.0,1.16,1.19,181.0,979.0,0.4443414941406249,160.46,160.36,160.6,0.9036520004985664
AMD,AMD260417P00135000,Put,2026-04-17,135.0,9.25,9.4,6.0,76.0,0.4363459686279296,160.46,160.36,160.6,0.8413311728779758
AMD,AMD270115C00340000,Call,2027-01-15,340.0,5.45,5.55,3.0,139.0,0.4904225762939453,160.46,160.36,160.6,0.4719411764705882
AMD,AMD251003C00182500,Call,2025-10-03,182.5,0.86,0.88,77.0,532.0,0.4621635815429688,160.46,160.36,160.6,0.8792328767123289
AMD,AMD270617C00310000,Call,2027-06-17,310.0,10.85,11.05,4.0,150.0,0.4856923989868164,160.46,160.36,160.6,0.5176129032258064
AMD,AMD251003P00157500,Put,2025-10-03,157.5,4.45,4.55,196.0,450.0,0.41992767578125,160.46,160.36,160.6,0.981553035024305
AMD,AMD260618C00300000,Call,2026-06-18,300.0,3.2,3.3,52.0,4852.0,0.5036060382080079,160.46,160.36,160.6,0.5348666666666667
AMD,AMD260821P00110000,Put,2026-08-21,110.0,6.0,6.15,1.0,914.0,0.4532525378417968,160.46,160.36,160.6,0.6855291038264988
AMD,AMD260320C00250000,Call,2026-03-20,250.0,3.55,3.65,53.0,2173.0,0.5005543109130859,160.46,160.36,160.6,0.6418400000000001
AMD,AMD251003C00177500,Call,2025-10-03,177.5,1.36,1.39,160.0,428.0,0.4514215014648438,160.46,160.36,160.6,0.904
AMD,AMD251121P00120000,Put,2025-11-21,120.0,1.31,1.35,17.0,4305.0,0.5141650146484374,160.46,160.36,160.6,0.7478499314470896
AMD,AMD260918C00270000,Call,2026-09-18,270.0,7.3,7.45,1.0,293.0,0.4891408508300782,160.46,160.36,160.6,0.5942962962962963
AMD,AMD270617P00115000,Put,2027-06-17,115.0,12.15,12.4,1001.0,315.0,0.4183407775878905,160.46,160.36,160.6,0.7166895176367942
AMD,AMD270617C00260000,Call,2027-06-17,260.0,16.4,16.65,1.0,71.0,0.484807398071289,160.46,160.36,160.6,0.6171538461538462
AMD,AMD260220P00115000,Put,2026-02-20,115.0,3.1,3.2,2.0,8320.0,0.4804739453125,160.46,160.36,160.6,0.7166895176367942
AMD,AMD250926C00177500,Call,2025-09-26,177.5,0.67,0.69,2411.0,4351.0,0.4653373779296875,160.46,160.36,160.6,0.904
AMD,AMD260417C00250000,Call,2026-04-17,250.0,4.3,4.4,11.0,710.0,0.4924977508544922,160.46,160.36,160.6,0.6418400000000001
AMD,AMD251024P00157500,Put,2025-10-24,157.5,7.0,7.15,20.0,432.0,0.4127255993652343,160.46,160.36,160.6,0.981553035024305
AMD,AMD270617P00110000,Put,2027-06-17,110.0,10.65,10.85,3.0,207.0,0.4227962994384765,160.46,160.36,160.6,0.6855291038264988
AMD,AMD270115C00350000,Call,2027-01-15,350.0,5.0,5.1,150.0,293.0,0.4919484399414063,160.46,160.36,160.6,0.4584571428571429
