Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
GVA,GVA250919C00055000,Call,2025-09-19,55.0,51.1,54.5,15.0,5,4.4902387622070306,108.31,104.52,114.99,1.9692727272727273
GVA,GVA250919C00060000,Call,2025-09-19,60.0,46.3,50.4,1.0,1,2.2656293359374997,108.31,104.52,114.99,1.8051666666666668
GVA,GVA250919C00065000,Call,2025-09-19,65.0,41.3,45.2,20.0,11,4.014653419189454,108.31,104.52,114.99,1.6663076923076923
GVA,GVA250919C00070000,Call,2025-09-19,70.0,36.2,40.2,1.0,0,3.5498058129882812,108.31,104.52,114.99,1.5472857142857144
GVA,GVA250919C00075000,Call,2025-09-19,75.0,31.3,35.2,1.0,1,3.112306906738281,108.31,104.52,114.99,1.4441333333333333
GVA,GVA250919C00080000,Call,2025-09-19,80.0,29.5,33.2,1.0,5,3.1845723510742188,108.31,104.52,114.99,1.353875
GVA,GVA250919C00085000,Call,2025-09-19,85.0,9.0,12.7,5.0,5,1.0000000000000003e-05,108.31,104.52,114.99,1.2742352941176471
GVA,GVA250919C00090000,Call,2025-09-19,90.0,16.4,20.2,1.0,29,1.9121098144531252,108.31,104.52,114.99,1.2034444444444445
GVA,GVA250919C00095000,Call,2025-09-19,95.0,11.2,15.1,2.0,12,1.4980493847656249,108.31,104.52,114.99,1.1401052631578947
GVA,GVA250919C00100000,Call,2025-09-19,100.0,6.5,10.4,8.0,332,1.203128984375,108.31,104.52,114.99,1.0831
GVA,GVA250919C00105000,Call,2025-09-19,105.0,2.3,5.7,3.0,22,0.8579115771484375,108.31,104.52,114.99,1.0315238095238095
GVA,GVA250919C00110000,Call,2025-09-19,110.0,0.0,2.85,1.0,4,0.79687703125,108.31,104.52,114.99,0.9846363636363636
GVA,GVA250919C00115000,Call,2025-09-19,115.0,0.0,2.15,7.0,410,0.73633076171875,108.31,104.52,114.99,0.9418260869565218
GVA,GVA250919C00120000,Call,2025-09-19,120.0,0.0,0.25,12.0,86,0.57617611328125,108.31,104.52,114.99,0.9025833333333334
GVA,GVA250919C00125000,Call,2025-09-19,125.0,0.0,0.0,,1,0.2500075,108.31,104.52,114.99,0.86648
GVA,GVA250919P00040000,Put,2025-09-19,40.0,0.0,1.0,1.0,2,5.277347153320312,108.31,104.52,114.99,0.3693103129904903
GVA,GVA250919P00050000,Put,2025-09-19,50.0,0.0,2.65,,1,5.158206677246094,108.31,104.52,114.99,0.46163789123811283
GVA,GVA250919P00065000,Put,2025-09-19,65.0,0.6,3.2,20.0,23,4.020512786865234,108.31,104.52,114.99,0.6001292586095467
GVA,GVA250919P00075000,Put,2025-09-19,75.0,0.0,0.0,,2,0.500005,108.31,104.52,114.99,0.6924568368571692
GVA,GVA250919P00085000,Put,2025-09-19,85.0,0.0,0.75,5.0,8,1.48047134765625,108.31,104.52,114.99,0.7847844151047918
GVA,GVA250919P00090000,Put,2025-09-19,90.0,0.0,1.55,1.0,3,1.4345731396484376,108.31,104.52,114.99,0.830948204228603
GVA,GVA250919P00095000,Put,2025-09-19,95.0,0.0,0.1,1.0,0,0.6132851171875001,108.31,104.52,114.99,0.8771119933524143
GVA,GVA250919P00100000,Put,2025-09-19,100.0,0.0,1.25,1.0,4,0.7368190380859375,108.31,104.52,114.99,0.9232757824762257
GVA,GVA250919P00105000,Put,2025-09-19,105.0,0.05,1.85,4.0,1,0.727541787109375,108.31,104.52,114.99,0.9694395716000369
GVA,GVA250919P00110000,Put,2025-09-19,110.0,0.6,4.4,1.0,3,0.7656273437500001,108.31,104.52,114.99,1.0156033607238482
GVA,GVA250919P00115000,Put,2025-09-19,115.0,5.6,8.7,,0,0.5371140039062501,108.31,104.52,114.99,1.0617671498476595
GVA,GVA251017C00055000,Call,2025-10-17,55.0,51.4,54.5,,15,1.5878926855468747,108.31,104.52,114.99,1.9692727272727273
GVA,GVA251017C00075000,Call,2025-10-17,75.0,31.5,35.3,,1,0.5800823242187501,108.31,104.52,114.99,1.4441333333333333
GVA,GVA251017C00095000,Call,2025-10-17,95.0,11.9,15.9,,1,0.6198768481445314,108.31,104.52,114.99,1.1401052631578947
GVA,GVA251017C00110000,Call,2025-10-17,110.0,1.6,4.5,201.0,603,0.41138283935546877,108.31,104.52,114.99,0.9846363636363636
GVA,GVA251017C00115000,Call,2025-10-17,115.0,0.0,2.75,3.0,31,0.41394629028320307,108.31,104.52,114.99,0.9418260869565218
GVA,GVA251017P00095000,Put,2025-10-17,95.0,0.0,2.3,,1,0.5881388842773438,108.31,104.52,114.99,0.8771119933524143
GVA,GVA251017P00105000,Put,2025-10-17,105.0,0.3,3.8,1.0,3,0.4202938830566406,108.31,104.52,114.99,0.9694395716000369
GVA,GVA251017P00110000,Put,2025-10-17,110.0,2.0,4.4,200.0,622,0.27075924560546877,108.31,104.52,114.99,1.0156033607238482
GVA,GVA251017P00115000,Put,2025-10-17,115.0,5.4,9.1,8.0,8,0.3846497082519531,108.31,104.52,114.99,1.0617671498476595
GVA,GVA251219C00040000,Call,2025-12-19,40.0,52.1,56.3,1.0,0,1.0000000000000003e-05,108.31,104.52,114.99,2.70775
GVA,GVA251219C00045000,Call,2025-12-19,45.0,0.0,0.0,1.0,0,1.0000000000000003e-05,108.31,104.52,114.99,2.406888888888889
GVA,GVA251219C00050000,Call,2025-12-19,50.0,56.8,60.6,1.0,0,0.82226740234375,108.31,104.52,114.99,2.1662
GVA,GVA251219C00055000,Call,2025-12-19,55.0,51.9,55.7,6.0,6,0.762697685546875,108.31,104.52,114.99,1.9692727272727273
GVA,GVA251219C00065000,Call,2025-12-19,65.0,42.1,45.8,1.0,27,0.6303747900390625,108.31,104.52,114.99,1.6663076923076923
GVA,GVA251219C00070000,Call,2025-12-19,70.0,23.9,27.5,50.0,16,1.0000000000000003e-05,108.31,104.52,114.99,1.5472857142857144
GVA,GVA251219C00075000,Call,2025-12-19,75.0,32.3,36.2,,1,0.52539537109375,108.31,104.52,114.99,1.4441333333333333
GVA,GVA251219C00080000,Call,2025-12-19,80.0,27.4,30.4,1.0,14,0.5720257641601563,108.31,104.52,114.99,1.353875
GVA,GVA251219C00085000,Call,2025-12-19,85.0,23.0,27.0,1.0,10,0.6092568371582032,108.31,104.52,114.99,1.2742352941176471
GVA,GVA251219C00090000,Call,2025-12-19,90.0,18.3,21.2,20.0,200,0.46411668701171876,108.31,104.52,114.99,1.2034444444444445
GVA,GVA251219C00095000,Call,2025-12-19,95.0,13.8,17.9,7.0,18,0.4776663562011719,108.31,104.52,114.99,1.1401052631578947
GVA,GVA251219C00100000,Call,2025-12-19,100.0,9.7,13.9,8.0,19,0.4327449304199219,108.31,104.52,114.99,1.0831
GVA,GVA251219C00105000,Call,2025-12-19,105.0,7.0,10.2,5.0,6,0.3895324719238281,108.31,104.52,114.99,1.0315238095238095
GVA,GVA251219C00110000,Call,2025-12-19,110.0,0.0,0.0,150.0,181,0.007822421875,108.31,104.52,114.99,0.9846363636363636
GVA,GVA251219C00115000,Call,2025-12-19,115.0,1.95,4.3,2.0,308,0.31513136047363277,108.31,104.52,114.99,0.9418260869565218
GVA,GVA251219C00120000,Call,2025-12-19,120.0,1.5,3.9,1.0,10,0.36646141357421874,108.31,104.52,114.99,0.9025833333333334
GVA,GVA251219C00125000,Call,2025-12-19,125.0,0.0,3.1,1.0,7,0.38513798461914056,108.31,104.52,114.99,0.86648
GVA,GVA251219C00130000,Call,2025-12-19,130.0,0.5,1.3,1.0,48,0.3215399877929687,108.31,104.52,114.99,0.8331538461538461
GVA,GVA251219C00135000,Call,2025-12-19,135.0,0.0,2.6,,1,0.4572808178710938,108.31,104.52,114.99,0.8022962962962963
GVA,GVA251219C00145000,Call,2025-12-19,145.0,0.0,2.95,,3,0.5668988623046876,108.31,104.52,114.99,0.7469655172413793
GVA,GVA251219P00040000,Put,2025-12-19,40.0,0.05,2.45,1.0,11,1.306155812988281,108.31,104.52,114.99,0.3693103129904903
GVA,GVA251219P00045000,Put,2025-12-19,45.0,0.0,2.55,1.0,36,1.1728556982421874,108.31,104.52,114.99,0.4154741021143015
GVA,GVA251219P00050000,Put,2025-12-19,50.0,0.0,2.35,1.0,7,1.0288134497070316,108.31,104.52,114.99,0.46163789123811283
GVA,GVA251219P00055000,Put,2025-12-19,55.0,0.45,2.95,1.0,1,1.0078174609375,108.31,104.52,114.99,0.5078016803619241
GVA,GVA251219P00060000,Put,2025-12-19,60.0,0.45,2.9,40.0,18,0.8959971337890623,108.31,104.52,114.99,0.5539654694857353
GVA,GVA251219P00065000,Put,2025-12-19,65.0,0.0,0.0,1.0,16,0.2500075,108.31,104.52,114.99,0.6001292586095467
GVA,GVA251219P00070000,Put,2025-12-19,70.0,0.0,2.3,,1,0.6350134155273439,108.31,104.52,114.99,0.6462930477333579
GVA,GVA251219P00075000,Put,2025-12-19,75.0,0.0,2.4,2.0,7,0.5603071313476562,108.31,104.52,114.99,0.6924568368571692
GVA,GVA251219P00080000,Put,2025-12-19,80.0,0.0,2.75,1.0,4,0.5017139672851563,108.31,104.52,114.99,0.7386206259809805
GVA,GVA251219P00085000,Put,2025-12-19,85.0,0.0,2.4,1.0,4,0.5136767382812499,108.31,104.52,114.99,0.7847844151047918
GVA,GVA251219P00090000,Put,2025-12-19,90.0,0.0,3.1,1.0,4,0.47852083984375,108.31,104.52,114.99,0.830948204228603
GVA,GVA251219P00095000,Put,2025-12-19,95.0,0.0,3.9,1.0,6,0.43848217773437503,108.31,104.52,114.99,0.8771119933524143
GVA,GVA251219P00100000,Put,2025-12-19,100.0,0.7,4.8,4.0,17,0.39252316467285153,108.31,104.52,114.99,0.9232757824762257
GVA,GVA251219P00105000,Put,2025-12-19,105.0,2.55,6.3,,2,0.3619448571777344,108.31,104.52,114.99,0.9694395716000369
GVA,GVA251219P00115000,Put,2025-12-19,115.0,8.0,11.8,,8,0.3534000207519531,108.31,104.52,114.99,1.0617671498476595
GVA,GVA260320C00050000,Call,2026-03-20,50.0,60.1,63.9,1.0,1,1.0100147155761716,108.31,104.52,114.99,2.1662
GVA,GVA260320C00055000,Call,2026-03-20,55.0,52.5,56.2,1.0,1,0.637698935546875,108.31,104.52,114.99,1.9692727272727273
GVA,GVA260320C00085000,Call,2026-03-20,85.0,27.8,31.6,,1,0.5622602368164062,108.31,104.52,114.99,1.2742352941176471
GVA,GVA260320C00100000,Call,2026-03-20,100.0,0.0,0.0,1.0,1,1.0000000000000003e-05,108.31,104.52,114.99,1.0831
GVA,GVA260320C00105000,Call,2026-03-20,105.0,9.6,13.5,1.0,1,0.38873902282714845,108.31,104.52,114.99,1.0315238095238095
GVA,GVA260320C00110000,Call,2026-03-20,110.0,6.7,10.8,1.0,31,0.37500625,108.31,104.52,114.99,0.9846363636363636
GVA,GVA260320C00115000,Call,2026-03-20,115.0,4.5,8.5,1.0,2,0.36389796264648444,108.31,104.52,114.99,0.9418260869565218
GVA,GVA260320C00120000,Call,2026-03-20,120.0,2.6,6.5,1.0,2,0.351996226196289,108.31,104.52,114.99,0.9025833333333334
GVA,GVA260320C00130000,Call,2026-03-20,130.0,0.2,4.4,,2,0.36524072265625,108.31,104.52,114.99,0.8331538461538461
GVA,GVA260320C00135000,Call,2026-03-20,135.0,1.0,3.6,1.0,5,0.370123486328125,108.31,104.52,114.99,0.8022962962962963
GVA,GVA260320C00145000,Call,2026-03-20,145.0,0.0,2.8,1.0,6,0.3979552392578125,108.31,104.52,114.99,0.7469655172413793
GVA,GVA260320C00150000,Call,2026-03-20,150.0,0.0,2.6,1.0,4,0.4161435339355468,108.31,104.52,114.99,0.7220666666666666
GVA,GVA260320P00050000,Put,2026-03-20,50.0,0.0,2.15,1.0,1,0.7204617797851562,108.31,104.52,114.99,0.46163789123811283
GVA,GVA260320P00085000,Put,2026-03-20,85.0,0.0,0.0,,1,0.062509375,108.31,104.52,114.99,0.7847844151047918
GVA,GVA260320P00100000,Put,2026-03-20,100.0,2.95,7.0,,1,0.3600527862548828,108.31,104.52,114.99,0.9232757824762257
GVA,GVA260320P00105000,Put,2026-03-20,105.0,5.0,9.0,,1,0.3491276025390625,108.31,104.52,114.99,0.9694395716000369
GVA,GVA260320P00110000,Put,2026-03-20,110.0,7.1,11.0,1.0,2,0.3267889587402344,108.31,104.52,114.99,1.0156033607238482
