Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
PSN,PSN250919C00040000,Call,2025-09-19,40.0,24.3,28.9,,0,1.0000000000000003e-05,75.42,74.35,75.61,1.8855
PSN,PSN250919C00045000,Call,2025-09-19,45.0,22.3,25.3,1.0,0,1.0000000000000003e-05,75.42,74.35,75.61,1.676
PSN,PSN250919C00050000,Call,2025-09-19,50.0,24.0,26.5,1.0,2,3.1992207519531246,75.42,74.35,75.61,1.5084
PSN,PSN250919C00055000,Call,2025-09-19,55.0,18.6,22.4,2.0,83,1.4921900390624998,75.42,74.35,75.61,1.3712727272727272
PSN,PSN250919C00060000,Call,2025-09-19,60.0,15.2,16.7,1.0,416,1.673829755859375,75.42,74.35,75.61,1.2570000000000001
PSN,PSN250919C00065000,Call,2025-09-19,65.0,10.1,11.7,1.0,1036,1.1796916015624999,75.42,74.35,75.61,1.1603076923076923
PSN,PSN250919C00070000,Call,2025-09-19,70.0,4.4,6.0,6.0,756,0.77929908203125,75.42,74.35,75.61,1.0774285714285714
PSN,PSN250919C00075000,Call,2025-09-19,75.0,1.1,1.4,14.0,442,0.37500625,75.42,74.35,75.61,1.0056
PSN,PSN250919C00080000,Call,2025-09-19,80.0,0.0,0.25,3.0,213,0.49121602539062503,75.42,74.35,75.61,0.94275
PSN,PSN250919C00085000,Call,2025-09-19,85.0,0.0,0.05,18.0,702,0.5312546875,75.42,74.35,75.61,0.8872941176470588
PSN,PSN250919C00090000,Call,2025-09-19,90.0,0.0,0.95,43.0,476,1.2753942480468747,75.42,74.35,75.61,0.838
PSN,PSN250919C00095000,Call,2025-09-19,95.0,0.3,0.65,,1,1.5468772656249998,75.42,74.35,75.61,0.7938947368421053
PSN,PSN250919C00100000,Call,2025-09-19,100.0,0.0,1.8,6.0,5,2.1015672460937496,75.42,74.35,75.61,0.7542
PSN,PSN250919C00105000,Call,2025-09-19,105.0,0.0,2.15,,15,2.4628944677734372,75.42,74.35,75.61,0.7182857142857143
PSN,PSN250919C00110000,Call,2025-09-19,110.0,0.0,2.15,15.0,35,2.697268881835938,75.42,74.35,75.61,0.6856363636363636
PSN,PSN250919P00045000,Put,2025-09-19,45.0,0.0,0.0,,0,0.500005,75.42,74.35,75.61,0.5966587112171837
PSN,PSN250919P00050000,Put,2025-09-19,50.0,0.0,0.8,2.0,479,2.5039099902343747,75.42,74.35,75.61,0.6629541235746487
PSN,PSN250919P00055000,Put,2025-09-19,55.0,0.0,0.7,2.0,879,1.95703146484375,75.42,74.35,75.61,0.7292495359321135
PSN,PSN250919P00060000,Put,2025-09-19,60.0,0.0,0.2,4.0,911,1.171879140625,75.42,74.35,75.61,0.7955449482895783
PSN,PSN250919P00065000,Put,2025-09-19,65.0,0.0,1.55,1.0,516,1.3681672216796876,75.42,74.35,75.61,0.8618403606470432
PSN,PSN250919P00070000,Put,2025-09-19,70.0,0.0,0.8,2.0,243,0.6835969140625001,75.42,74.35,75.61,0.9281357730045081
PSN,PSN250919P00075000,Put,2025-09-19,75.0,0.65,1.65,7.0,83,0.5898478515625001,75.42,74.35,75.61,0.994431185361973
PSN,PSN250919P00080000,Put,2025-09-19,80.0,4.1,4.9,1.0,122,0.5312546875,75.42,74.35,75.61,1.0607265977194378
PSN,PSN250919P00085000,Put,2025-09-19,85.0,8.5,10.3,1.0,33,1.1035201074218752,75.42,74.35,75.61,1.1270220100769026
PSN,PSN250919P00090000,Put,2025-09-19,90.0,13.5,15.9,,1,0.945313046875,75.42,74.35,75.61,1.1933174224343674
PSN,PSN250919P00095000,Put,2025-09-19,95.0,13.4,16.1,,0,1.0000000000000003e-05,75.42,74.35,75.61,1.2596128347918323
PSN,PSN251017C00055000,Call,2025-10-17,55.0,19.5,22.9,2.0,15,0.84179845703125,75.42,74.35,75.61,1.3712727272727272
PSN,PSN251017C00060000,Call,2025-10-17,60.0,15.7,16.8,2.0,78,0.6718782812500002,75.42,74.35,75.61,1.2570000000000001
PSN,PSN251017C00065000,Call,2025-10-17,65.0,11.0,11.4,1.0,125,0.524418818359375,75.42,74.35,75.61,1.1603076923076923
PSN,PSN251017C00070000,Call,2025-10-17,70.0,5.9,7.0,1.0,21,0.42774009765625004,75.42,74.35,75.61,1.0774285714285714
PSN,PSN251017C00075000,Call,2025-10-17,75.0,2.9,3.5,2.0,104,0.3698793481445312,75.42,74.35,75.61,1.0056
PSN,PSN251017C00080000,Call,2025-10-17,80.0,0.6,1.2,9.0,180,0.32031929687499994,75.42,74.35,75.61,0.94275
PSN,PSN251017C00085000,Call,2025-10-17,85.0,0.0,0.45,2.0,120,0.336920693359375,75.42,74.35,75.61,0.8872941176470588
PSN,PSN251017C00090000,Call,2025-10-17,90.0,0.0,0.75,2.0,156,0.5122119091796875,75.42,74.35,75.61,0.838
PSN,PSN251017C00095000,Call,2025-10-17,95.0,0.0,0.0,4.0,41,0.12500875,75.42,74.35,75.61,0.7938947368421053
PSN,PSN251017C00100000,Call,2025-10-17,100.0,0.0,0.3,10.0,2508,0.50586431640625,75.42,74.35,75.61,0.7542
PSN,PSN251017C00105000,Call,2025-10-17,105.0,0.1,0.75,8.0,30,0.6982452050781252,75.42,74.35,75.61,0.7182857142857143
PSN,PSN251017C00110000,Call,2025-10-17,110.0,0.0,0.75,3.0,41,0.7524438818359375,75.42,74.35,75.61,0.6856363636363636
PSN,PSN251017C00115000,Call,2025-10-17,115.0,0.0,2.05,3.0,3,1.0185595947265624,75.42,74.35,75.61,0.6558260869565218
PSN,PSN251017C00120000,Call,2025-10-17,120.0,0.0,0.15,1.0,113,0.6875031250000001,75.42,74.35,75.61,0.6285000000000001
PSN,PSN251017C00125000,Call,2025-10-17,125.0,0.0,0.0,,6,0.2500075,75.42,74.35,75.61,0.60336
PSN,PSN251017C00130000,Call,2025-10-17,130.0,1.8,4.2,,1,1.623048759765625,75.42,74.35,75.61,0.5801538461538461
PSN,PSN251017C00135000,Call,2025-10-17,135.0,0.0,1.35,10.0,156,1.1743205346679688,75.42,74.35,75.61,0.5586666666666666
PSN,PSN251017C00145000,Call,2025-10-17,145.0,0.0,1.45,36.0,82,1.2988316308593748,75.42,74.35,75.61,0.5201379310344828
PSN,PSN251017C00150000,Call,2025-10-17,150.0,0.0,1.7,,1,1.3911163256835937,75.42,74.35,75.61,0.5028
PSN,PSN251017C00160000,Call,2025-10-17,160.0,0.0,0.5,1.0,1,1.2089883300781248,75.42,74.35,75.61,0.471375
PSN,PSN251017C00165000,Call,2025-10-17,165.0,0.0,0.05,5.0,43,0.9531254687499999,75.42,74.35,75.61,0.4570909090909091
PSN,PSN251017P00035000,Put,2025-10-17,35.0,0.0,0.95,,7,1.5664084179687499,75.42,74.35,75.61,0.46406788650225406
PSN,PSN251017P00040000,Put,2025-10-17,40.0,0.0,2.15,1.0,348,1.6025410498046875,75.42,74.35,75.61,0.5303632988597189
PSN,PSN251017P00045000,Put,2025-10-17,45.0,0.0,1.75,,2,1.2827184301757812,75.42,74.35,75.61,0.5966587112171837
PSN,PSN251017P00050000,Put,2025-10-17,50.0,0.65,1.7,,4,1.1586956127929686,75.42,74.35,75.61,0.6629541235746487
PSN,PSN251017P00055000,Put,2025-10-17,55.0,0.0,0.0,1.0,647,0.2500075,75.42,74.35,75.61,0.7292495359321135
PSN,PSN251017P00060000,Put,2025-10-17,60.0,0.1,0.25,3.0,582,0.4946339599609375,75.42,74.35,75.61,0.7955449482895783
PSN,PSN251017P00065000,Put,2025-10-17,65.0,0.35,0.5,3.0,171,0.42188078125,75.42,74.35,75.61,0.8618403606470432
PSN,PSN251017P00070000,Put,2025-10-17,70.0,0.0,1.25,116.0,157,0.3811097045898437,75.42,74.35,75.61,0.9281357730045081
PSN,PSN251017P00075000,Put,2025-10-17,75.0,2.05,3.8,4.0,103,0.4514215014648438,75.42,74.35,75.61,0.994431185361973
PSN,PSN251017P00080000,Put,2025-10-17,80.0,4.9,5.7,1.0,88,0.30982135498046875,75.42,74.35,75.61,1.0607265977194378
PSN,PSN251017P00085000,Put,2025-10-17,85.0,6.6,8.6,2.0,3,1.0000000000000003e-05,75.42,74.35,75.61,1.1270220100769026
