Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
LNT,LNT250919C00060000,Call,2025-09-19,60.0,0.0,0.0,1.0,0,1.0000000000000003e-05,63.86,63.82,63.99,1.0643333333333334
LNT,LNT250919C00062500,Call,2025-09-19,62.5,2.85,6.9,,1,1.822266513671875,63.86,63.82,63.99,1.02176
LNT,LNT250919C00065000,Call,2025-09-19,65.0,0.0,2.25,2.0,110,0.700198310546875,63.86,63.82,63.99,0.9824615384615385
LNT,LNT250919C00067500,Call,2025-09-19,67.5,0.0,2.15,1.0,205,1.0459032080078128,63.86,63.82,63.99,0.9460740740740741
LNT,LNT250919C00070000,Call,2025-09-19,70.0,0.0,2.15,5.0,16,1.3515657421874998,63.86,63.82,63.99,0.9122857142857143
LNT,LNT250919P00060000,Put,2025-09-19,60.0,0.0,2.15,1.0,10,1.1416058544921874,63.86,63.82,63.99,0.9395552771688068
LNT,LNT250919P00062500,Put,2025-09-19,62.5,0.05,1.2,12.0,43,0.51758294921875,63.86,63.82,63.99,0.978703413717507
LNT,LNT250919P00065000,Put,2025-09-19,65.0,0.0,3.3,1.0,22,1.1552776611328124,63.86,63.82,63.99,1.0178515502662073
LNT,LNT250919P00072500,Put,2025-09-19,72.5,6.1,10.0,10.0,10,1.7861338818359376,63.86,63.82,63.99,1.1352959599123083
LNT,LNT251017C00035000,Call,2025-10-17,35.0,24.9,29.3,,2,1.3105503222656247,63.86,63.82,63.99,1.8245714285714285
LNT,LNT251017C00042500,Call,2025-10-17,42.5,22.8,26.7,2.0,2,1.8076181494140622,63.86,63.82,63.99,1.5025882352941176
LNT,LNT251017C00052500,Call,2025-10-17,52.5,11.1,15.1,5.0,7,0.8491226025390625,63.86,63.82,63.99,1.2163809523809523
LNT,LNT251017C00055000,Call,2025-10-17,55.0,10.5,13.4,6.0,4,0.9592289233398437,63.86,63.82,63.99,1.1610909090909092
LNT,LNT251017C00057500,Call,2025-10-17,57.5,6.3,9.2,17.0,56,0.5312546875,63.86,63.82,63.99,1.110608695652174
LNT,LNT251017C00060000,Call,2025-10-17,60.0,3.5,6.7,1.0,17,0.6274451318359376,63.86,63.82,63.99,1.0643333333333334
