Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
WEC,WEC260417C00125000,Call,2026-04-17,125.0,0.9,2.05,,10,0.2065509033203124,109.47,109.0,109.67,0.87576
WEC,WEC251219P00095000,Put,2025-12-19,95.0,0.55,1.35,5.0,13,0.2924875439453124,109.47,109.0,109.67,0.8678176669407144
WEC,WEC250919C00110000,Call,2025-09-19,110.0,0.0,0.45,25.0,732,0.2104571142578125,109.47,109.0,109.67,0.9951818181818182
WEC,WEC251219C00125000,Call,2025-12-19,125.0,0.0,0.4,2.0,797,0.1870198486328125,109.47,109.0,109.67,0.87576
WEC,WEC250919C00105000,Call,2025-09-19,105.0,3.0,5.3,1.0,6,0.7709983837890625,109.47,109.0,109.67,1.0425714285714285
WEC,WEC251017P00070000,Put,2025-10-17,70.0,0.0,0.25,1.0,1249,0.7480493945312501,109.47,109.0,109.67,0.6394445966931579
WEC,WEC251219P00080000,Put,2025-12-19,80.0,0.05,2.3,1.0,1117,0.6101113208007813,109.47,109.0,109.67,0.7307938247921805
WEC,WEC260220C00120000,Call,2026-02-20,120.0,1.2,2.35,7.0,11,0.2092974578857421,109.47,109.0,109.67,0.91225
WEC,WEC251017P00097500,Put,2025-10-17,97.5,0.15,0.45,4.0,46,0.3169013623046874,109.47,109.0,109.67,0.89065497396547
WEC,WEC251017P00100000,Put,2025-10-17,100.0,0.2,0.5,1.0,31,0.2727123510742187,109.47,109.0,109.67,0.9134922809902256
WEC,WEC250919P00110000,Put,2025-09-19,110.0,0.25,1.8,4.0,890,0.4692435888671875,109.47,109.0,109.67,1.0048415090892482
WEC,WEC260220P00095000,Put,2026-02-20,95.0,1.1,1.9,,12,0.2569654382324219,109.47,109.0,109.67,0.8678176669407144
WEC,WEC260116C00125000,Call,2026-01-16,125.0,0.3,0.6,2.0,27,0.1820150158691406,109.47,109.0,109.67,0.87576
WEC,WEC260417C00120000,Call,2026-04-17,120.0,1.75,3.0,2.0,14,0.2023395196533202,109.47,109.0,109.67,0.91225
WEC,WEC260116P00095000,Put,2026-01-16,95.0,0.8,1.25,1.0,17,0.2496412927246093,109.47,109.0,109.67,0.8678176669407144
WEC,WEC260116P00070000,Put,2026-01-16,70.0,0.1,0.35,1.0,1760,0.4414118359375,109.47,109.0,109.67,0.6394445966931579
WEC,WEC251219P00097500,Put,2025-12-19,97.5,0.8,1.35,2.0,37,0.2561109545898438,109.47,109.0,109.67,0.89065497396547
WEC,WEC260417C00115000,Call,2026-04-17,115.0,3.3,4.3,,6,0.1966633068847656,109.47,109.0,109.67,0.9519130434782608
WEC,WEC251219P00100000,Put,2025-12-19,100.0,1.05,1.75,2.0,45,0.2450026672363281,109.47,109.0,109.67,0.9134922809902256
WEC,WEC260116P00085000,Put,2026-01-16,85.0,0.35,0.6,1.0,68,0.3093330786132812,109.47,109.0,109.67,0.7764684388416918
WEC,WEC251219C00092500,Call,2025-12-19,92.5,13.6,16.5,3.0,5,1.0000000000000004e-05,109.47,109.0,109.67,1.1834594594594594
WEC,WEC260220C00110000,Call,2026-02-20,110.0,4.6,6.0,4.0,11,0.2188798815917968,109.47,109.0,109.67,0.9951818181818182
WEC,WEC251219C00097500,Call,2025-12-19,97.5,10.9,14.4,2.0,19,0.327155166015625,109.47,109.0,109.67,1.1227692307692307
WEC,WEC260417C00090000,Call,2026-04-17,90.0,20.3,23.7,,5,0.3790345300292969,109.47,109.0,109.67,1.2163333333333333
WEC,WEC251219C00087500,Call,2025-12-19,87.5,17.4,21.5,10.0,11,1.0000000000000004e-05,109.47,109.0,109.67,1.2510857142857144
WEC,WEC251017C00115000,Call,2025-10-17,115.0,0.3,0.5,10.0,462,0.176766044921875,109.47,109.0,109.67,0.9519130434782608
WEC,WEC251219P00105000,Put,2025-12-19,105.0,1.95,2.6,10.0,34,0.207893663330078,109.47,109.0,109.67,0.959166895039737
WEC,WEC260220P00100000,Put,2026-02-20,100.0,1.9,2.3,10.0,15,0.2147905670166015,109.47,109.0,109.67,0.9134922809902256
WEC,WEC260116P00097500,Put,2026-01-16,97.5,1.5,1.8,14.0,14,0.2517164672851562,109.47,109.0,109.67,0.89065497396547
WEC,WEC260116C00085000,Call,2026-01-16,85.0,23.8,26.8,2.0,5,0.4616753051757813,109.47,109.0,109.67,1.2878823529411765
WEC,WEC260417P00100000,Put,2026-04-17,100.0,2.35,2.9,1.0,23,0.2070391796874999,109.47,109.0,109.67,0.9134922809902256
WEC,WEC260116P00105000,Put,2026-01-16,105.0,2.4,2.85,2.0,14,0.1932453723144531,109.47,109.0,109.67,0.959166895039737
WEC,WEC260116C00095000,Call,2026-01-16,95.0,12.8,15.6,21.0,22,0.2408523181152343,109.47,109.0,109.67,1.1523157894736842
WEC,WEC251219C00120000,Call,2025-12-19,120.0,0.55,0.85,1.0,978,0.1800619104003906,109.47,109.0,109.67,0.91225
WEC,WEC260116C00120000,Call,2026-01-16,120.0,0.85,1.3,1.0,887,0.1843343286132812,109.47,109.0,109.67,0.91225
WEC,WEC260116P00100000,Put,2026-01-16,100.0,1.35,2.0,2.0,777,0.2282792016601562,109.47,109.0,109.67,0.9134922809902256
WEC,WEC251219C00100000,Call,2025-12-19,100.0,10.3,12.6,21.0,31,0.3252020605468749,109.47,109.0,109.67,1.0947
WEC,WEC260116P00090000,Put,2026-01-16,90.0,0.55,0.8,2.0,601,0.2735668347167969,109.47,109.0,109.67,0.822143052891203
WEC,WEC251219C00085000,Call,2025-12-19,85.0,20.8,24.7,6.0,19,0.2871165039062499,109.47,109.0,109.67,1.2878823529411765
WEC,WEC260116C00100000,Call,2026-01-16,100.0,9.7,12.5,2.0,100,0.2802196002197265,109.47,109.0,109.67,1.0947
WEC,WEC251017C00110000,Call,2025-10-17,110.0,1.55,2.15,23.0,497,0.1916584741210937,109.47,109.0,109.67,0.9951818181818182
WEC,WEC260417C00110000,Call,2026-04-17,110.0,5.6,6.5,2.0,20,0.2027667614746093,109.47,109.0,109.67,0.9951818181818182
WEC,WEC260417P00110000,Put,2026-04-17,110.0,5.6,6.1,2.0,5,0.1749960430908203,109.47,109.0,109.67,1.0048415090892482
WEC,WEC260220C00090000,Call,2026-02-20,90.0,19.8,22.9,,20,0.4017393811035156,109.47,109.0,109.67,1.2163333333333333
WEC,WEC260116C00115000,Call,2026-01-16,115.0,2.1,2.65,11.0,135,0.1912922668457031,109.47,109.0,109.67,0.9519130434782608
WEC,WEC251219C00090000,Call,2025-12-19,90.0,19.0,21.9,5.0,21,0.4509332250976562,109.47,109.0,109.67,1.2163333333333333
WEC,WEC260116C00090000,Call,2026-01-16,90.0,19.6,22.2,5.0,15,0.414068359375,109.47,109.0,109.67,1.2163333333333333
WEC,WEC251219C00095000,Call,2025-12-19,95.0,14.9,16.9,1.0,21,0.3684145190429688,109.47,109.0,109.67,1.1523157894736842
WEC,WEC260417C00105000,Call,2026-04-17,105.0,8.6,9.8,1.0,26,0.2256547161865234,109.47,109.0,109.67,1.0425714285714285
WEC,WEC260417C00100000,Call,2026-04-17,100.0,12.4,13.4,2.0,7,0.24414818359375,109.47,109.0,109.67,1.0947
WEC,WEC251017P00105000,Put,2025-10-17,105.0,0.6,0.8,1.0,2148,0.1958088232421875,109.47,109.0,109.67,0.959166895039737
WEC,WEC260220C00105000,Call,2026-02-20,105.0,8.2,9.0,,15,0.233406103515625,109.47,109.0,109.67,1.0425714285714285
WEC,WEC251219P00110000,Put,2025-12-19,110.0,3.8,4.3,3.0,54,0.1825032922363281,109.47,109.0,109.67,1.0048415090892482
WEC,WEC251219C00115000,Call,2025-12-19,115.0,1.55,1.95,4.0,1795,0.1832357067871093,109.47,109.0,109.67,0.9519130434782608
WEC,WEC260116C00110000,Call,2026-01-16,110.0,4.3,4.8,2.0,45,0.2008136560058593,109.47,109.0,109.67,0.9951818181818182
WEC,WEC251017P00110000,Put,2025-10-17,110.0,2.05,2.3,3.0,172,0.1613853393554687,109.47,109.0,109.67,1.0048415090892482
WEC,WEC251017C00105000,Call,2025-10-17,105.0,5.3,5.7,1.0,57,0.2397536962890624,109.47,109.0,109.67,1.0425714285714285
WEC,WEC251219C00105000,Call,2025-12-19,105.0,6.9,7.4,10.0,50,0.2242509216308593,109.47,109.0,109.67,1.0425714285714285
WEC,WEC260116C00105000,Call,2026-01-16,105.0,7.5,7.9,4.0,77,0.2181474670410156,109.47,109.0,109.67,1.0425714285714285
WEC,WEC251219C00110000,Call,2025-12-19,110.0,3.7,4.0,8.0,1191,0.1927570959472656,109.47,109.0,109.67,0.9951818181818182
