Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
SSRM,SSRM250919C00005000,Call,2025-09-19,5.0,16.6,17.8,6.0,16,14.546875908203127,21.8,21.76,21.82,4.36
SSRM,SSRM250919C00006000,Call,2025-09-19,6.0,15.6,15.9,5.0,64,9.5000040625,21.8,21.76,21.82,3.6333333333333333
SSRM,SSRM250919C00007000,Call,2025-09-19,7.0,14.6,14.9,1.0,2295,8.406254746093747,21.8,21.76,21.82,3.1142857142857143
SSRM,SSRM250919C00008000,Call,2025-09-19,8.0,14.1,14.5,20.0,427,10.78906575683594,21.8,21.76,21.82,2.725
SSRM,SSRM250919C00009000,Call,2025-09-19,9.0,12.7,12.9,3.0,532,0.500005,21.8,21.76,21.82,2.4222222222222225
SSRM,SSRM250919C00010000,Call,2025-09-19,10.0,11.7,12.7,1.0,1108,8.148442407226563,21.8,21.76,21.82,2.18
SSRM,SSRM250919C00011000,Call,2025-09-19,11.0,10.7,12.6,24.0,1683,9.242191723632812,21.8,21.76,21.82,1.981818181818182
SSRM,SSRM250919C00012000,Call,2025-09-19,12.0,9.7,9.9,220.0,5090,0.500005,21.8,21.76,21.82,1.8166666666666667
SSRM,SSRM250919C00013000,Call,2025-09-19,13.0,8.7,10.6,3.0,1656,7.4531256835937505,21.8,21.76,21.82,1.676923076923077
SSRM,SSRM250919C00014000,Call,2025-09-19,14.0,7.7,7.9,3.0,1047,0.500005,21.8,21.76,21.82,1.5571428571428572
SSRM,SSRM250919C00015000,Call,2025-09-19,15.0,6.7,6.9,13.0,677,0.500005,21.8,21.76,21.82,1.4533333333333334
SSRM,SSRM250919C00016000,Call,2025-09-19,16.0,5.7,5.9,6.0,627,0.500005,21.8,21.76,21.82,1.3625
SSRM,SSRM250919C00017000,Call,2025-09-19,17.0,4.7,4.9,602.0,1110,0.500005,21.8,21.76,21.82,1.2823529411764707
SSRM,SSRM250919C00018000,Call,2025-09-19,18.0,3.7,3.9,614.0,1107,0.500005,21.8,21.76,21.82,1.2111111111111112
SSRM,SSRM250919C00019000,Call,2025-09-19,19.0,2.75,2.85,78.0,369,0.500005,21.8,21.76,21.82,1.1473684210526316
SSRM,SSRM250919C00020000,Call,2025-09-19,20.0,1.75,1.85,24.0,787,0.8437515624999999,21.8,21.76,21.82,1.09
