Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
JP225,45046,258,-0.57%,0.62%,5.03%,12.91%,19.41%,Sep/19
SHANGHAI,3820,12,-0.30%,-1.30%,1.43%,13.97%,39.58%,Sep/19
CSI 300,4502,4,0.08%,-0.44%,5.40%,14.41%,40.64%,Sep/19
SHANGHAI 50,2910,3,-0.11%,-1.98%,2.20%,8.38%,30.29%,Sep/19
CH50,14949.63,24.94,-0.17%,-1.02%,3.88%,10.63%,32.74%,Sep/19
SENSEX,82626,388,-0.47%,0.88%,0.94%,5.74%,-2.27%,Sep/19
DSE Broad,5450,42,-0.77%,-1.34%,0.72%,4.48%,-4.98%,Sep/18
JCI,8051,43,0.53%,2.51%,1.35%,13.72%,3.98%,Sep/19
TASI,10781,130,1.22%,3.13%,-0.93%,-10.43%,-10.76%,Sep/18
Taiwan Stock Market Index,25578,191,-0.74%,0.41%,8.27%,11.04%,15.43%,Sep/19
ADX General,10128,29,0.29%,1.14%,-0.75%,7.53%,7.31%,Sep/19
SET 50,835,4,-0.46%,-0.24%,2.53%,-7.88%,-8.62%,Sep/19
FKLCI,1598,1,-0.04%,-0.12%,0.63%,-2.69%,-4.23%,Sep/19
STI,4303,10,-0.23%,-0.96%,1.97%,13.60%,18.70%,Sep/19
TA-125,3081,40,1.32%,-2.57%,0.37%,26.97%,54.74%,Sep/18
HK50,26545,0,0.00%,0.59%,5.48%,32.33%,45.38%,Sep/19
PSEi,6264,31,0.50%,2.54%,-0.21%,-4.05%,-13.62%,Sep/19
KSE 100,158037,84,0.05%,2.33%,4.94%,37.27%,92.55%,Sep/19
KASE,7094,62,-0.86%,-0.95%,4.37%,27.18%,36.59%,Sep/19
QE,11308,82,0.73%,1.94%,-1.60%,6.97%,8.06%,Sep/18
HNX,276.24,0.68,-0.25%,-0.10%,-2.64%,21.46%,17.90%,Sep/19
VN,1659,7,-0.39%,-0.52%,-0.34%,30.93%,30.39%,Sep/19
MSM 30,5124,6,0.11%,0.82%,4.19%,11.95%,8.43%,Sep/18
ASPI,21085,120,0.57%,2.29%,1.79%,32.24%,92.13%,Sep/19
Blom,1990,0,0.00%,4.62%,0.31%,-20.93%,-1.01%,Sep/19
ASE,3082,3,-0.10%,2.61%,3.77%,23.84%,28.95%,Sep/18
LSX Composite,1416,52,-3.52%,-1.89%,-0.89%,23.10%,41.05%,Sep/19
MSE 20,48764,117,-0.24%,-0.45%,0.01%,-4.94%,1.17%,Sep/19
DFM General,6023,45,0.74%,-0.12%,-1.62%,16.76%,35.77%,Sep/19
Kuwait All Share,8820.82,4.12,0.05%,1.20%,1.58%,19.81%,22.98%,Sep/18
JPVIX,24.05,0.06,-0.25%,-1.60%,-4.37%,10.37%,-1.15%,Sep/19
NIFTY 50,25327,97,-0.38%,0.85%,1.10%,7.11%,-1.80%,Sep/19
TEDPIX,2523000.00,0.00,0.00%,0.00%,-2.55%,-9.51%,20.82%,Sep/03
Estirad,1923.39,1.92,-0.10%,-1.03%,-0.20%,-3.15%,-5.14%,Sep/18
