Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
ABNB,ABNB251121C00165000,Call,2025-11-21,165.0,0.44,0.76,1.0,47.0,0.418951123046875,127.04,126.94,127.2,0.7699393939393939
ABNB,ABNB270115P00075000,Put,2027-01-15,75.0,1.66,2.98,2.0,78.0,0.4089414575195312,127.04,126.94,127.2,0.5903652392947103
ABNB,ABNB260618P00075000,Put,2026-06-18,75.0,0.92,1.58,5.0,58.0,0.4545952978515625,127.04,126.94,127.2,0.5903652392947103
ABNB,ABNB260116P00085000,Put,2026-01-16,85.0,0.29,0.77,6.0,1155.0,0.461919443359375,127.04,126.94,127.2,0.669080604534005
ABNB,ABNB260116C00175000,Call,2026-01-16,175.0,0.4,1.12,5.0,1626.0,0.3889221264648437,127.04,126.94,127.2,0.7259428571428572
ABNB,ABNB261218P00075000,Put,2026-12-18,75.0,1.54,2.79,2.0,96.0,0.4128476684570312,127.04,126.94,127.2,0.5903652392947103
ABNB,ABNB270115C00230000,Call,2027-01-15,230.0,1.21,2.75,2.0,549.0,0.3727479718017578,127.04,126.94,127.2,0.5523478260869565
ABNB,ABNB260918C00180000,Call,2026-09-18,180.0,2.91,5.2,1.0,101.0,0.3713441772460937,127.04,126.94,127.2,0.7057777777777778
ABNB,ABNB251024P00118000,Put,2025-10-24,118.0,1.39,2.08,6.0,26.0,0.3552310571289062,127.04,126.94,127.2,0.9288413098236776
ABNB,ABNB270115C00195000,Call,2027-01-15,195.0,3.45,5.05,3.0,22.0,0.3604800280761718,127.04,126.94,127.2,0.6514871794871795
ABNB,ABNB250926P00131000,Put,2025-09-26,131.0,3.5,5.6,10.0,50.0,0.4257869921875,127.04,126.94,127.2,1.0311712846347607
ABNB,ABNB251031P00115000,Put,2025-10-31,115.0,1.08,1.78,3.0,67.0,0.3604800280761718,127.04,126.94,127.2,0.9052267002518892
ABNB,ABNB251010P00124000,Put,2025-10-10,124.0,1.68,2.28,2.0,13.0,0.2927316821289061,127.04,126.94,127.2,0.9760705289672544
ABNB,ABNB261218C00210000,Call,2026-12-18,210.0,1.45,3.3,2.0,950.0,0.3603579589843749,127.04,126.94,127.2,0.604952380952381
ABNB,ABNB250919P00130000,Put,2025-09-19,130.0,1.45,3.45,13.0,1363.0,0.5732464550781251,127.04,126.94,127.2,1.0232997481108312
ABNB,ABNB261218P00085000,Put,2026-12-18,85.0,2.18,4.8,1.0,955.0,0.4065000756835937,127.04,126.94,127.2,0.669080604534005
ABNB,ABNB270115P00060000,Put,2027-01-15,60.0,0.97,1.8,25.0,260.0,0.4740042834472656,127.04,126.94,127.2,0.4722921914357682
ABNB,ABNB260320C00185000,Call,2026-03-20,185.0,0.82,1.62,15.0,468.0,0.3864807446289062,127.04,126.94,127.2,0.6867027027027027
ABNB,ABNB261218C00220000,Call,2026-12-18,220.0,1.64,2.67,2.0,100.0,0.3613955462646484,127.04,126.94,127.2,0.5774545454545454
ABNB,ABNB261218C00200000,Call,2026-12-18,200.0,2.39,4.7,2.0,595.0,0.3755555609130859,127.04,126.94,127.2,0.6352
ABNB,ABNB261218P00060000,Put,2026-12-18,60.0,0.94,1.75,5.0,378.0,0.4848684326171875,127.04,126.94,127.2,0.4722921914357682
ABNB,ABNB260618C00175000,Call,2026-06-18,175.0,2.41,3.75,6.0,76.0,0.363836928100586,127.04,126.94,127.2,0.7259428571428572
ABNB,ABNB260320P00090000,Put,2026-03-20,90.0,1.37,2.75,4.0,809.0,0.4704032452392578,127.04,126.94,127.2,0.7084382871536523
ABNB,ABNB260918C00185000,Call,2026-09-18,185.0,2.42,4.35,12.0,380.0,0.3647524462890625,127.04,126.94,127.2,0.6867027027027027
ABNB,ABNB270115C00220000,Call,2027-01-15,220.0,1.78,2.9,2.0,155.0,0.3583438189697265,127.04,126.94,127.2,0.5774545454545454
ABNB,ABNB251121C00160000,Call,2025-11-21,160.0,0.57,0.92,15.0,142.0,0.4001524829101562,127.04,126.94,127.2,0.794
ABNB,ABNB260320C00175000,Call,2026-03-20,175.0,1.42,2.55,11.0,453.0,0.3927062683105469,127.04,126.94,127.2,0.7259428571428572
ABNB,ABNB251003C00135000,Call,2025-10-03,135.0,0.48,0.69,37.0,47.0,0.3039620385742187,127.04,126.94,127.2,0.9410370370370372
ABNB,ABNB250926C00135000,Call,2025-09-26,135.0,0.19,0.29,1483.0,95.0,0.3193427441406249,127.04,126.94,127.2,0.9410370370370372
ABNB,ABNB271217P00075000,Put,2027-12-17,75.0,4.2,5.4,2.0,15.0,0.385626260986328,127.04,126.94,127.2,0.5903652392947103
ABNB,ABNB250926C00136000,Call,2025-09-26,136.0,0.12,0.16,18.0,23.0,0.3007882421875,127.04,126.94,127.2,0.9341176470588236
ABNB,ABNB261218P00090000,Put,2026-12-18,90.0,2.83,5.0,2.0,476.0,0.3717103845214844,127.04,126.94,127.2,0.7084382871536523
ABNB,ABNB251010P00125000,Put,2025-10-10,125.0,1.64,2.72,13.0,276.0,0.2957834094238281,127.04,126.94,127.2,0.9839420654911838
