Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
MITK,MITK251219C00015000,Call,2025-12-19,15.0,0.0,0.35,2.0,25,0.6015664843750002,10.19,7.51,13.09,0.6793333333333333
MITK,MITK250919C00012500,Call,2025-09-19,12.5,0.0,0.5,3.0,37,4.296879628906249,10.19,7.51,13.09,0.8151999999999999
MITK,MITK260116C00020000,Call,2026-01-16,20.0,0.0,0.05,1.0,38,0.5468795312500001,10.19,7.51,13.09,0.5095
MITK,MITK251219P00007500,Put,2025-12-19,7.5,0.0,0.2,1.0,47,0.5898478515625001,10.19,7.51,13.09,0.7360157016683023
MITK,MITK260116C00015000,Call,2026-01-16,15.0,0.0,0.15,1.0,65,0.5048877636718749,10.19,7.51,13.09,0.6793333333333333
MITK,MITK251017P00010000,Put,2025-10-17,10.0,0.0,0.4,2.0,66,0.43164630859375,10.19,7.51,13.09,0.9813542688910696
MITK,MITK260116C00012500,Call,2026-01-16,12.5,0.0,0.35,2.0,72,0.4482477050781249,10.19,7.51,13.09,0.8151999999999999
MITK,MITK260116C00010000,Call,2026-01-16,10.0,0.0,1.25,2.0,134,0.5009815527343751,10.19,7.51,13.09,1.019
MITK,MITK251017C00012500,Call,2025-10-17,12.5,0.0,0.1,15.0,218,0.5918009570312501,10.19,7.51,13.09,0.8151999999999999
MITK,MITK250919C00010000,Call,2025-09-19,10.0,0.0,0.3,229.0,549,0.9062509375,10.19,7.51,13.09,1.019
MITK,MITK260417C00007500,Call,2026-04-17,7.5,2.45,3.6,,10,0.7500025,10.19,7.51,13.09,1.3586666666666667
MITK,MITK260417C00010000,Call,2026-04-17,10.0,1.4,1.95,2.0,26,0.5185595019531251,10.19,7.51,13.09,1.019
MITK,MITK251017C00007500,Call,2025-10-17,7.5,2.55,3.3,9.0,25,1.109379453125,10.19,7.51,13.09,1.3586666666666667
MITK,MITK251219C00012500,Call,2025-12-19,12.5,0.2,0.3,4.0,1146,0.4804739453125,10.19,7.51,13.09,0.8151999999999999
MITK,MITK260116C00005000,Call,2026-01-16,5.0,4.7,5.1,,4,1.0000000000000004e-05,10.19,7.51,13.09,2.038
MITK,MITK251017P00012500,Put,2025-10-17,12.5,2.65,2.9,4.0,6,1.0332079589843752,10.19,7.51,13.09,1.2266928361138372
MITK,MITK251017C00010000,Call,2025-10-17,10.0,0.45,0.6,23.0,577,0.43945873046875,10.19,7.51,13.09,1.019
MITK,MITK251219P00010000,Put,2025-12-19,10.0,0.85,1.0,1.0,58,0.5048877636718749,10.19,7.51,13.09,0.9813542688910696
MITK,MITK260116C00007500,Call,2026-01-16,7.5,2.75,3.1,1.0,25,0.5449264257812501,10.19,7.51,13.09,1.3586666666666667
MITK,MITK251219C00010000,Call,2025-12-19,10.0,0.95,1.1,2.0,291,0.497075341796875,10.19,7.51,13.09,1.019
MITK,MITK251219C00007500,Call,2025-12-19,7.5,2.8,2.95,10.0,21,0.5742230078125,10.19,7.51,13.09,1.3586666666666667
MITK,MITK251219C00005000,Call,2025-12-19,5.0,5.1,5.4,2.0,91,0.851563984375,10.19,7.51,13.09,2.038
