Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
WT,WT251219P00010000,Put,2025-12-19,10.0,0.0,0.4,50.0,183,0.62305064453125,14.67,14.65,14.64,0.6816632583503749
WT,WT250919P00015000,Put,2025-09-19,15.0,0.0,0.45,55.0,195,0.8125018749999999,14.67,14.65,14.64,1.0224948875255624
WT,WT250919C00015000,Call,2025-09-19,15.0,0.0,0.05,3.0,2653,0.5312546875,14.67,14.65,14.64,0.978
WT,WT250919P00012500,Put,2025-09-19,12.5,0.0,0.05,1.0,2842,1.8125009375,14.67,14.65,14.64,0.8520790729379687
WT,WT260320C00017500,Call,2026-03-20,17.5,0.55,0.85,10.0,7,0.4311580322265625,14.67,14.65,14.64,0.8382857142857143
WT,WT260320C00010000,Call,2026-03-20,10.0,3.6,5.4,10.0,10,0.694338994140625,14.67,14.65,14.64,1.467
WT,WT251219C00017500,Call,2025-12-19,17.5,0.15,0.35,5.0,343,0.4067442138671875,14.67,14.65,14.64,0.8382857142857143
WT,WT260320P00012500,Put,2026-03-20,12.5,0.4,0.65,5.0,60,0.39063109375,14.67,14.65,14.64,0.8520790729379687
WT,WT251219P00012500,Put,2025-12-19,12.5,0.15,0.25,3.0,257,0.35938140625,14.67,14.65,14.64,0.8520790729379687
WT,WT260320P00015000,Put,2026-03-20,15.0,1.4,1.75,3.0,17,0.3779359082031249,14.67,14.65,14.64,1.0224948875255624
WT,WT251017P00015000,Put,2025-10-17,15.0,0.65,0.9,10.0,88,0.4335994140625,14.67,14.65,14.64,1.0224948875255624
WT,WT251219C00007500,Call,2025-12-19,7.5,6.9,8.2,2.0,10,1.171879140625,14.67,14.65,14.64,1.956
WT,WT261218C00017500,Call,2026-12-18,17.5,1.3,1.5,3.0,11,0.3774476318359374,14.67,14.65,14.64,0.8382857142857143
WT,WT250919C00010000,Call,2025-09-19,10.0,4.6,5.9,2.0,128,8.546879658203125,14.67,14.65,14.64,1.467
WT,WT251017C00012500,Call,2025-10-17,12.5,2.05,2.3,1.0,12,0.5097705273437501,14.67,14.65,14.64,1.1736
WT,WT260320C00015000,Call,2026-03-20,15.0,1.3,1.55,46.0,568,0.4091855957031249,14.67,14.65,14.64,0.978
WT,WT261218C00015000,Call,2026-12-18,15.0,2.25,2.4,3.0,18,0.3901428173828125,14.67,14.65,14.64,0.978
WT,WT251017C00015000,Call,2025-10-17,15.0,0.4,0.45,27.0,245,0.3603579589843749,14.67,14.65,14.64,0.978
WT,WT260320C00012500,Call,2026-03-20,12.5,2.75,2.95,2.0,32,0.4301814794921875,14.67,14.65,14.64,1.1736
WT,WT250919C00012500,Call,2025-09-19,12.5,2.0,2.25,22.0,2260,2.3906290234375,14.67,14.65,14.64,1.1736
WT,WT251219C00015000,Call,2025-12-19,15.0,0.9,1.0,199.0,4527,0.3901428173828125,14.67,14.65,14.64,0.978
WT,WT251219P00015000,Put,2025-12-19,15.0,1.1,1.2,80.0,2311,0.3457096679687499,14.67,14.65,14.64,1.0224948875255624
WT,WT251219C00010000,Call,2025-12-19,10.0,4.7,4.9,1.0,43,0.5546919531250001,14.67,14.65,14.64,1.467
WT,WT251219C00012500,Call,2025-12-19,12.5,2.45,2.6,2.0,966,0.450200810546875,14.67,14.65,14.64,1.1736
WT,WT251219C00005000,Call,2025-12-19,5.0,8.8,9.1,7.0,185,1.0000000000000004e-05,14.67,14.65,14.64,2.934
