Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
ZD,ZD251017P00030000,Put,2025-10-17,30.0,0.0,2.2,2.0,12.0,1.0332079589843752,38.3,27.93,48.87,0.783289817232376
ZD,ZD251219C00080000,Call,2025-12-19,80.0,0.0,2.4,1.0,13.0,1.0859420703125,38.3,27.93,48.87,0.4787499999999999
ZD,ZD260116P00022500,Put,2026-01-16,22.5,0.0,2.4,5.0,16.0,0.9091805957031248,38.3,27.93,48.87,0.587467362924282
ZD,ZD251219C00085000,Call,2025-12-19,85.0,0.0,2.3,2.0,18.0,1.1323285571289063,38.3,27.93,48.87,0.4505882352941176
ZD,ZD251219C00040000,Call,2025-12-19,40.0,0.95,5.2,2.0,7.0,0.77148666015625,38.3,27.93,48.87,0.9575
ZD,ZD250919P00040000,Put,2025-09-19,40.0,0.25,3.8,2.0,21.0,1.15234798828125,38.3,27.93,48.87,1.0443864229765014
ZD,ZD251219C00050000,Call,2025-12-19,50.0,0.0,1.65,1.0,42.0,0.5034229345703125,38.3,27.93,48.87,0.7659999999999999
ZD,ZD250919P00025000,Put,2025-09-19,25.0,0.0,2.15,31.0,48.0,8.125004921875,38.3,27.93,48.87,0.6527415143603134
ZD,ZD250919C00045000,Call,2025-09-19,45.0,0.0,1.15,1.0,57.0,3.113283466796875,38.3,27.93,48.87,0.851111111111111
ZD,ZD260116P00030000,Put,2026-01-16,30.0,0.75,3.2,2.0,15.0,0.6577182666015625,38.3,27.93,48.87,0.783289817232376
ZD,ZD260116C00055000,Call,2026-01-16,55.0,0.0,2.05,,90.0,0.5732464550781251,38.3,27.93,48.87,0.6963636363636363
ZD,ZD250919P00030000,Put,2025-09-19,30.0,0.0,0.05,20.0,106.0,2.2187544531249994,38.3,27.93,48.87,0.783289817232376
ZD,ZD260320C00045000,Call,2026-03-20,45.0,1.9,4.8,6.0,7.0,0.5246629565429688,38.3,27.93,48.87,0.851111111111111
ZD,ZD260116C00045000,Call,2026-01-16,45.0,1.35,3.9,5.0,10.0,0.5617719604492188,38.3,27.93,48.87,0.851111111111111
ZD,ZD250919P00035000,Put,2025-09-19,35.0,0.0,0.05,1.0,150.0,0.95312546875,38.3,27.93,48.87,0.9138381201044388
ZD,ZD251017C00045000,Call,2025-10-17,45.0,0.2,0.4,1.0,5.0,0.5131884619140624,38.3,27.93,48.87,0.851111111111111
ZD,ZD260116P00040000,Put,2026-01-16,40.0,2.55,6.6,,10.0,0.6413610083007812,38.3,27.93,48.87,1.0443864229765014
ZD,ZD251219P00030000,Put,2025-12-19,30.0,0.0,3.1,1.0,671.0,0.6709017285156251,38.3,27.93,48.87,0.783289817232376
ZD,ZD251219P00040000,Put,2025-12-19,40.0,2.3,6.3,10.0,22.0,0.69336244140625,38.3,27.93,48.87,1.0443864229765014
ZD,ZD250919C00040000,Call,2025-09-19,40.0,0.0,1.0,4.0,883.0,1.4140654296875002,38.3,27.93,48.87,0.9575
ZD,ZD260320P00030000,Put,2026-03-20,30.0,1.1,3.7,50.0,50.0,0.5874064697265625,38.3,27.93,48.87,0.783289817232376
ZD,ZD251219C00055000,Call,2025-12-19,55.0,0.6,1.85,44.0,47.0,0.6938507177734375,38.3,27.93,48.87,0.6963636363636363
ZD,ZD251017P00040000,Put,2025-10-17,40.0,1.6,3.4,20.0,25.0,0.5585981640625001,38.3,27.93,48.87,1.0443864229765014
ZD,ZD251219P00025000,Put,2025-12-19,25.0,0.2,0.6,4.0,154.0,0.63086306640625,38.3,27.93,48.87,0.6527415143603134
ZD,ZD251219C00045000,Call,2025-12-19,45.0,0.95,2.05,44.0,46.0,0.5607954077148438,38.3,27.93,48.87,0.851111111111111
ZD,ZD251219C00025000,Call,2025-12-19,25.0,11.8,15.8,6.0,5.0,0.6689486230468751,38.3,27.93,48.87,1.5319999999999998
ZD,ZD251219P00045000,Put,2025-12-19,45.0,9.6,13.9,20.0,12.0,0.9650882397460938,38.3,27.93,48.87,1.174934725848564
ZD,ZD251017C00040000,Call,2025-10-17,40.0,1.1,1.5,200.0,9.0,0.5112353564453125,38.3,27.93,48.87,0.9575
ZD,ZD251219P00035000,Put,2025-12-19,35.0,1.6,3.5,30.0,672.0,0.5449264257812501,38.3,27.93,48.87,0.9138381201044388
ZD,ZD250919C00035000,Call,2025-09-19,35.0,2.2,3.9,1.0,325.0,2.3359416601562493,38.3,27.93,48.87,1.0942857142857143
ZD,ZD260320C00030000,Call,2026-03-20,30.0,10.1,12.8,1.0,27.0,0.6804231176757813,38.3,27.93,48.87,1.2766666666666666
ZD,ZD260320C00035000,Call,2026-03-20,35.0,6.8,8.2,1.0,56.0,0.5542036767578126,38.3,27.93,48.87,1.0942857142857143
ZD,ZD260116C00040000,Call,2026-01-16,40.0,3.1,3.8,1.0,112.0,0.51562984375,38.3,27.93,48.87,0.9575
ZD,ZD251219C00035000,Call,2025-12-19,35.0,5.2,6.1,3.0,56.0,0.51562984375,38.3,27.93,48.87,1.0942857142857143
ZD,ZD251219C00030000,Call,2025-12-19,30.0,8.9,9.8,50.0,52.0,0.569340244140625,38.3,27.93,48.87,1.2766666666666666
ZD,ZD250919C00030000,Call,2025-09-19,30.0,7.3,8.4,401.0,679.0,2.81250296875,38.3,27.93,48.87,1.2766666666666666
