Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
CNK,CNK250919C00015000,Call,2025-09-19,15.0,13.3,14.0,8.0,11,11.796877626953126,27.61,27.58,27.75,1.8406666666666667
CNK,CNK250919C00022000,Call,2025-09-19,22.0,8.0,8.5,1.0,25,9.695316440429687,27.61,27.58,27.75,1.255
CNK,CNK250919C00023000,Call,2025-09-19,23.0,4.1,5.4,1.0,7,2.58594103515625,27.61,27.58,27.75,1.2004347826086956
CNK,CNK250919C00024000,Call,2025-09-19,24.0,3.5,4.2,2.0,33,2.4843787890625,27.61,27.58,27.75,1.1504166666666666
CNK,CNK250919C00025000,Call,2025-09-19,25.0,2.5,3.0,1.0,153,1.6484392578125,27.61,27.58,27.75,1.1044
CNK,CNK250919C00026000,Call,2025-09-19,26.0,0.55,2.1,2.0,5957,1.9921875390625,27.61,27.58,27.75,1.061923076923077
CNK,CNK250919C00027000,Call,2025-09-19,27.0,0.0,0.9,4.0,1350,0.9492192578124999,27.61,27.58,27.75,1.0225925925925925
CNK,CNK250919C00028000,Call,2025-09-19,28.0,0.0,0.05,62.0,281,0.31250687499999996,27.61,27.58,27.75,0.9860714285714286
CNK,CNK250919C00029000,Call,2025-09-19,29.0,0.0,0.05,10.0,229,0.6093789062500001,27.61,27.58,27.75,0.9520689655172414
CNK,CNK250919C00030000,Call,2025-09-19,30.0,0.0,0.05,3.0,368,0.92187578125,27.61,27.58,27.75,0.9203333333333333
CNK,CNK250919C00031000,Call,2025-09-19,31.0,0.0,1.05,2.0,90,2.80469048828125,27.61,27.58,27.75,0.8906451612903226
CNK,CNK250919C00032000,Call,2025-09-19,32.0,0.0,0.0,1.0,199,0.500005,27.61,27.58,27.75,0.8628125
CNK,CNK250919C00033000,Call,2025-09-19,33.0,0.0,0.75,3.0,108,3.2109394726562495,27.61,27.58,27.75,0.8366666666666667
CNK,CNK250919C00034000,Call,2025-09-19,34.0,0.0,0.75,15.0,43,3.55468861328125,27.61,27.58,27.75,0.8120588235294117
CNK,CNK250919C00035000,Call,2025-09-19,35.0,0.0,0.15,1.0,446,2.6406283984375003,27.61,27.58,27.75,0.7888571428571428
CNK,CNK250919C00036000,Call,2025-09-19,36.0,0.0,0.75,35.0,872,4.179692275390625,27.61,27.58,27.75,0.7669444444444444
CNK,CNK250919C00037000,Call,2025-09-19,37.0,0.0,0.1,60.0,177,2.906252734375,27.61,27.58,27.75,0.7462162162162163
CNK,CNK250919C00038000,Call,2025-09-19,38.0,0.0,0.95,1.0,31,5.070316162109375,27.61,27.58,27.75,0.726578947368421
CNK,CNK250919C00039000,Call,2025-09-19,39.0,0.0,1.35,1.0,33,5.929690087890625,27.61,27.58,27.75,0.7079487179487179
CNK,CNK250919C00040000,Call,2025-09-19,40.0,0.0,1.35,1.0,14,6.20312724609375,27.61,27.58,27.75,0.69025
CNK,CNK250919C00045000,Call,2025-09-19,45.0,0.0,1.35,1.0,290,7.429688212890625,27.61,27.58,27.75,0.6135555555555555
CNK,CNK250919P00015000,Put,2025-09-19,15.0,0.0,0.75,1.0,1,8.671879580078123,27.61,27.58,27.75,0.5432814197754436
CNK,CNK250919P00018000,Put,2025-09-19,18.0,0.0,1.35,2.0,1,7.773437783203125,27.61,27.58,27.75,0.6519377037305324
CNK,CNK250919P00019000,Put,2025-09-19,19.0,0.0,0.75,,1,5.851565185546875,27.61,27.58,27.75,0.6881564650488954
CNK,CNK250919P00020000,Put,2025-09-19,20.0,0.0,0.95,1.0,84,5.62500296875,27.61,27.58,27.75,0.7243752263672583
CNK,CNK250919P00021000,Put,2025-09-19,21.0,0.3,0.6,6.0,4648,4.898441376953125,27.61,27.58,27.75,0.7605939876856211
CNK,CNK250919P00022000,Put,2025-09-19,22.0,0.0,0.95,1001.0,652,4.375004531249999,27.61,27.58,27.75,0.7968127490039841
CNK,CNK250919P00023000,Put,2025-09-19,23.0,0.0,1.0,2.0,515,3.843750390625,27.61,27.58,27.75,0.833031510322347
CNK,CNK250919P00024000,Put,2025-09-19,24.0,0.0,1.35,1.0,104,3.67968830078125,27.61,27.58,27.75,0.8692502716407099
CNK,CNK250919P00025000,Put,2025-09-19,25.0,0.0,1.35,3.0,799,3.0351586621093753,27.61,27.58,27.75,0.9054690329590728
CNK,CNK250919P00026000,Put,2025-09-19,26.0,0.0,1.05,3.0,63,2.0664110839843746,27.61,27.58,27.75,0.9416877942774358
CNK,CNK250919P00027000,Put,2025-09-19,27.0,0.0,0.3,5.0,316,0.6640658593750002,27.61,27.58,27.75,0.9779065555957986
CNK,CNK250919P00028000,Put,2025-09-19,28.0,0.0,0.5,80.0,86,0.44922425781249997,27.61,27.58,27.75,1.0141253169141615
CNK,CNK250919P00029000,Put,2025-09-19,29.0,1.15,1.45,2.0,34,0.7656273437500001,27.61,27.58,27.75,1.0503440782325244
CNK,CNK250919P00030000,Put,2025-09-19,30.0,1.4,1.75,13.0,20,1.0000000000000003e-05,27.61,27.58,27.75,1.0865628395508873
CNK,CNK250919P00031000,Put,2025-09-19,31.0,1.95,3.0,5.0,12,1.0000000000000003e-05,27.61,27.58,27.75,1.1227816008692504
CNK,CNK250919P00032000,Put,2025-09-19,32.0,2.9,4.0,15.0,4,1.0000000000000003e-05,27.61,27.58,27.75,1.1590003621876133
CNK,CNK250919P00033000,Put,2025-09-19,33.0,4.2,5.0,2.0,6,1.0000000000000003e-05,27.61,27.58,27.75,1.1952191235059761
CNK,CNK250919P00034000,Put,2025-09-19,34.0,3.8,4.2,3.0,0,1.0000000000000003e-05,27.61,27.58,27.75,1.231437884824339
CNK,CNK250919P00035000,Put,2025-09-19,35.0,3.9,5.6,1.0,8,1.0000000000000003e-05,27.61,27.58,27.75,1.267656646142702
CNK,CNK250919P00036000,Put,2025-09-19,36.0,4.7,6.2,1.0,2,1.0000000000000003e-05,27.61,27.58,27.75,1.3038754074610648
CNK,CNK250919P00040000,Put,2025-09-19,40.0,8.8,11.3,3.0,3,1.0000000000000003e-05,27.61,27.58,27.75,1.4487504527345165
CNK,CNK251017C00022000,Call,2025-10-17,22.0,5.3,6.7,,1,0.7597680273437502,27.61,27.58,27.75,1.255
CNK,CNK251017C00024000,Call,2025-10-17,24.0,3.8,4.0,1.0,507,0.5459029785156251,27.61,27.58,27.75,1.1504166666666666
CNK,CNK251017C00025000,Call,2025-10-17,25.0,2.75,3.1,4.0,994,0.485356708984375,27.61,27.58,27.75,1.1044
CNK,CNK251017C00026000,Call,2025-10-17,26.0,0.45,3.2,9.0,52,0.7666038964843751,27.61,27.58,27.75,1.061923076923077
