Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
WDC,WDC250919C00015000,Call,2025-09-19,15.0,90.75,92.15,1.0,1.0,20.562503574218752,106.63,101.75,106.68,7.108666666666666
WDC,WDC250919C00017500,Call,2025-09-19,17.5,31.6,34.7,11.0,11.0,1.0000000000000003e-05,106.63,101.75,106.68,6.0931428571428565
WDC,WDC250919C00025000,Call,2025-09-19,25.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,106.63,101.75,106.68,4.2652
WDC,WDC250919C00030000,Call,2025-09-19,30.0,76.45,77.1,4.0,2.0,10.921878173828127,106.63,101.75,106.68,3.554333333333333
WDC,WDC250919C00032500,Call,2025-09-19,32.5,19.5,19.95,4.0,485.0,1.0000000000000003e-05,106.63,101.75,106.68,3.280923076923077
WDC,WDC250919C00035000,Call,2025-09-19,35.0,23.65,24.95,1.0,648.0,1.0000000000000003e-05,106.63,101.75,106.68,3.0465714285714283
WDC,WDC250919C00037500,Call,2025-09-19,37.5,65.45,66.6,1.0,1.0,1.0000000000000003e-05,106.63,101.75,106.68,2.8434666666666666
WDC,WDC250919C00040000,Call,2025-09-19,40.0,66.4,66.9,3.0,301.0,6.812501484375,106.63,101.75,106.68,2.66575
WDC,WDC250919C00042500,Call,2025-09-19,42.5,64.0,64.4,3.0,144.0,7.3437508203125,106.63,101.75,106.68,2.508941176470588
WDC,WDC250919C00045000,Call,2025-09-19,45.0,61.4,62.05,3.0,274.0,7.187501015625001,106.63,101.75,106.68,2.3695555555555554
WDC,WDC250919C00047500,Call,2025-09-19,47.5,59.0,59.4,2.0,380.0,6.500001875000001,106.63,101.75,106.68,2.244842105263158
WDC,WDC250919C00050000,Call,2025-09-19,50.0,56.5,56.95,3.0,352.0,6.35937705078125,106.63,101.75,106.68,2.1326
WDC,WDC250919C00052500,Call,2025-09-19,52.5,53.75,54.25,4.0,989.0,6.171877285156249,106.63,101.75,106.68,2.031047619047619
WDC,WDC250919C00055000,Call,2025-09-19,55.0,51.5,51.9,3.0,896.0,5.406253242187499,106.63,101.75,106.68,1.9387272727272726
WDC,WDC250919C00057500,Call,2025-09-19,57.5,48.5,49.25,10.0,1685.0,5.4531281835937495,106.63,101.75,106.68,1.8544347826086955
WDC,WDC250919C00060000,Call,2025-09-19,60.0,46.55,46.95,34.0,15822.0,5.109378613281249,106.63,101.75,106.68,1.7771666666666666
WDC,WDC250919C00062500,Call,2025-09-19,62.5,44.0,44.25,2.0,120.0,4.7812540234375,106.63,101.75,106.68,1.7060799999999998
WDC,WDC250919C00064000,Call,2025-09-19,64.0,42.2,43.5,,6.0,5.046878691406249,106.63,101.75,106.68,1.66609375
WDC,WDC250919C00065000,Call,2025-09-19,65.0,41.55,41.75,3.0,3977.0,3.56250109375,106.63,101.75,106.68,1.6404615384615384
WDC,WDC250919C00066000,Call,2025-09-19,66.0,40.5,40.85,13.0,13.0,3.81250046875,106.63,101.75,106.68,1.6156060606060605
WDC,WDC250919C00067500,Call,2025-09-19,67.5,38.5,39.45,1.0,165.0,4.8906288867187495,106.63,101.75,106.68,1.5797037037037036
WDC,WDC250919C00068000,Call,2025-09-19,68.0,38.4,38.8,1.0,5.0,4.3281295898437495,106.63,101.75,106.68,1.5680882352941177
WDC,WDC250919C00069000,Call,2025-09-19,69.0,37.15,38.25,,1.0,3.6953132617187503,106.63,101.75,106.68,1.5453623188405796
WDC,WDC250919C00070000,Call,2025-09-19,70.0,36.5,37.85,1.0,763.0,5.066409916992187,106.63,101.75,106.68,1.5232857142857141
WDC,WDC250919C00071000,Call,2025-09-19,71.0,35.45,35.8,4.0,5.0,3.9648438378906246,106.63,101.75,106.68,1.5018309859154928
WDC,WDC250919C00072000,Call,2025-09-19,72.0,34.1,34.75,2.0,14.0,3.6406258984375004,106.63,101.75,106.68,1.4809722222222221
WDC,WDC250919C00072500,Call,2025-09-19,72.5,33.4,34.6,71.0,320.0,4.566410541992187,106.63,101.75,106.68,1.470758620689655
WDC,WDC250919C00073000,Call,2025-09-19,73.0,33.55,33.75,2.0,120.0,2.81250296875,106.63,101.75,106.68,1.4606849315068493
WDC,WDC250919C00074000,Call,2025-09-19,74.0,32.35,34.4,3.0,90.0,4.835941455078125,106.63,101.75,106.68,1.440945945945946
WDC,WDC250919C00075000,Call,2025-09-19,75.0,30.85,32.8,291.0,1967.0,3.5781260546875,106.63,101.75,106.68,1.4217333333333333
WDC,WDC250919C00076000,Call,2025-09-19,76.0,30.5,30.8,1.0,177.0,2.5312536718749996,106.63,101.75,106.68,1.4030263157894736
WDC,WDC250919C00077000,Call,2025-09-19,77.0,29.4,29.75,2.0,429.0,3.0937522656249996,106.63,101.75,106.68,1.3848051948051947
WDC,WDC250919C00077500,Call,2025-09-19,77.5,29.05,29.25,8.0,2840.0,2.4062539843749997,106.63,101.75,106.68,1.3758709677419354
WDC,WDC250919C00078000,Call,2025-09-19,78.0,27.9,28.75,2.0,107.0,2.9843775390625,106.63,101.75,106.68,1.367051282051282
WDC,WDC250919C00079000,Call,2025-09-19,79.0,27.5,28.65,2.0,269.0,3.6660164599609377,106.63,101.75,106.68,1.349746835443038
WDC,WDC250919C00080000,Call,2025-09-19,80.0,26.45,26.75,62.0,950.0,2.7734405664062503,106.63,101.75,106.68,1.332875
WDC,WDC250919C00081000,Call,2025-09-19,81.0,25.45,25.8,2.0,165.0,2.8281279296874997,106.63,101.75,106.68,1.3164197530864197
WDC,WDC250919C00082000,Call,2025-09-19,82.0,23.65,24.8,1.0,135.0,2.722659443359375,106.63,101.75,106.68,1.3003658536585365
WDC,WDC250919C00082500,Call,2025-09-19,82.5,24.05,24.45,10.0,190.0,2.5156287109374995,106.63,101.75,106.68,1.2924848484848483
WDC,WDC250919C00083000,Call,2025-09-19,83.0,23.55,24.0,4.0,67.0,2.5429723925781245,106.63,101.75,106.68,1.284698795180723
WDC,WDC250919C00084000,Call,2025-09-19,84.0,22.2,22.95,10.0,65.0,2.8359404101562498,106.63,101.75,106.68,1.269404761904762
WDC,WDC250919C00085000,Call,2025-09-19,85.0,21.25,21.75,4.0,4699.0,2.2656293359374997,106.63,101.75,106.68,1.254470588235294
WDC,WDC250919C00086000,Call,2025-09-19,86.0,20.5,20.95,2.0,152.0,2.0781298046874994,106.63,101.75,106.68,1.2398837209302325
WDC,WDC250919C00087000,Call,2025-09-19,87.0,19.4,19.85,3.0,224.0,2.3046917382812495,106.63,101.75,106.68,1.225632183908046
WDC,WDC250919C00088000,Call,2025-09-19,88.0,18.45,19.4,1.0,10.0,2.3359416601562493,106.63,101.75,106.68,1.2117045454545454
WDC,WDC250919C00090000,Call,2025-09-19,90.0,15.9,16.75,9.0,909.0,1.7695324023437498,106.63,101.75,106.68,1.1847777777777777
