Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
WT,WT250919C00005000,Call,2025-09-19,5.0,4.8,6.1,,0,1.0000000000000003e-05,14.67,14.65,14.64,2.934
WT,WT250919C00007500,Call,2025-09-19,7.5,6.1,7.6,1.0,1,11.6875026953125,14.67,14.65,14.64,1.956
WT,WT250919C00010000,Call,2025-09-19,10.0,4.6,5.9,2.0,128,8.546879658203125,14.67,14.65,14.64,1.467
WT,WT250919C00012500,Call,2025-09-19,12.5,2.0,2.25,22.0,2260,2.3906290234374996,14.67,14.65,14.64,1.1736
WT,WT250919C00015000,Call,2025-09-19,15.0,0.0,0.05,3.0,2653,0.5312546875,14.67,14.65,14.64,0.978
WT,WT250919C00017500,Call,2025-09-19,17.5,0.0,0.75,2.0,142,4.007817490234375,14.67,14.65,14.64,0.8382857142857143
WT,WT250919P00007500,Put,2025-09-19,7.5,0.0,0.3,3.0,4,8.75000453125,14.67,14.65,14.64,0.5112474437627812
WT,WT250919P00010000,Put,2025-09-19,10.0,0.0,1.0,20.0,22,8.070317456054687,14.67,14.65,14.64,0.6816632583503749
WT,WT250919P00012500,Put,2025-09-19,12.5,0.0,0.05,1.0,2842,1.8125009374999999,14.67,14.65,14.64,0.8520790729379687
WT,WT250919P00015000,Put,2025-09-19,15.0,0.0,0.45,55.0,195,0.8125018749999999,14.67,14.65,14.64,1.0224948875255624
WT,WT250919P00017500,Put,2025-09-19,17.5,3.4,3.8,,0,5.546878066406249,14.67,14.65,14.64,1.1929107021131562
WT,WT251017C00010000,Call,2025-10-17,10.0,4.4,6.0,2.0,2,1.5312523437499999,14.67,14.65,14.64,1.467
WT,WT251017C00012500,Call,2025-10-17,12.5,2.05,2.3,1.0,12,0.5097705273437501,14.67,14.65,14.64,1.1736
WT,WT251017C00015000,Call,2025-10-17,15.0,0.4,0.45,27.0,245,0.36035795898437495,14.67,14.65,14.64,0.978
WT,WT251017C00017500,Call,2025-10-17,17.5,0.0,1.75,15.0,17,1.0996138769531252,14.67,14.65,14.64,0.8382857142857143
WT,WT251017P00012500,Put,2025-10-17,12.5,0.0,0.15,6.0,18,0.5351608984375,14.67,14.65,14.64,0.8520790729379687
WT,WT251017P00015000,Put,2025-10-17,15.0,0.65,0.9,10.0,88,0.4335994140625,14.67,14.65,14.64,1.0224948875255624
WT,WT251219C00002500,Call,2025-12-19,2.5,10.9,11.7,1.0,1,1.0000000000000003e-05,14.67,14.65,14.64,5.868
WT,WT251219C00005000,Call,2025-12-19,5.0,8.8,9.1,7.0,185,1.0000000000000003e-05,14.67,14.65,14.64,2.934
WT,WT251219C00007500,Call,2025-12-19,7.5,6.9,8.2,2.0,10,1.171879140625,14.67,14.65,14.64,1.956
WT,WT251219C00010000,Call,2025-12-19,10.0,4.7,4.9,1.0,43,0.5546919531250001,14.67,14.65,14.64,1.467
WT,WT251219C00012500,Call,2025-12-19,12.5,2.45,2.6,2.0,966,0.450200810546875,14.67,14.65,14.64,1.1736
WT,WT251219C00015000,Call,2025-12-19,15.0,0.9,1.0,199.0,4527,0.39014281738281253,14.67,14.65,14.64,0.978
WT,WT251219C00017500,Call,2025-12-19,17.5,0.15,0.35,5.0,343,0.4067442138671875,14.67,14.65,14.64,0.8382857142857143
WT,WT251219C00022500,Call,2025-12-19,22.5,0.0,1.35,1.0,142,0.86914193359375,14.67,14.65,14.64,0.652
WT,WT251219P00005000,Put,2025-12-19,5.0,0.0,0.0,2.0,0,0.500005,14.67,14.65,14.64,0.34083162917518744
WT,WT251219P00007500,Put,2025-12-19,7.5,0.25,0.85,5.0,6,1.3232455712890623,14.67,14.65,14.64,0.5112474437627812
WT,WT251219P00010000,Put,2025-12-19,10.0,0.0,0.4,50.0,183,0.62305064453125,14.67,14.65,14.64,0.6816632583503749
WT,WT251219P00012500,Put,2025-12-19,12.5,0.15,0.25,3.0,257,0.35938140625,14.67,14.65,14.64,0.8520790729379687
WT,WT251219P00015000,Put,2025-12-19,15.0,1.1,1.2,80.0,2311,0.34570966796874997,14.67,14.65,14.64,1.0224948875255624
WT,WT251219P00017500,Put,2025-12-19,17.5,2.9,3.1,1.0,4,0.36914693359375,14.67,14.65,14.64,1.1929107021131562
WT,WT251219P00020000,Put,2025-12-19,20.0,4.9,5.6,2.0,1,0.5283250292968751,14.67,14.65,14.64,1.3633265167007498
WT,WT260320C00002500,Call,2026-03-20,2.5,10.7,12.7,1.0,0,2.253910615234375,14.67,14.65,14.64,5.868
WT,WT260320C00005000,Call,2026-03-20,5.0,8.3,10.2,1.0,2,1.3808624707031247,14.67,14.65,14.64,2.934
WT,WT260320C00007500,Call,2026-03-20,7.5,5.9,7.7,1.0,2,0.9257819921875,14.67,14.65,14.64,1.956
WT,WT260320C00010000,Call,2026-03-20,10.0,3.6,5.4,10.0,10,0.694338994140625,14.67,14.65,14.64,1.467
WT,WT260320C00012500,Call,2026-03-20,12.5,2.75,2.95,2.0,32,0.43018147949218755,14.67,14.65,14.64,1.1736
WT,WT260320C00015000,Call,2026-03-20,15.0,1.3,1.55,46.0,568,0.40918559570312496,14.67,14.65,14.64,0.978
WT,WT260320C00017500,Call,2026-03-20,17.5,0.55,0.85,10.0,7,0.43115803222656257,14.67,14.65,14.64,0.8382857142857143
WT,WT260320C00020000,Call,2026-03-20,20.0,0.1,0.25,5.0,6,0.366217275390625,14.67,14.65,14.64,0.7335
WT,WT260320P00010000,Put,2026-03-20,10.0,0.0,0.65,,2,0.5127001855468749,14.67,14.65,14.64,0.6816632583503749
WT,WT260320P00012500,Put,2026-03-20,12.5,0.4,0.65,5.0,60,0.39063109375,14.67,14.65,14.64,0.8520790729379687
WT,WT260320P00015000,Put,2026-03-20,15.0,1.4,1.75,3.0,17,0.37793590820312495,14.67,14.65,14.64,1.0224948875255624
WT,WT261218C00015000,Call,2026-12-18,15.0,2.25,2.4,3.0,18,0.39014281738281253,14.67,14.65,14.64,0.978
WT,WT261218C00017500,Call,2026-12-18,17.5,1.3,1.5,3.0,11,0.37744763183593744,14.67,14.65,14.64,0.8382857142857143
WT,WT261218P00012500,Put,2026-12-18,12.5,0.9,1.4,,2,0.38794557373046873,14.67,14.65,14.64,0.8520790729379687
