Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness,Expiry_dt,Years_to_Expiry,T,r,market_price,IV_mid,IV_status,Forward,Smoothed_IV
EVH,EVH251017P00007500,Put,2025-10-17,7.5,0.1,1.2,1.0,35.0,1.703126484375,9.55,9.61,9.49,0.7825839087369654,2025-10-17,0.06023271731690623,0.06023271731690623,0.0583735370117685,0.45,0.666602719209501,verified,9.583636867904,0.894398516989483
EVH,EVH270115C00017500,Call,2027-01-15,17.5,0.05,3.0,5.0,63.0,0.7514673291015624,9.55,9.61,9.49,1.7001291166831887,2027-01-15,1.3059548254620124,0.2327173169062286,0.057395191477745855,0.225,0.7422361003835616,verified,10.293335858008863,0.5943902733559572
EVH,EVH271217C00020000,Call,2027-12-17,20.0,0.1,2.65,,100.0,0.601810622558594,9.55,9.61,9.49,1.8430775018612995,2027-12-17,2.2258726899383983,0.2327173169062286,0.057395191477745855,2.2,0.36825400582370216,verified,10.851415624032231,0.5292315502993954
EVH,EVH270115C00020000,Call,2027-01-15,20.0,0.3,4.7,1.0,140.0,1.0463914868164066,9.55,9.61,9.49,1.946537550175172,2027-01-15,1.3059548254620124,0.30937713894592744,0.05600418837457931,3.65,0.8333802160305745,verified,10.274654089359935,0.4887896018392194
EVH,EVH251017C00010000,Call,2025-10-17,10.0,0.35,0.55,186.0,3.0,0.6250037500000001,9.55,9.61,9.49,1.0435067020282676,2025-10-17,0.06023271731690623,0.2327173169062286,0.057395191477745855,0.55,0.8464207752328581,verified,9.583072136061,0.8383394865384114
EVH,EVH251219C00015000,Call,2025-12-19,15.0,0.05,0.4,25.0,139.0,0.7402369726562499,9.55,9.61,9.49,1.555915095172463,2025-12-19,0.2327173169062286,2.2258726899383983,0.040586530268804245,3.3249999999999997,0.5773808398421508,verified,9.640628879133889,0.580895975647987
EVH,EVH260116P00025000,Put,2026-01-16,25.0,10.0,15.0,,3.0,1.0000000000000004e-05,9.55,9.61,9.49,2.585136020593756,2026-01-16,0.30937713894592744,2.2258726899383983,0.040586530268804245,3.45,0.6858139495089818,verified,9.670671021116322,0.9188571504590328
EVH,EVH270115C00030000,Call,2027-01-15,30.0,0.1,0.4,4.0,87.0,0.6123085644531252,9.55,9.61,9.49,2.919806325262758,2027-01-15,1.3059548254620124,0.30937713894592744,0.05600418837457931,2.35,0.45757236528328465,verified,10.274654089359935,0.16978438175806154
EVH,EVH251219C00007500,Call,2025-12-19,7.5,1.3,3.1,4.0,25.0,1.1347699511718752,9.55,9.61,9.49,0.77570442951321,2025-12-19,0.2327173169062286,0.48186173853524983,0.05304971444402085,1.75,0.698069776500747,verified,9.668631136612941,0.6935458744885717
EVH,EVH251219P00012500,Put,2025-12-19,12.5,1.8,3.7,3.0,17.0,0.903321279296875,9.55,9.61,9.49,1.2919521193687364,2025-12-19,0.2327173169062286,0.30937713894592744,0.05600418837457931,0.5249999999999999,0.723904427516651,verified,9.675281159883582,0.8084629408888304
EVH,EVH251219P00032500,Put,2025-12-19,32.5,7.0,12.0,10.0,10.0,1.0000000000000004e-05,9.55,9.61,9.49,3.3680501547422623,2025-12-19,0.2327173169062286,1.3059548254620124,0.04453878706187587,2.725,0.6580684864306768,verified,9.649500009445982,0.7494180323453605
EVH,EVH260116C00010000,Call,2026-01-16,10.0,0.55,1.5,21.0,129.0,0.5537154003906251,9.55,9.61,9.49,1.0327908034090914,2026-01-16,0.30937713894592744,1.3059548254620124,0.04453878706187587,15.459999999999999,0.8841862557102901,verified,9.682502949282142,0.8918855966645569
EVH,EVH260116P00012500,Put,2026-01-16,12.5,2.5,4.8,4.0,29.0,0.7607445800781252,9.55,9.61,9.49,1.2858638247891543,2026-01-16,0.30937713894592744,0.2327173169062286,0.057395191477745855,8.05,1.009157173612291,verified,9.72109157985656,0.9448960491658767
EVH,EVH260116C00015000,Call,2026-01-16,15.0,0.2,0.7,10.0,556.0,0.8007832421875,9.55,9.61,9.49,1.5451124296977141,2026-01-16,0.30937713894592744,0.48186173853524983,0.05304971444402085,0.75,0.5928380274413734,verified,9.708031410332127,0.5998840327132969
EVH,EVH251219P00007500,Put,2025-12-19,7.5,0.3,0.8,7.0,191.0,0.8203142968749999,9.55,9.61,9.49,0.7749203811437188,2025-12-19,0.2327173169062286,0.2327173169062286,0.057395191477745855,20.46,1.6176622384812138,verified,9.678413657065796,1.1315143907832237
