Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness,Expiry_dt,Years_to_Expiry,T,r,market_price,IV_mid,IV_status,Forward,Smoothed_IV
SMCI,SMCI251010P00042000,Put,2025-10-10,42.0,0.78,0.83,91.0,256,0.6137733935546876,47.01,46.12,47.9,0.8912877095737701,2025-10-10,0.04106776180698152,0.04106776180698152,0.0583735370117685,0.8049999999999999,0.7246775356383884,verified,47.12283087588536,0.7157846458576903
SMCI,SMCI251024P00036000,Put,2025-10-24,36.0,0.48,0.51,2.0,224,0.7226590234375,47.01,46.12,47.9,0.7622534785666365,2025-10-24,0.07939767282683094,0.07939767282683094,0.0583735370117685,0.495,0.7921569695737517,verified,47.22838401170099,0.7744113975386085
SMCI,SMCI261218P00018000,Put,2026-12-18,18.0,1.05,1.14,1.0,1608,0.6870148486328126,47.01,46.12,47.9,0.3623235145155324,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,1.095,0.7317430119665892,verified,49.67935913314387,0.7257334805489765
SMCI,SMCI260116C00105000,Call,2026-01-16,105.0,0.56,0.61,2.0,2319,0.8554701953125,47.01,46.12,47.9,2.195200946139612,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.585,0.8336622206803603,verified,47.83161203745315,0.78257334339856
SMCI,SMCI270115P00025000,Put,2027-01-15,25.0,2.49,2.73,10.0,4517,0.6320837573242188,47.01,46.12,47.9,0.501751569102233,2027-01-15,1.3059548254620124,1.3059548254620124,0.04453878706187587,2.6100000000000003,0.6873791780857428,verified,49.825454546622844,0.6952820627503364
SMCI,SMCI250926P00043000,Put,2025-09-26,43.0,0.12,0.13,408.0,1533,0.6269568554687501,47.01,46.12,47.9,0.9145528264974805,2025-09-26,0.0027378507871321013,0.0027378507871321013,0.0583735370117685,0.125,1.273429099971635,verified,47.01751364618243,1.2610098503854568
SMCI,SMCI251219P00036000,Put,2025-12-19,36.0,1.81,1.95,3.0,938,0.7006865869140625,47.01,46.12,47.9,0.7556339134573086,2025-12-19,0.2327173169062286,0.2327173169062286,0.057395191477745855,1.88,0.7567747445135515,verified,47.642117907713406,0.7493032002223423
SMCI,SMCI251121C00075000,Call,2025-11-21,75.0,0.75,0.82,14.0,3953,0.8735364208984374,47.01,46.12,47.9,1.5808406326093536,2025-11-21,0.15605749486652978,0.15605749486652978,0.058766911516933716,0.7849999999999999,0.8513954311835574,verified,47.44311251426031,0.8152914822739401
SMCI,SMCI251219C00090000,Call,2025-12-19,90.0,0.62,0.67,38.0,1349,0.8623060644531251,47.01,46.12,47.9,1.8890847836432714,2025-12-19,0.2327173169062286,0.2327173169062286,0.057395191477745855,0.645,0.8404077160441966,verified,47.642117907713406,0.8046266543266356
SMCI,SMCI251121C00090000,Call,2025-11-21,90.0,0.41,0.45,99.0,6164,0.9648441015625,47.01,46.12,47.9,1.8970087591312241,2025-11-21,0.15605749486652978,0.15605749486652978,0.058766911516933716,0.43,0.9491151244710265,verified,47.44311251426031,0.889236227191897
SMCI,SMCI250926P00044000,Put,2025-09-26,44.0,0.23,0.25,749.0,2508,0.5937540625000001,47.01,46.12,47.9,0.9358214968811428,2025-09-26,0.0027378507871321013,0.0027378507871321013,0.0583735370117685,0.24,1.2480052511960253,verified,47.01751364618243,1.3184088273451862
SMCI,SMCI260116C00087000,Call,2026-01-16,87.0,0.92,0.98,20.0,393,0.789064609375,47.01,46.12,47.9,1.8188807839442498,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.95,0.7628685003993388,verified,47.83161203745315,0.7457759876172012
SMCI,SMCI251003C00036000,Call,2025-10-03,36.0,9.9,10.4,8.0,108,1.0058643457031249,47.01,46.12,47.9,0.7648160352639167,2025-10-03,0.02190280629705681,0.02190280629705681,0.0583735370117685,11.019999999999998,,convergence,47.07014280574988,0.6737010598376645
SMCI,SMCI270115C00053000,Call,2027-01-15,53.0,11.05,11.8,2.0,538,0.659183095703125,47.01,46.12,47.9,1.063713326496734,2027-01-15,1.3059548254620124,1.3059548254620124,0.04453878706187587,11.425,0.5931819132639241,verified,49.825454546622844,0.6097322028928436
SMCI,SMCI260116C00094000,Call,2026-01-16,94.0,0.75,0.8,3.0,510,0.8164080859374999,47.01,46.12,47.9,1.9652275136868906,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.775,0.7922573051189541,verified,47.83161203745315,0.7608677926208891
SMCI,SMCI260116C00083000,Call,2026-01-16,83.0,1.05,1.12,2.0,511,0.7739280419921876,47.01,46.12,47.9,1.7352540812341695,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,1.085,0.7460200312087283,verified,47.83161203745315,0.7366371194399275
SMCI,SMCI260116C00097000,Call,2026-01-16,97.0,0.69,0.74,1.0,868,0.8276384423828124,47.01,46.12,47.9,2.027947540719451,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.715,0.8041593470895724,verified,47.83161203745315,0.7670157982134104
SMCI,SMCI261218C00028000,Call,2026-12-18,28.0,21.95,23.2,3.0,215,0.713015565185547,47.01,46.12,47.9,0.5636143559130504,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,22.575,0.5615080809695214,verified,49.67935913314387,0.6007153556773351
SMCI,SMCI251219P00035000,Put,2025-12-19,35.0,1.59,1.72,33.0,2062,0.7094755615234375,47.01,46.12,47.9,0.7346440825279389,2025-12-19,0.2327173169062286,0.2327173169062286,0.057395191477745855,1.655,0.7638770734564292,verified,47.642117907713406,0.7528011332541147
SMCI,SMCI261218P00020000,Put,2026-12-18,20.0,1.33,1.44,1.0,2353,0.6655306884765627,47.01,46.12,47.9,0.402581682795036,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,1.385,0.7125517346467488,verified,49.67935913314387,0.7164169988170668
SMCI,SMCI251017P00037000,Put,2025-10-17,37.0,0.38,0.41,29.0,1755,0.7050810742187501,47.01,46.12,47.9,0.7843041172862703,2025-10-17,0.06023271731690623,0.06023271731690623,0.0583735370117685,0.395,0.7849002428940589,verified,47.17557792253057,0.7600203345421374
SMCI,SMCI261218C00043000,Call,2026-12-18,43.0,14.2,15.1,2.0,437,0.672122419433594,47.01,46.12,47.9,0.8655506180093274,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,14.649999999999999,0.5891339595811712,verified,49.67935913314387,0.6051470959856223
SMCI,SMCI261218C00029000,Call,2026-12-18,29.0,21.35,22.5,2.0,187,0.7077665942382813,47.01,46.12,47.9,0.5837434400528022,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,21.925,0.5644624804704707,verified,49.67935913314387,0.6005176222708919
SMCI,SMCI261218C00102000,Call,2026-12-18,102.0,3.6,3.8,1.0,227,0.6757844921875001,47.01,46.12,47.9,2.0531665822546836,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,3.7,0.6384113086919982,verified,49.67935913314387,0.6316087446466484
SMCI,SMCI260116C00098000,Call,2026-01-16,98.0,0.67,0.72,1.0,1398,0.831056376953125,47.01,46.12,47.9,2.048854216396971,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.6950000000000001,0.8076443941484799,verified,47.83161203745315,0.7690254230987448
SMCI,SMCI251003P00051000,Put,2025-10-03,51.0,5.2,5.45,80.0,112,0.659183095703125,47.01,46.12,47.9,1.0834893832905488,2025-10-03,0.02190280629705681,0.02190280629705681,0.0583735370117685,5.325,1.024386862440414,verified,47.07014280574988,1.0164370865543235
SMCI,SMCI261218C00104000,Call,2026-12-18,104.0,3.5,3.7,3.0,277,0.6789582885742189,47.01,46.12,47.9,2.0934247505341874,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,3.6,0.6419061741493431,verified,49.67935913314387,0.6323005462974182
SMCI,SMCI251003C00025000,Call,2025-10-03,25.0,20.6,21.6,59.0,121,2.470706948242188,47.01,46.12,47.9,0.5311222467110533,2025-10-03,0.02190280629705681,0.02190280629705681,0.0583735370117685,22.02,,convergence,47.07014280574988,2.813133427070923
SMCI,SMCI270115P00054000,Put,2027-01-15,54.0,16.65,17.4,10.0,90,0.5679364495849608,47.01,46.12,47.9,1.0837833892608233,2027-01-15,1.3059548254620124,1.3059548254620124,0.04453878706187587,17.025,0.6882457273215586,verified,49.825454546622844,0.6681159624037922
SMCI,SMCI270115C00024000,Call,2027-01-15,24.0,25.1,26.6,2.0,441,0.7658714819335939,47.01,46.12,47.9,0.48168150633814366,2027-01-15,1.3059548254620124,1.3059548254620124,0.04453878706187587,25.85,0.5875266287134024,verified,49.825454546622844,0.6042717464303891
SMCI,SMCI251121P00028000,Put,2025-11-21,28.0,0.46,0.49,18.0,760,0.893555751953125,47.01,46.12,47.9,0.5901805028408253,2025-11-21,0.15605749486652978,0.15605749486652978,0.058766911516933716,0.475,0.9450271302197017,verified,47.44311251426031,0.8143501932997472
SMCI,SMCI271217P00035000,Put,2027-12-17,35.0,8.2,8.8,1.0,1692,0.5726971441650393,47.01,46.12,47.9,0.6802106612375154,2027-12-17,2.2258726899383983,2.2258726899383983,0.040586530268804245,8.5,0.6644230437683505,verified,51.45464779444074,0.6601059801893102
SMCI,SMCI271217C00070000,Call,2027-12-17,70.0,11.4,12.1,4.0,590,0.6579013702392578,47.01,46.12,47.9,1.3604213224750308,2027-12-17,2.2258726899383983,2.2258726899383983,0.040586530268804245,11.75,0.6004050554846024,verified,51.45464779444074,0.6101704556273273
SMCI,SMCI251003C00057000,Call,2025-10-03,57.0,0.15,0.16,267.0,1047,0.79101771484375,47.01,46.12,47.9,1.2109587225012015,2025-10-03,0.02190280629705681,0.02190280629705681,0.0583735370117685,0.155,0.8214693928784412,verified,47.07014280574988,0.6706523089304024
SMCI,SMCI260116C00100000,Call,2026-01-16,100.0,0.63,0.69,152.0,19970,0.8378922460937499,47.01,46.12,47.9,2.0906675677520115,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.6599999999999999,0.81516645912789,verified,47.83161203745315,0.7729873103650006
SMCI,SMCI260116C00088000,Call,2026-01-16,88.0,0.89,0.95,5.0,1222,0.7929708203125,47.01,46.12,47.9,1.83978745962177,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.9199999999999999,0.7669258568292826,verified,47.83161203745315,0.7479998129283918
SMCI,SMCI251219P00034000,Put,2025-12-19,34.0,1.38,1.45,1.0,220,0.711916943359375,47.01,46.12,47.9,0.7136542515985692,2025-12-19,0.2327173169062286,0.2327173169062286,0.057395191477745855,1.415,0.7641540745751315,verified,47.642117907713406,0.7566619258043048
SMCI,SMCI261218P00055000,Put,2026-12-18,55.0,17.05,18.05,2.0,505,0.5758099060058592,47.01,46.12,47.9,1.107099627686349,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,17.55,0.6976215596423201,verified,49.67935913314387,0.671783907868695
SMCI,SMCI251219C00035000,Call,2025-12-19,35.0,12.65,13.25,7.0,163,0.7260769580078125,47.01,46.12,47.9,0.7346440825279389,2025-12-19,0.2327173169062286,0.2327173169062286,0.057395191477745855,12.95,0.5043211503505747,verified,47.642117907713406,0.563691181146055
SMCI,SMCI260320C00035000,Call,2026-03-20,35.0,14.15,15.05,2.0,940,0.6958038232421876,47.01,46.12,47.9,0.7257316858572396,2026-03-20,0.48186173853524983,0.48186173853524983,0.05304971444402085,14.600000000000001,0.55160817247062,verified,48.2271901338547,0.5953040990939067
SMCI,SMCI261218C00098000,Call,2026-12-18,98.0,3.9,4.1,9.0,259,0.6745638012695314,47.01,46.12,47.9,1.9726502456956765,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,4.0,0.6361025726803621,verified,49.67935913314387,0.6301912965777385
SMCI,SMCI250926C00050000,Call,2025-09-26,50.0,0.1,0.11,9574.0,39984,0.63086306640625,47.01,46.12,47.9,1.0634335191831168,2025-09-26,0.0027378507871321013,0.0027378507871321013,0.0583735370117685,0.10500000000000001,0.9055473319099534,verified,47.01751364618243,0.7004470104454805
SMCI,SMCI251003C00039000,Call,2025-10-03,39.0,7.2,7.5,12.0,99,0.69336244140625,47.01,46.12,47.9,0.8285507048692432,2025-10-03,0.02190280629705681,0.02190280629705681,0.0583735370117685,8.019999999999998,,convergence,47.07014280574988,0.4874037183067232
SMCI,SMCI260116C00036000,Call,2026-01-16,36.0,12.3,13.15,1.0,1886,0.6997100341796876,47.01,46.12,47.9,0.752640324390724,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,12.725000000000001,0.5355807129372224,verified,47.83161203745315,0.5862981297734151
SMCI,SMCI260116C00086000,Call,2026-01-16,86.0,0.95,1.01,20.0,1027,0.7851583984375,47.01,46.12,47.9,1.7979741082667298,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.98,0.7584798861207221,verified,47.83161203745315,0.7435283069326097
SMCI,SMCI271217P00047000,Put,2027-12-17,47.0,14.4,15.05,1.0,152,0.5293015820312501,47.01,46.12,47.9,0.9134257450903779,2027-12-17,2.2258726899383983,2.2258726899383983,0.040586530268804245,14.725000000000001,0.6479376730830521,verified,51.45464779444074,0.6508425145900033
SMCI,SMCI261218P00023000,Put,2026-12-18,23.0,1.89,2.0,1.0,647,0.6423375610351563,47.01,46.12,47.9,0.4629689352142914,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,1.9449999999999998,0.692909769882574,verified,49.67935913314387,0.7044003165248051
SMCI,SMCI271217C00038000,Call,2027-12-17,38.0,20.35,21.3,1.0,187,0.6840851904296876,47.01,46.12,47.9,0.7385144322007311,2027-12-17,2.2258726899383983,2.2258726899383983,0.040586530268804245,20.825000000000003,0.5910435112824358,verified,51.45464779444074,0.6031975663446276
SMCI,SMCI260918C00030000,Call,2026-09-18,30.0,20.1,21.05,4.0,200,0.7253445434570311,47.01,46.12,47.9,0.6098165483416501,2026-09-18,0.9801505817932923,0.9801505817932923,0.04635424896934126,20.575000000000003,0.5817660100276754,verified,49.19512283092797,0.5987831087568389
SMCI,SMCI260116C00091000,Call,2026-01-16,91.0,0.82,0.87,7.0,913,0.805666005859375,47.01,46.12,47.9,1.9025074866543303,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.845,0.7803159237837234,verified,47.83161203745315,0.7545328941643603
SMCI,SMCI251010C00041000,Call,2025-10-10,41.0,5.85,6.15,7.0,325,0.6992217578125001,47.01,46.12,47.9,0.8700665736315375,2025-10-10,0.04106776180698152,0.04106776180698152,0.0583735370117685,6.019999999999998,,convergence,47.12283087588536,0.3870053432732609
SMCI,SMCI261218C00052000,Call,2026-12-18,52.0,11.15,11.75,1.0,433,0.6659579302978518,47.01,46.12,47.9,1.0467123752670937,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,11.45,0.5991832063579259,verified,49.67935913314387,0.6098709580557229
SMCI,SMCI251003P00043500,Put,2025-10-03,43.5,0.73,0.77,232.0,506,0.6030313134765627,47.01,46.12,47.9,0.9241527092772328,2025-10-03,0.02190280629705681,0.02190280629705681,0.0583735370117685,0.75,0.7724109779351392,verified,47.07014280574988,0.7603394962119769
SMCI,SMCI251003C00051000,Call,2025-10-03,51.0,0.47,0.5,1171.0,1405,0.639652041015625,47.01,46.12,47.9,1.0834893832905488,2025-10-03,0.02190280629705681,0.02190280629705681,0.0583735370117685,0.485,0.6262640929259822,verified,47.07014280574988,0.5608577305768574
SMCI,SMCI260320C00033000,Call,2026-03-20,33.0,15.65,16.55,2.0,708,0.7194852270507812,47.01,46.12,47.9,0.6842613038082545,2026-03-20,0.48186173853524983,0.48186173853524983,0.05304971444402085,16.1,0.5530621722619038,verified,48.2271901338547,0.5912587746654083
SMCI,SMCI251024C00055000,Call,2025-10-24,55.0,1.04,1.1,62.0,727,0.6879914013671876,47.01,46.12,47.9,1.164553925587917,2025-10-24,0.07939767282683094,0.07939767282683094,0.0583735370117685,1.07,0.6541916718405769,verified,47.22838401170099,0.686758645419737
SMCI,SMCI261218C00120000,Call,2026-12-18,120.0,2.57,2.78,98.0,10397,0.6824982922363283,47.01,46.12,47.9,2.415490096770216,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,2.675,0.6487895392369724,verified,49.67935913314387,0.6374679759787786
SMCI,SMCI251031C00048000,Call,2025-10-31,48.0,3.1,3.25,150.0,261,0.6628451684570313,47.01,46.12,47.9,1.0151933605146384,2025-10-31,0.09856262833675565,0.09856262833675565,0.05845591426108545,3.175,0.59430685866257,verified,47.281633102552064,0.6114881769911906
SMCI,SMCI260116C00081000,Call,2026-01-16,81.0,1.13,1.2,1.0,1213,0.7661156201171876,47.01,46.12,47.9,1.6934407298791292,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,1.165,0.737564038174179,verified,47.83161203745315,0.7319142699201334
SMCI,SMCI251024C00052000,Call,2025-10-24,52.0,1.49,1.57,79.0,484,0.6562534375000001,47.01,46.12,47.9,1.1010328023740306,2025-10-24,0.07939767282683094,0.07939767282683094,0.0583735370117685,1.53,0.6115839921587853,verified,47.22838401170099,0.6474924503673529
SMCI,SMCI260116P00025000,Put,2026-01-16,25.0,0.56,0.6,17.0,3558,0.7963887548828125,47.01,46.12,47.9,0.5226668919380029,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.5800000000000001,0.8380023211165112,verified,47.83161203745315,0.7833264295115238
SMCI,SMCI261218C00108000,Call,2026-12-18,108.0,3.25,3.4,1.0,218,0.6792024267578126,47.01,46.12,47.9,2.1739410870931946,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,3.325,0.6431178579648239,verified,49.67935913314387,0.633651858829759
SMCI,SMCI261218C00025000,Call,2026-12-18,25.0,23.95,25.3,1.0,708,0.731325928955078,47.01,46.12,47.9,0.503227103493795,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,24.625,0.5482291054581573,verified,49.67935913314387,0.602578982193695
SMCI,SMCI260116C00079000,Call,2026-01-16,79.0,1.22,1.29,1.0,795,0.7585473364257813,47.01,46.12,47.9,1.651627378524089,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,1.255,0.7290918586286934,verified,47.83161203745315,0.7270832327711665
SMCI,SMCI250926C00043500,Call,2025-09-26,43.5,2.83,2.99,33.0,785,0.648441015625,47.01,46.12,47.9,0.9251871616893117,2025-09-26,0.0027378507871321013,0.0027378507871321013,0.0583735370117685,3.519999999999998,0.5998328422225223,verified,47.01751364618243,0.9037373341376146
SMCI,SMCI270115P00018000,Put,2027-01-15,18.0,1.13,1.21,4.0,4030,0.6796907031250001,47.01,46.12,47.9,0.36126112975360775,2027-01-15,1.3059548254620124,1.3059548254620124,0.04453878706187587,1.17,0.7254350183132023,verified,49.825454546622844,0.7228890278766799
SMCI,SMCI260116C00082000,Call,2026-01-16,82.0,1.09,1.15,10.0,673,0.7692894165039064,47.01,46.12,47.9,1.7143474055566492,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,1.12,0.7411203695652955,verified,47.83161203745315,0.7342889311505615
SMCI,SMCI250926P00045000,Put,2025-09-26,45.0,0.44,0.47,1582.0,3138,0.5664105859375,47.01,46.12,47.9,0.9570901672648051,2025-09-26,0.0027378507871321013,0.0027378507871321013,0.0583735370117685,0.45499999999999996,1.254569273357357,verified,47.01751364618243,1.3798943080383963
SMCI,SMCI261218P00026000,Put,2026-12-18,26.0,2.64,2.82,1.0,3511,0.631839619140625,47.01,46.12,47.9,0.5233561876335469,2026-12-18,1.2292950034223136,1.2292950034223136,0.04492753363168619,2.73,0.6872867806945642,verified,49.67935913314387,0.6943091714247877
SMCI,SMCI250926C00025000,Call,2025-09-26,25.0,20.55,21.35,7.0,113,3.7031257421875,47.01,46.12,47.9,0.5317167595915584,2025-09-26,0.0027378507871321013,0.0027378507871321013,0.0583735370117685,22.02,4.321935514807296,verified,47.01751364618243,4.33058148622577
SMCI,SMCI251017P00038000,Put,2025-10-17,38.0,0.46,0.49,26.0,2600,0.6777375976562501,47.01,46.12,47.9,0.8055015258615749,2025-10-17,0.06023271731690623,0.06023271731690623,0.0583735370117685,0.475,0.7585827481388808,verified,47.17557792253057,0.7540524310973417
SMCI,SMCI260116C00095000,Call,2026-01-16,95.0,0.73,0.78,420.0,3851,0.8208025732421874,47.01,46.12,47.9,1.9861341893644107,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.755,0.7964657441110267,verified,47.83161203745315,0.7629373626546809
SMCI,SMCI260116P00026000,Put,2026-01-16,26.0,0.62,0.66,80.0,2434,0.773439765625,47.01,46.12,47.9,0.543573567615523,2026-01-16,0.30937713894592744,0.30937713894592744,0.05600418837457931,0.64,0.815536423138749,verified,47.83161203745315,0.7771803875953867
SMCI,SMCI270115C00057000,Call,2027-01-15,57.0,10.15,10.65,3.0,403,0.6621127539062501,47.01,46.12,47.9,1.1439935775530912,2027-01-15,1.3059548254620124,1.3059548254620124,0.04453878706187587,10.4,0.6007517657725876,verified,49.825454546622844,0.6116378754954928
SMCI,SMCI260618C00085000,Call,2026-06-18,85.0,2.83,2.99,29.0,977,0.6967803759765626,47.01,46.12,47.9,1.7438465348541536,2026-06-18,0.7282683093771389,0.7282683093771389,0.049703640050183226,2.91,0.659967935410822,verified,48.74282128679916,0.6492733583617634
