Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
GPRE,GPRE251017C00004000,Call,2025-10-17,4.0,5.6,5.8,5.0,0.0,2.031254921875,9.64,8.34,11.04,2.41
GPRE,GPRE251017C00007000,Call,2025-10-17,7.0,2.6,2.85,44.0,8.0,0.9414068359375,9.64,8.34,11.04,1.3771428571428572
GPRE,GPRE251017C00008000,Call,2025-10-17,8.0,1.75,1.85,6.0,18.0,0.7695335546875001,9.64,8.34,11.04,1.205
GPRE,GPRE251017C00009000,Call,2025-10-17,9.0,1.0,1.15,5.0,32.0,0.7460962890625,9.64,8.34,11.04,1.0711111111111111
GPRE,GPRE251017C00010000,Call,2025-10-17,10.0,0.5,0.6,292.0,733.0,0.7128934960937501,9.64,8.34,11.04,0.9640000000000001
GPRE,GPRE251017C00011000,Call,2025-10-17,11.0,0.2,0.3,100.0,836.0,0.70312796875,9.64,8.34,11.04,0.8763636363636365
GPRE,GPRE251017C00012000,Call,2025-10-17,12.0,0.05,0.15,1.0,342.0,0.6914093359375001,9.64,8.34,11.04,0.8033333333333333
GPRE,GPRE251017C00013000,Call,2025-10-17,13.0,0.0,0.75,1000.0,910.0,1.3007847460937496,9.64,8.34,11.04,0.7415384615384616
GPRE,GPRE251017C00014000,Call,2025-10-17,14.0,0.0,0.05,136.0,270.0,0.7656273437500001,9.64,8.34,11.04,0.6885714285714286
GPRE,GPRE251017P00007000,Put,2025-10-17,7.0,0.0,0.1,2.0,2.0,0.8281267187499999,9.64,8.34,11.04,0.7261410788381742
GPRE,GPRE251017P00008000,Put,2025-10-17,8.0,0.1,0.2,10.0,360.0,0.7539087109375,9.64,8.34,11.04,0.8298755186721991
GPRE,GPRE251017P00009000,Put,2025-10-17,9.0,0.35,0.45,252.0,200.0,0.7070341796875,9.64,8.34,11.04,0.933609958506224
GPRE,GPRE251017P00010000,Put,2025-10-17,10.0,0.8,0.95,105.0,763.0,0.6777375976562501,9.64,8.34,11.04,1.0373443983402488
GPRE,GPRE251017P00011000,Put,2025-10-17,11.0,1.55,1.65,1.0,7.0,0.6894562304687502,9.64,8.34,11.04,1.1410788381742738
GPRE,GPRE251017P00014000,Put,2025-10-17,14.0,4.3,4.5,8.0,32.0,0.8359391406249999,9.64,8.34,11.04,1.4522821576763485
GPRE,GPRE251017P00015000,Put,2025-10-17,15.0,5.2,5.5,10.0,4.0,1.2343788281249999,9.64,8.34,11.04,1.5560165975103732
GPRE,GPRE251121C00009000,Call,2025-11-21,9.0,1.5,1.6,10.0,15.0,0.8085956640624999,9.64,8.34,11.04,1.0711111111111111
GPRE,GPRE251121C00013000,Call,2025-11-21,13.0,0.25,0.4,2.0,7.0,0.78711150390625,9.64,8.34,11.04,0.7415384615384616
GPRE,GPRE251219C00002000,Call,2025-12-19,2.0,0.0,0.0,35.0,0.0,1.0000000000000003e-05,9.64,8.34,11.04,4.82
GPRE,GPRE251219C00003000,Call,2025-12-19,3.0,6.6,6.8,20.0,10.0,1.3828155859374998,9.64,8.34,11.04,3.2133333333333334
GPRE,GPRE251219C00004000,Call,2025-12-19,4.0,5.6,5.8,30.0,75.0,1.0703171484375003,9.64,8.34,11.04,2.41
GPRE,GPRE251219C00005000,Call,2025-12-19,5.0,4.0,4.9,3.0,50.0,1.19922275390625,9.64,8.34,11.04,1.9280000000000002
GPRE,GPRE251219C00006000,Call,2025-12-19,6.0,3.0,4.0,1.0,39.0,1.0429735351562504,9.64,8.34,11.04,1.6066666666666667
