T,Moneyness,Type,IV_Slope,Ticker
0.1,0.7,Call,0.21434793555386022,OPEN
0.1,0.7,Put,-0.673639030604356,OPEN
0.1,0.8,Call,-0.10310205946950646,OPEN
0.1,0.8,Put,-0.7219140606435914,OPEN
0.1,0.9,Call,-0.383114580628785,OPEN
0.1,0.9,Put,-0.7647903524945487,OPEN
0.2,0.7,Call,-0.7873559728626134,OPEN
0.2,0.7,Put,-0.8503740894889589,OPEN
0.2,0.8,Call,-0.9145422198617581,OPEN
0.2,0.8,Put,-0.8768587206369194,OPEN
0.2,0.9,Call,-1.0267218850312787,OPEN
0.2,0.9,Put,-0.9004623850137339,OPEN
0.30000000000000004,0.7,Call,-0.6495559426156204,OPEN
0.30000000000000004,0.7,Put,-0.5532617305649133,OPEN
0.30000000000000004,0.8,Call,-0.7169764534490732,OPEN
0.30000000000000004,0.8,Put,-0.5683209549555885,OPEN
0.30000000000000004,0.9,Call,-0.7764399696566688,OPEN
0.30000000000000004,0.9,Put,-0.5817462733847718,OPEN
0.4,0.7,Call,-0.4785851491639903,OPEN
0.4,0.7,Put,-0.37135348241501553,OPEN
0.4,0.8,Call,-0.520160340941267,OPEN
0.4,0.8,Put,-0.380901896846253,OPEN
0.4,0.9,Call,-0.5568280175554108,OPEN
0.4,0.9,Put,-0.3894144591884974,OPEN
0.5,0.7,Call,-0.35654687442523425,OPEN
0.5,0.7,Put,-0.26328247807405614,OPEN
0.5,0.8,Call,-0.3846982481984895,OPEN
0.5,0.8,Put,-0.2698407191584318,OPEN
0.5,0.9,Call,-0.4095262885112305,OPEN
0.5,0.9,Put,-0.2756872934654764,OPEN
0.6,0.7,Call,-0.2729309648845657,OPEN
0.6,0.7,Put,-0.1954761457375794,OPEN
0.6,0.8,Call,-0.29323970574009667,OPEN
0.6,0.8,Put,-0.20024750382006498,OPEN
0.6,0.9,Call,-0.311150769245927,OPEN
0.6,0.9,Put,-0.20450092354536617,OPEN
0.7000000000000001,0.7,Call,-0.2145706360491114,OPEN
0.7000000000000001,0.7,Put,-0.1505427875247037,OPEN
0.7000000000000001,0.8,Call,-0.22990679627860847,OPEN
0.7000000000000001,0.8,Put,-0.15416580229091598,OPEN
0.7000000000000001,0.9,Call,-0.24343224469295216,OPEN
0.7000000000000001,0.9,Put,-0.15739540971431468,OPEN
0.8,0.7,Call,-0.17266779979996372,OPEN
0.8,0.7,Put,-0.1193641125176309,OPEN
0.8,0.8,Call,-0.18465554523650063,OPEN
0.8,0.8,Put,-0.12220700500173431,OPEN
0.8,0.9,Call,-0.19522785695036404,OPEN
0.8,0.9,Put,-0.12474111540029809,OPEN
0.9,0.7,Call,-0.14173276440122684,OPEN
0.9,0.7,Put,-0.09689563989884803,OPEN
0.9,0.8,Call,-0.15135932826471074,OPEN
0.9,0.8,Put,-0.0991850152133939,OPEN
0.9,0.9,Call,-0.15984921080164977,OPEN
0.9,0.9,Put,-0.10122567006934059,OPEN
1.0,0.7,Call,-0.11831662418897437,OPEN
1.0,0.7,Put,-0.0801909169996673,OPEN
1.0,0.8,Call,-0.1262163037821118,OPEN
1.0,0.8,Put,-0.08207363518993871,OPEN
1.0,0.9,Call,-0.13318318138493268,OPEN
1.0,0.9,Put,-0.08375177090800268,OPEN
1.1,0.7,Call,-0.10019927541282668,OPEN
1.1,0.7,Put,-0.06744412378241596,OPEN
1.1,0.8,Call,-0.10679806098856658,OPEN
1.1,0.8,Put,-0.06901944414367482,OPEN
1.1,0.9,Call,-0.11261763671049413,OPEN
1.1,0.9,Put,-0.07042355470307263,OPEN
1.2000000000000002,0.7,Call,-0.08591147748804316,OPEN
1.2000000000000002,0.7,Put,-0.057501702382445334,OPEN
1.2000000000000002,0.8,Call,-0.09150600627028103,OPEN
1.2000000000000002,0.8,Put,-0.05883907919334203,OPEN
1.2000000000000002,0.9,Call,-0.09643989829351735,OPEN
1.2000000000000002,0.9,Put,-0.0600310841823437,OPEN
1.3000000000000003,0.7,Call,-0.07445441831175859,OPEN
1.3000000000000003,0.7,Put,-0.049600098070602984,OPEN
1.3000000000000003,0.8,Call,-0.07925757362052638,OPEN
1.3000000000000003,0.8,Put,-0.05074956498068566,OPEN
1.3000000000000003,0.9,Call,-0.08349353264311622,OPEN
1.3000000000000003,0.9,Put,-0.05177406891013842,OPEN
1.4000000000000001,0.7,Call,-0.06513204460935537,OPEN
1.4000000000000001,0.7,Put,-0.04321818641127889,OPEN
1.4000000000000001,0.8,Call,-0.06930054802754626,OPEN
1.4000000000000001,0.8,Put,-0.04421668972418421,OPEN
1.4000000000000001,0.9,Call,-0.07297679272433298,OPEN
1.4000000000000001,0.9,Put,-0.045106629000392556,OPEN
1.5000000000000002,0.7,Call,-0.05744827535109445,OPEN
1.5000000000000002,0.7,Put,-0.03799072548740234,OPEN
1.5000000000000002,0.8,Call,-0.0611000510949348,OPEN
1.5000000000000002,0.8,Put,-0.03886613453161213,OPEN
1.5000000000000002,0.9,Call,-0.06432058286378604,OPEN
1.5000000000000002,0.9,Put,-0.0396463531459649,OPEN
1.6,0.7,Call,-0.051042334230144704,OPEN
1.6,0.7,Put,-0.033655714616227794,OPEN
1.6,0.8,Call,-0.05426780928036168,OPEN
1.6,0.8,Put,-0.034429444530803544,OPEN
1.6,0.9,Call,-0.05711237848876616,OPEN
1.6,0.9,Put,-0.035119032501869374,OPEN
1.7000000000000002,0.7,Call,-0.04564703593397634,OPEN
1.7000000000000002,0.7,Put,-0.030021331581945896,OPEN
1.7000000000000002,0.8,Call,-0.0485167097562065,OPEN
1.7000000000000002,0.8,Put,-0.030710107410997545,OPEN
1.7000000000000002,0.9,Call,-0.051047491884539775,OPEN
1.7000000000000002,0.9,Put,-0.031323973589364125,OPEN
1.8000000000000003,0.7,Call,-0.041061244022107715,OPEN
1.8000000000000003,0.7,Put,-0.026944568451814362,OPEN
1.8000000000000003,0.8,Call,-0.04363088911728417,OPEN
1.8000000000000003,0.8,Put,-0.02756164121185215,OPEN
1.8000000000000003,0.9,Call,-0.04589707138317559,OPEN
1.8000000000000003,0.9,Put,-0.028111597457192158,OPEN
1.9000000000000001,0.7,Call,-0.0371312907181398,OPEN
1.9000000000000001,0.7,Put,-0.024317073665680585,OPEN
1.9000000000000001,0.8,Call,-0.03944560589303217,OPEN
1.9000000000000001,0.8,Put,-0.02487307704127814,OPEN
1.9000000000000001,0.9,Call,-0.04148660923964404,OPEN
1.9000000000000001,0.9,Put,-0.025368601986980027,OPEN
2.0,0.7,Call,-0.03373819300318548,OPEN
2.0,0.7,Put,-0.02205555556423766,OPEN
2.0,0.8,Call,-0.03583342088924191,OPEN
2.0,0.8,Put,-0.02255912121204018,OPEN
2.0,0.9,Call,-0.03768120848692824,OPEN
2.0,0.9,Put,-0.023007908811817357,OPEN
2.1,0.7,Call,-0.030788696610143752,OPEN
2.1,0.7,Put,-0.020095144560409013,OPEN
2.1,0.8,Call,-0.032694532462452214,OPEN
2.1,0.8,Put,-0.02055335175443762,OPEN
2.1,0.9,Call,-0.034375293155086695,OPEN
2.1,0.9,Put,-0.020961712135778153,OPEN
2.2,0.7,Call,-0.02820889714176418,OPEN
2.2,0.7,Put,-0.018384717025527412,OPEN
2.2,0.8,Call,-0.0299499030669685,OPEN
2.2,0.8,Put,-0.01880342640709808,OPEN
2.2,0.9,Call,-0.03148529863242463,OPEN
2.2,0.9,Put,-0.01917658339980275,OPEN
2.3000000000000003,0.7,Call,-0.025939627311127138,OPEN
2.3000000000000003,0.7,Put,-0.016883546039709967,OPEN
2.3000000000000003,0.8,Call,-0.02753629519913758,OPEN
2.3000000000000003,0.8,Put,-0.017267650865023264,OPEN
2.3000000000000003,0.9,Call,-0.02894439778578433,OPEN
2.3000000000000003,0.9,Put,-0.017609965977525576,OPEN
2.4000000000000004,0.7,Call,-0.02393307449190714,OPEN
2.4000000000000004,0.7,Put,-0.015558865997434647,OPEN
2.4000000000000004,0.8,Call,-0.02540263538708398,OPEN
2.4000000000000004,0.8,Put,-0.015912483721102395,OPEN
2.4000000000000004,0.9,Call,-0.026698641325095803,OPEN
2.4000000000000004,0.9,Put,-0.016227626926222184,OPEN
2.5000000000000004,0.7,Call,-0.02215026837246725,OPEN
2.5000000000000004,0.7,Put,-0.014384077098066324,OPEN
2.5000000000000004,0.8,Call,-0.0235073161386623,OPEN
2.5000000000000004,0.8,Put,-0.014710697184541207,OPEN
2.5000000000000004,0.9,Call,-0.024704095969330094,OPEN
2.5000000000000004,0.9,Put,-0.015001778682961483,OPEN
2.6,0.7,Call,-0.020559192620407993,OPEN
2.6,0.7,Put,-0.013337404718000581,OPEN
2.6,0.8,Call,-0.02181616976991963,OPEN
2.6,0.8,Put,-0.013640003914866953,OPEN
2.6,0.9,Call,-0.02292469671217622,OPEN
2.6,0.9,Put,-0.013909676891679441,OPEN
2.7,0.7,Call,-0.019133349896745717,OPEN
2.7,0.7,Put,-0.012400886677997344,OPEN
2.7,0.8,Call,-0.020300929854335348,OPEN
2.7,0.8,Put,-0.01268201980811448,OPEN
2.7,0.9,Call,-0.021330616933870717,OPEN
2.7,0.9,Put,-0.012932561365446375,OPEN
2.8000000000000003,0.7,Call,-0.017850660210031295,OPEN
2.8000000000000003,0.7,Put,-0.01155959992065509,OPEN
2.8000000000000003,0.8,Call,-0.018938050880442803,OPEN
2.8000000000000003,0.8,Put,-0.01182147204897843,OPEN
2.8000000000000003,0.9,Call,-0.019897018653902695,OPEN
2.8000000000000003,0.9,Put,-0.012054847535196223,OPEN
2.9000000000000004,0.7,Call,-0.016692607122934442,OPEN
2.9000000000000004,0.7,Put,-0.010801064078595815,OPEN
2.9000000000000004,0.8,Call,-0.01770779403365391,OPEN
2.9000000000000004,0.8,Put,-0.011045588362263837,OPEN
2.9000000000000004,0.9,Call,-0.018603085021957084,OPEN
2.9000000000000004,0.9,Put,-0.011263502938613031,OPEN
3.0000000000000004,0.7,Call,-0.01564357017563485,OPEN
3.0000000000000004,0.7,Put,-0.010114777185858216,OPEN
3.0000000000000004,0.8,Call,-0.01659351277396581,OPEN
3.0000000000000004,0.8,Put,-0.01034362161391744,OPEN
3.0000000000000004,0.9,Call,-0.017431264581150664,OPEN
3.0000000000000004,0.9,Put,-0.010547561917103225,OPEN
3.1,0.7,Call,-0.014690298584180675,OPEN
3.1,0.7,Put,-0.00949185112153472,OPEN
3.1,0.8,Call,-0.015581089889415976,OPEN
3.1,0.8,Put,-0.009706476555493997,OPEN
3.1,0.9,Call,-0.016366676003669443,OPEN
3.1,0.9,Put,-0.009897744605902672,OPEN
3.2,0.7,Call,-0.013821493097601611,OPEN
3.2,0.7,Put,-0.008924723045387883,OPEN
3.2,0.8,Call,-0.014658490447877481,OPEN
3.2,0.8,Put,-0.009126414392431753,OPEN
3.2,0.9,Call,-0.01539663554948889,OPEN
3.2,0.9,Put,-0.009306155380417458,OPEN
3.3000000000000003,0.7,Call,-0.01302747136996037,OPEN
3.3000000000000003,0.7,Put,-0.008406925255725095,OPEN
3.3000000000000003,0.8,Call,-0.013815404189099212,OPEN
3.3000000000000003,0.8,Put,-0.008596817177911642,OPEN
3.3000000000000003,0.9,Call,-0.0145102791925222,OPEN
3.3000000000000003,0.9,Put,-0.008766042379843861,OPEN
3.4000000000000004,0.7,Call,-0.012299898335882735,OPEN
3.4000000000000004,0.7,Put,-0.00793290033876567,OPEN
3.4000000000000004,0.8,Call,-0.013042957498540295,OPEN
3.4000000000000004,0.8,Put,-0.00811199858381713,OPEN
3.4000000000000004,0.9,Call,-0.013698258364816364,OPEN
3.4000000000000004,0.9,Put,-0.00827160437500516,OPEN
3.5000000000000004,0.7,Call,-0.011631567565612804,OPEN
3.5000000000000004,0.7,Put,-0.007497851706429946,OPEN
3.5000000000000004,0.8,Call,-0.01233347992395701,OPEN
3.5000000000000004,0.8,Put,-0.007667050905649626,OPEN
3.5000000000000004,0.9,Call,-0.012952493387263784,OPEN
3.5000000000000004,0.9,Put,-0.007817834624344678,OPEN
3.6,0.7,Call,-0.011016222884426458,OPEN
3.6,0.7,Put,-0.007097621989499147,OPEN
3.6,0.8,Call,-0.011680313753537062,OPEN
3.6,0.8,Put,-0.007257720587069662,OPEN
3.6,0.9,Call,-0.01226597242816781,OPEN
3.6,0.9,Put,-0.007400393841252818,OPEN
3.7,0.7,Call,-0.01044841200856314,OPEN
3.7,0.7,Put,-0.006728593509493192,OPEN
