Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Soybeans USd/Bu,1012.02,3.02,0.30%,-2.46%,-1.63%,1.38%,-2.78%,Sep/25
Wheat USd/Bu,526.02,6.52,1.26%,0.34%,3.24%,-4.62%,-9.97%,Sep/25
Lumber USD/1000 board feet,584.66,1.84,-0.31%,1.95%,1.68%,6.29%,11.34%,Sep/25
Palm Oil MYR/T,4440.00,60.00,1.37%,0.14%,-0.67%,-0.09%,6.94%,Sep/25
Cheese USD/Lbs,1.8011,0.0010,0.06%,-0.60%,1.99%,-5.26%,-21.07%,Sep/25
Milk USD/CWT,17.55,0.10,-0.57%,-0.51%,0.92%,-6.20%,-24.68%,Sep/25
Rubber USD Cents / Kg,173.40,1.90,1.11%,0.12%,0.70%,-12.16%,-14.45%,Sep/25
Orange Juice USd/Lbs,242.96,1.49,-0.61%,1.09%,-8.44%,-51.16%,-48.88%,Sep/25
Coffee USd/Lbs,371.20,2.77,0.75%,-2.53%,-3.35%,15.82%,35.77%,Sep/25
Cotton USd/Lbs,63.765,0.079,0.12%,-1.92%,-2.27%,-6.73%,-10.83%,Sep/25
Rice USD/cwt,11.3556,0.0744,-0.65%,-1.43%,-4.29%,-19.03%,-23.92%,Sep/25
Canola CAD/T,618.84,1.24,0.20%,-0.81%,-5.49%,1.66%,3.32%,Sep/25
Oat USd/Bu,310.0112,1.2612,0.41%,-3.57%,0.57%,-6.20%,-18.42%,Sep/25
Wool AUD/100Kg,1453.00,109.00,8.11%,10.16%,16.52%,25.91%,32.33%,Sep/25
Sugar USd/Lbs,15.76,0.12,0.77%,2.48%,-3.96%,-18.30%,-32.33%,Sep/25
Cocoa USD/T,6926.14,121.86,-1.73%,-4.24%,-8.04%,-39.79%,-14.42%,Sep/25
Tea INR/Kgs,187.64,4.59,-2.39%,-2.39%,-3.59%,10.33%,-21.11%,Sep/13
Sunflower Oil INR/10 kg,1347.00,4.90,0.37%,-0.43%,-0.41%,6.20%,14.28%,Sep/25
Rapeseed EUR/T,472.03,1.22,-0.26%,-0.78%,0.17%,-7.45%,-0.63%,Sep/25
Barley INR/T,2340.50,5.50,-0.23%,0.28%,0.02%,-3.46%,-0.81%,Sep/23
Butter EUR/T,5633.00,33.00,0.59%,1.95%,-16.25%,-22.85%,-29.50%,Sep/25
Potatoes EUR/100KG,8.30,0.00,0.00%,1.22%,10.67%,-71.58%,-72.33%,Sep/25
Corn USd/BU,425.0108,0.7608,0.18%,0.30%,9.68%,-7.30%,2.85%,Sep/25
