Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
KRG,KRG251017C00020000,Call,2025-10-17,20.0,0.0,4.8,,6.0,0.5380905566406251,22.0,21.65,22.06,1.1
KRG,KRG251121P00020000,Put,2025-11-21,20.0,0.0,0.55,1.0,7.0,0.3945373046875,22.0,21.65,22.06,0.9090909090909092
KRG,KRG251017C00025000,Call,2025-10-17,25.0,0.0,0.05,2.0,7.0,0.3281317187499999,22.0,21.65,22.06,0.88
KRG,KRG251121C00025000,Call,2025-11-21,25.0,0.0,3.0,4.0,9.0,0.737307314453125,22.0,21.65,22.06,0.88
KRG,KRG260220C00025000,Call,2026-02-20,25.0,0.0,1.65,5.0,9.0,0.4877980908203125,22.0,21.65,22.06,0.88
KRG,KRG251121C00022500,Call,2025-11-21,22.5,0.05,2.1,2.0,26.0,0.6635775830078127,22.0,21.65,22.06,0.9777777777777776
KRG,KRG251017P00022500,Put,2025-10-17,22.5,0.0,2.65,45.0,47.0,1.0771530517578127,22.0,21.65,22.06,1.0227272727272727
KRG,KRG251219C00025000,Call,2025-12-19,25.0,0.05,0.2,18.0,165.0,0.2446364599609375,22.0,21.65,22.06,0.88
KRG,KRG251219C00012500,Call,2025-12-19,12.5,8.2,11.0,1.0,3.0,0.68555001953125,22.0,21.65,22.06,1.76
KRG,KRG251017C00022500,Call,2025-10-17,22.5,0.1,0.3,110.0,226.0,0.229499892578125,22.0,21.65,22.06,0.9777777777777776
KRG,KRG251219P00025000,Put,2025-12-19,25.0,3.1,3.9,4.0,4.0,0.4545952978515625,22.0,21.65,22.06,1.1363636363636365
KRG,KRG251219P00022500,Put,2025-12-19,22.5,1.05,1.35,,100.0,0.2514723291015625,22.0,21.65,22.06,1.0227272727272727
