Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
NTRA,NTRA251219C00260000,Call,2025-12-19,260.0,0.0,2.05,1.0,65,0.561527822265625,163.66,150.47,176.9,0.6294615384615384
NTRA,NTRA251017P00150000,Put,2025-10-17,150.0,0.05,3.7,2.0,60,0.5684857604980469,163.66,150.47,176.9,0.9165342783820116
NTRA,NTRA251017C00200000,Call,2025-10-17,200.0,0.0,0.5,10.0,75,0.49414568359375,163.66,150.47,176.9,0.8183
NTRA,NTRA251219P00115000,Put,2025-12-19,115.0,0.0,3.2,1.0,79,0.5516402258300781,163.66,150.47,176.9,0.7026762800928755
NTRA,NTRA251219P00120000,Put,2025-12-19,120.0,0.0,3.6,2.0,99,0.5153857055664062,163.66,150.47,176.9,0.7332274227056093
NTRA,NTRA251219C00210000,Call,2025-12-19,210.0,0.5,4.7,5.0,42,0.5523726403808593,163.66,150.47,176.9,0.7793333333333333
NTRA,NTRA251017P00155000,Put,2025-10-17,155.0,1.05,5.1,3.0,21,0.5494429821777345,163.66,150.47,176.9,0.9470854209947452
NTRA,NTRA260116P00100000,Put,2026-01-16,100.0,0.0,2.9,180.0,165,0.6118202880859377,163.66,150.47,176.9,0.6110228522546743
NTRA,NTRA251219P00135000,Put,2025-12-19,135.0,1.4,5.7,1.0,24,0.5617109259033204,163.66,150.47,176.9,0.8248808505438103
NTRA,NTRA251121C00190000,Call,2025-11-21,190.0,2.35,6.6,2.0,12,0.5905802661132813,163.66,150.47,176.9,0.8613684210526316
NTRA,NTRA251219C00195000,Call,2025-12-19,195.0,3.0,7.0,3.0,8,0.539189178466797,163.66,150.47,176.9,0.8392820512820512
NTRA,NTRA251017P00140000,Put,2025-10-17,140.0,0.0,2.9,1.0,244,0.5627485131835939,163.66,150.47,176.9,0.8554319931565441
NTRA,NTRA251017P00160000,Put,2025-10-17,160.0,2.75,6.8,2.0,16,0.5252733020019531,163.66,150.47,176.9,0.977636563607479
NTRA,NTRA251121P00145000,Put,2025-11-21,145.0,3.0,7.0,10.0,14,0.5910685424804689,163.66,150.47,176.9,0.8859831357692778
NTRA,NTRA251219C00220000,Call,2025-12-19,220.0,0.25,3.8,2.0,433,0.5698285205078125,163.66,150.47,176.9,0.7439090909090909
NTRA,NTRA260116C00195000,Call,2026-01-16,195.0,4.9,8.8,3.0,8,0.5240526110839843,163.66,150.47,176.9,0.8392820512820512
NTRA,NTRA251121P00140000,Put,2025-11-21,140.0,1.5,5.7,100.0,101,0.6064492480468751,163.66,150.47,176.9,0.8554319931565441
NTRA,NTRA251121C00200000,Call,2025-11-21,200.0,0.55,3.9,3.0,436,0.5518843640136719,163.66,150.47,176.9,0.8183
NTRA,NTRA251219P00130000,Put,2025-12-19,130.0,1.0,5.0,200.0,220,0.5921671643066408,163.66,150.47,176.9,0.7943297079310766
NTRA,NTRA260417C00190000,Call,2026-04-17,190.0,12.2,16.5,2.0,3,0.5282945120239259,163.66,150.47,176.9,0.8613684210526316
NTRA,NTRA251121C00180000,Call,2025-11-21,180.0,5.0,9.0,2.0,14,0.5003712072753908,163.66,150.47,176.9,0.9092222222222222
NTRA,NTRA260116C00200000,Call,2026-01-16,200.0,3.6,7.9,3.0,35,0.5296067547607424,163.66,150.47,176.9,0.8183
NTRA,NTRA260116P00155000,Put,2026-01-16,155.0,10.1,14.1,1.0,4,0.5114794946289063,163.66,150.47,176.9,0.9470854209947452
NTRA,NTRA260116P00140000,Put,2026-01-16,140.0,4.5,8.7,1.0,22,0.538639867553711,163.66,150.47,176.9,0.8554319931565441
NTRA,NTRA260417C00210000,Call,2026-04-17,210.0,6.8,11.0,10.0,10,0.5131884619140624,163.66,150.47,176.9,0.7793333333333333
NTRA,NTRA260417C00220000,Call,2026-04-17,220.0,4.8,9.0,2.0,22,0.5092822509765625,163.66,150.47,176.9,0.7439090909090909
NTRA,NTRA251121P00150000,Put,2025-11-21,150.0,4.5,8.6,19.0,28,0.5795330133056642,163.66,150.47,176.9,0.9165342783820116
NTRA,NTRA251121P00160000,Put,2025-11-21,160.0,8.6,12.6,2.0,7,0.5590254058837891,163.66,150.47,176.9,0.977636563607479
NTRA,NTRA251219P00145000,Put,2025-12-19,145.0,4.5,8.8,3.0,38,0.5537154003906251,163.66,150.47,176.9,0.8859831357692778
NTRA,NTRA251121P00155000,Put,2025-11-21,155.0,6.4,10.4,9.0,14,0.5663495513916017,163.66,150.47,176.9,0.9470854209947452
NTRA,NTRA260116C00185000,Call,2026-01-16,185.0,7.6,11.8,30.0,11,0.5364426239013673,163.66,150.47,176.9,0.8846486486486487
NTRA,NTRA251121C00170000,Call,2025-11-21,170.0,8.7,12.8,1.0,10,0.5168505346679688,163.66,150.47,176.9,0.9627058823529412
NTRA,NTRA251121C00165000,Call,2025-11-21,165.0,11.0,15.3,10.0,7,0.5293626165771486,163.66,150.47,176.9,0.9918787878787878
NTRA,NTRA251121P00165000,Put,2025-11-21,165.0,11.0,14.6,1.0,5,0.5336960693359375,163.66,150.47,176.9,1.0081877062202127
NTRA,NTRA251017C00180000,Call,2025-10-17,180.0,1.5,3.8,16.0,271,0.576054044189453,163.66,150.47,176.9,0.9092222222222222
NTRA,NTRA260417C00185000,Call,2026-04-17,185.0,13.9,18.2,5.0,6,0.5329941720581054,163.66,150.47,176.9,0.8846486486486487
NTRA,NTRA251121C00150000,Call,2025-11-21,150.0,19.6,23.7,3.0,3,0.5528609167480469,163.66,150.47,176.9,1.0910666666666666
NTRA,NTRA251121C00185000,Call,2025-11-21,185.0,3.6,7.8,2.0,225,0.5002491381835938,163.66,150.47,176.9,0.8846486486486487
NTRA,NTRA251219P00155000,Put,2025-12-19,155.0,8.3,12.6,11.0,20,0.5388229711914063,163.66,150.47,176.9,0.9470854209947452
NTRA,NTRA251017P00175000,Put,2025-10-17,175.0,11.5,15.6,1.0,9,0.5190477783203125,163.66,150.47,176.9,1.0692899914456802
NTRA,NTRA260417P00170000,Put,2026-04-17,170.0,22.0,26.4,1.0,3,0.4654594470214844,163.66,150.47,176.9,1.0387388488329463
NTRA,NTRA251017C00175000,Call,2025-10-17,175.0,1.8,3.2,4.0,79,0.4458063232421875,163.66,150.47,176.9,0.9352
NTRA,NTRA251219C00200000,Call,2025-12-19,200.0,2.0,5.8,1.0,2082,0.5310105493164063,163.66,150.47,176.9,0.8183
