Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
SO,SO270115P00050000,Put,2027-01-15,50.0,0.35,0.85,10.0,19,0.368170380859375,93.69,93.8,93.85,0.5336748852598997
SO,SO251003P00091000,Put,2025-10-03,91.0,0.1,0.2,1.0,10,0.178719150390625,93.69,93.8,93.85,0.9712882911730174
SO,SO260116P00060000,Put,2026-01-16,60.0,0.05,2.2,149.0,1003,0.6086464916992189,93.69,93.8,93.85,0.6404098623118796
SO,SO251017C00100000,Call,2025-10-17,100.0,0.0,0.25,50.0,2486,0.2065509033203124,93.69,93.8,93.85,0.9369
SO,SO251017P00087500,Put,2025-10-17,87.5,0.0,0.2,4.0,2654,0.2050860742187499,93.69,93.8,93.85,0.9339310492048244
SO,SO251219P00082500,Put,2025-12-19,82.5,0.45,1.75,3.0,105,0.3335027587890625,93.69,93.8,93.85,0.8805635606788345
SO,SO251219P00080000,Put,2025-12-19,80.0,0.2,0.65,4.0,121,0.2727123510742187,93.69,93.8,93.85,0.8538798164158395
SO,SO260116P00077500,Put,2026-01-16,77.5,0.15,0.65,1.0,405,0.2712475219726562,93.69,93.8,93.85,0.8271960721528445
SO,SO280121P00090000,Put,2028-01-21,90.0,5.5,10.5,3.0,34,0.2205888488769531,93.69,93.8,93.85,0.9606147934678194
SO,SO251010P00091000,Put,2025-10-10,91.0,0.25,0.4,28.0,14,0.1733481103515625,93.69,93.8,93.85,0.9712882911730174
SO,SO251219C00105000,Call,2025-12-19,105.0,0.15,0.3,1.0,51,0.1682212084960938,93.69,93.8,93.85,0.8922857142857142
SO,SO270115P00095000,Put,2027-01-15,95.0,5.5,10.0,28.0,31,0.2173540179443359,93.69,93.8,93.85,1.0139822819938094
SO,SO250926C00090000,Call,2025-09-26,90.0,2.85,4.0,4.0,9,0.5449264257812501,93.69,93.8,93.85,1.041
SO,SO251024C00097000,Call,2025-10-24,97.0,0.55,1.8,45.0,1496,0.2922434057617186,93.69,93.8,93.85,0.9658762886597938
SO,SO251024C00096000,Call,2025-10-24,96.0,0.9,1.45,2.0,24,0.2242509216308593,93.69,93.8,93.85,0.9759375
SO,SO251010C00096000,Call,2025-10-10,96.0,0.35,1.05,4.0,1023,0.25196060546875,93.69,93.8,93.85,0.9759375
SO,SO251024P00091000,Put,2025-10-24,91.0,0.6,0.95,12.0,22,0.1909260595703125,93.69,93.8,93.85,0.9712882911730174
SO,SO251121P00082500,Put,2025-11-21,82.5,0.2,0.45,18.0,214,0.254890263671875,93.69,93.8,93.85,0.8805635606788345
SO,SO251003P00092000,Put,2025-10-03,92.0,0.25,0.4,2.0,25,0.1774984594726562,93.69,93.8,93.85,0.9819617888782154
SO,SO251031C00095000,Call,2025-10-31,95.0,1.45,2.0,1.0,9,0.2171709143066406,93.69,93.8,93.85,0.9862105263157894
SO,SO260618C00115000,Call,2026-06-18,115.0,0.25,0.4,1.0,36,0.1584556811523437,93.69,93.8,93.85,0.814695652173913
SO,SO260116P00080000,Put,2026-01-16,80.0,0.3,0.65,1.0,489,0.2368240380859375,93.69,93.8,93.85,0.8538798164158395
SO,SO260320P00082500,Put,2026-03-20,82.5,1.1,1.7,1.0,43,0.2296219616699218,93.69,93.8,93.85,0.8805635606788345
SO,SO260320P00070000,Put,2026-03-20,70.0,0.3,0.55,5.0,236,0.2910227148437499,93.69,93.8,93.85,0.7471448393638596
SO,SO260320P00085000,Put,2026-03-20,85.0,1.5,2.8,22.0,276,0.2503737072753906,93.69,93.8,93.85,0.9072473049418296
SO,SO251121P00090000,Put,2025-11-21,90.0,1.25,2.4,27.0,412,0.272346143798828,93.69,93.8,93.85,0.9606147934678194
SO,SO251121C00100000,Call,2025-11-21,100.0,0.35,0.8,46.0,1963,0.1909260595703125,93.69,93.8,93.85,0.9369
SO,SO260220C00080000,Call,2026-02-20,80.0,13.0,17.1,18.0,14,0.3889221264648437,93.69,93.8,93.85,1.171125
SO,SO260220P00082500,Put,2026-02-20,82.5,0.9,1.15,1.0,12,0.2147295324707031,93.69,93.8,93.85,0.8805635606788345
SO,SO250926C00094000,Call,2025-09-26,94.0,0.2,0.35,217.0,355,0.176766044921875,93.69,93.8,93.85,0.9967021276595744
SO,SO280121C00087500,Call,2028-01-21,87.5,12.7,16.7,1.0,18,0.2439955972290039,93.69,93.8,93.85,1.0707428571428572
SO,SO251031C00097000,Call,2025-10-31,97.0,0.85,1.05,9.0,9,0.19336744140625,93.69,93.8,93.85,0.9658762886597938
SO,SO260918P00080000,Put,2026-09-18,80.0,2.05,2.8,6.0,31,0.2283402362060547,93.69,93.8,93.85,0.8538798164158395
SO,SO251121P00092500,Put,2025-11-21,92.5,1.55,2.5,14.0,222,0.2066729724121093,93.69,93.8,93.85,0.9872985377308144
SO,SO260320P00077500,Put,2026-03-20,77.5,0.65,0.85,1.0,22,0.2352371398925781,93.69,93.8,93.85,0.8271960721528445
SO,SO260320C00075000,Call,2026-03-20,75.0,16.0,20.1,4.0,14,0.3093330786132812,93.69,93.8,93.85,1.2492
SO,SO260918C00115000,Call,2026-09-18,115.0,0.5,0.65,8.0,24,0.1534508483886719,93.69,93.8,93.85,0.814695652173913
SO,SO280121C00090000,Call,2028-01-21,90.0,11.1,15.2,,46,0.2386855917358398,93.69,93.8,93.85,1.041
SO,SO270115P00065000,Put,2027-01-15,65.0,1.15,1.7,1.0,121,0.2871165039062499,93.69,93.8,93.85,0.6937773508378696
SO,SO251219C00087500,Call,2025-12-19,87.5,6.6,7.9,1.0,9,0.2326736889648437,93.69,93.8,93.85,1.0707428571428572
SO,SO260116C00105000,Call,2026-01-16,105.0,0.3,0.5,3.0,676,0.1672446557617187,93.69,93.8,93.85,0.8922857142857142
SO,SO270115C00105000,Call,2027-01-15,105.0,2.6,3.4,26.0,39,0.1719443157958984,93.69,93.8,93.85,0.8922857142857142
SO,SO260918P00075000,Put,2026-09-18,75.0,1.35,1.7,11.0,23,0.2319412744140624,93.69,93.8,93.85,0.8005123278898495
