Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
MDB,MDB250926C00150000,Call,2025-09-26,150.0,160.9,168.7,5.0,5,6.832032709960938,315.32,314.63,315.7,2.102133333333333
MDB,MDB250926C00165000,Call,2025-09-26,165.0,146.1,153.7,2.0,1,6.0751977185058585,315.32,314.63,315.7,1.911030303030303
MDB,MDB250926C00170000,Call,2025-09-26,170.0,140.8,147.55,2.0,2,5.310550236816405,315.32,314.63,315.7,1.8548235294117648
MDB,MDB250926C00175000,Call,2025-09-26,175.0,136.5,142.25,1.0,1,4.942386634521483,315.32,314.63,315.7,1.8018285714285713
MDB,MDB250926C00180000,Call,2025-09-26,180.0,130.9,138.7,2.0,2,5.382815771484374,315.32,314.63,315.7,1.7517777777777777
MDB,MDB250926C00185000,Call,2025-09-26,185.0,125.85,133.8,2.0,1,5.201663654174804,315.32,314.63,315.7,1.7044324324324325
MDB,MDB250926C00190000,Call,2025-09-26,190.0,120.8,127.8,,1,4.597660502929687,315.32,314.63,315.7,1.659578947368421
MDB,MDB250926C00195000,Call,2025-09-26,195.0,0.0,0.0,,2,1.0000000000000003e-05,315.32,314.63,315.7,1.617025641025641
MDB,MDB250926C00200000,Call,2025-09-26,200.0,111.45,117.7,1.0,12,4.167973540039062,315.32,314.63,315.7,1.5766
MDB,MDB250926C00205000,Call,2025-09-26,205.0,106.55,113.1,7.0,5,4.131840772705079,315.32,314.63,315.7,1.5381463414634147
MDB,MDB250926C00210000,Call,2025-09-26,210.0,101.15,108.7,2.0,11,4.144536069335938,315.32,314.63,315.7,1.5015238095238095
MDB,MDB250926C00215000,Call,2025-09-26,215.0,96.1,103.7,3.0,39,3.9531251171874997,315.32,314.63,315.7,1.4666046511627906
MDB,MDB250926C00220000,Call,2025-09-26,220.0,92.8,97.15,3.0,122,3.236818314208984,315.32,314.63,315.7,1.4332727272727273
MDB,MDB250926C00225000,Call,2025-09-26,225.0,86.45,93.8,100.0,105,3.6093759765625,315.32,314.63,315.7,1.4014222222222221
MDB,MDB250926C00230000,Call,2025-09-26,230.0,81.6,88.3,5.0,125,3.2841814770507813,315.32,314.63,315.7,1.3709565217391304
MDB,MDB250926C00235000,Call,2025-09-26,235.0,76.15,83.3,1.0,3,3.1093772265624997,315.32,314.63,315.7,1.3417872340425532
MDB,MDB250926C00240000,Call,2025-09-26,240.0,72.5,78.8,1.0,20,1.853516357421875,315.32,314.63,315.7,1.3138333333333334
MDB,MDB250926C00245000,Call,2025-09-26,245.0,66.1,73.9,1.0,15,2.917971455078125,315.32,314.63,315.7,1.2870204081632652
MDB,MDB250926C00250000,Call,2025-09-26,250.0,62.7,67.7,1.0,77,2.441410146484375,315.32,314.63,315.7,1.26128
MDB,MDB250926C00255000,Call,2025-09-26,255.0,58.55,63.9,1.0,39,1.8066415917968748,315.32,314.63,315.7,1.236549019607843
MDB,MDB250926C00260000,Call,2025-09-26,260.0,51.1,58.85,1.0,26,2.389164183349609,315.32,314.63,315.7,1.2127692307692308
MDB,MDB250926C00265000,Call,2025-09-26,265.0,46.4,53.6,1.0,29,2.167485050048828,315.32,314.63,315.7,1.1898867924528302
MDB,MDB250926C00270000,Call,2025-09-26,270.0,42.7,46.9,1.0,12,1.611330068359375,315.32,314.63,315.7,1.167851851851852
MDB,MDB250926C00275000,Call,2025-09-26,275.0,37.75,42.5,1.0,95,1.6088886743164061,315.32,314.63,315.7,1.1466181818181818
MDB,MDB250926C00280000,Call,2025-09-26,280.0,32.4,37.15,7.0,43,1.3789093554687497,315.32,314.63,315.7,1.1261428571428571
MDB,MDB250926C00285000,Call,2025-09-26,285.0,28.85,32.25,3.0,252,0.752932158203125,315.32,314.63,315.7,1.1063859649122807
MDB,MDB250926C00290000,Call,2025-09-26,290.0,24.0,26.5,6.0,33,0.9416509741210937,315.32,314.63,315.7,1.0873103448275863
MDB,MDB250926C00295000,Call,2025-09-26,295.0,18.35,21.15,1.0,201,0.7216824707031251,315.32,314.63,315.7,1.0688813559322035
MDB,MDB250926C00300000,Call,2025-09-26,300.0,14.85,17.15,22.0,197,0.5522505712890625,315.32,314.63,315.7,1.0510666666666666
MDB,MDB250926C00302500,Call,2025-09-26,302.5,11.5,14.2,1.0,6,0.6147499462890625,315.32,314.63,315.7,1.0423801652892561
MDB,MDB250926C00305000,Call,2025-09-26,305.0,8.85,11.5,13.0,64,0.5041553491210937,315.32,314.63,315.7,1.0338360655737704
MDB,MDB250926C00307500,Call,2025-09-26,307.5,7.75,9.75,53.0,63,0.5300339965820313,315.32,314.63,315.7,1.025430894308943
MDB,MDB250926C00310000,Call,2025-09-26,310.0,6.05,6.75,62.0,208,0.3745179736328125,315.32,314.63,315.7,1.0171612903225806
MDB,MDB250926C00312500,Call,2025-09-26,312.5,2.43,4.85,8.0,31,0.35034829345703117,315.32,314.63,315.7,1.009024
MDB,MDB250926C00315000,Call,2025-09-26,315.0,2.94,3.4,197.0,86,0.3479069116210937,315.32,314.63,315.7,1.001015873015873
MDB,MDB250926C00317500,Call,2025-09-26,317.5,2.0,2.26,36.0,350,0.3460758752441406,315.32,314.63,315.7,0.9931338582677165
MDB,MDB250926C00320000,Call,2025-09-26,320.0,1.15,1.51,115.0,296,0.3562076098632812,315.32,314.63,315.7,0.985375
MDB,MDB250926C00322500,Call,2025-09-26,322.5,0.3,1.36,210.0,473,0.42017181396484377,315.32,314.63,315.7,0.9777364341085271
MDB,MDB250926C00325000,Call,2025-09-26,325.0,0.41,0.6,39.0,345,0.3706117626953125,315.32,314.63,315.7,0.9702153846153846
MDB,MDB250926C00327500,Call,2025-09-26,327.5,0.21,0.4,14.0,140,0.38721315917968746,315.32,314.63,315.7,0.9628091603053435
MDB,MDB250926C00330000,Call,2025-09-26,330.0,0.09,0.4,52.0,313,0.44336494140625,315.32,314.63,315.7,0.9555151515151515
MDB,MDB250926C00332500,Call,2025-09-26,332.5,0.05,1.05,19.0,210,0.5385788330078126,315.32,314.63,315.7,0.9483308270676691
MDB,MDB250926C00335000,Call,2025-09-26,335.0,0.02,0.14,300.0,297,0.445318046875,315.32,314.63,315.7,0.9412537313432836
MDB,MDB250926C00337500,Call,2025-09-26,337.5,0.0,2.97,5.0,139,0.8540053662109376,315.32,314.63,315.7,0.9342814814814815
MDB,MDB250926C00340000,Call,2025-09-26,340.0,0.01,0.31,35.0,305,0.5459029785156251,315.32,314.63,315.7,0.9274117647058824
MDB,MDB250926C00342500,Call,2025-09-26,342.5,0.0,0.3,1.0,105,0.5830119824218749,315.32,314.63,315.7,0.9206423357664233
MDB,MDB250926C00345000,Call,2025-09-26,345.0,0.0,0.79,2.0,317,0.7460962890625,315.32,314.63,315.7,0.9139710144927536
MDB,MDB250926C00347500,Call,2025-09-26,347.5,0.0,0.34,309.0,340,0.6796907031250001,315.32,314.63,315.7,0.9073956834532374
MDB,MDB250926C00350000,Call,2025-09-26,350.0,0.0,0.38,34.0,1171,0.73437765625,315.32,314.63,315.7,0.9009142857142857
MDB,MDB250926C00355000,Call,2025-09-26,355.0,0.0,0.05,1.0,311,0.6250037500000001,315.32,314.63,315.7,0.8882253521126761
MDB,MDB250926C00360000,Call,2025-09-26,360.0,0.0,0.89,1.0,98,1.0380907470703127,315.32,314.63,315.7,0.8758888888888888
MDB,MDB250926C00365000,Call,2025-09-26,365.0,0.0,0.21,1.0,71,0.89257919921875,315.32,314.63,315.7,0.8638904109589041
MDB,MDB250926C00370000,Call,2025-09-26,370.0,0.0,0.3,26.0,133,1.01172369140625,315.32,314.63,315.7,0.8522162162162162
MDB,MDB250926C00375000,Call,2025-09-26,375.0,0.0,4.3,5.0,45,1.81640716796875,315.32,314.63,315.7,0.8408533333333333
MDB,MDB250926C00380000,Call,2025-09-26,380.0,0.0,4.25,2.0,31,1.9082035839843752,315.32,314.63,315.7,0.8297894736842105
MDB,MDB250926C00385000,Call,2025-09-26,385.0,0.0,0.24,101.0,110,1.185550947265625,315.32,314.63,315.7,0.819012987012987
MDB,MDB250926C00390000,Call,2025-09-26,390.0,0.0,0.15,40.0,154,1.1796916015624999,315.32,314.63,315.7,0.8085128205128205
