Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
TMDX,TMDX251017C00040000,Call,2025-10-17,40.0,77.9,80.7,3.0,6,4.169438381958008,113.9,82.08,143.89,2.8475
TMDX,TMDX251017C00050000,Call,2025-10-17,50.0,63.1,66.6,2.0,5,2.0830126049804685,113.9,82.08,143.89,2.278
TMDX,TMDX251017C00060000,Call,2025-10-17,60.0,45.6,49.5,1.0,4,1.0000000000000003e-05,113.9,82.08,143.89,1.8983333333333334
TMDX,TMDX251017C00065000,Call,2025-10-17,65.0,42.0,45.0,1.0,3,1.0000000000000003e-05,113.9,82.08,143.89,1.7523076923076923
TMDX,TMDX251017C00070000,Call,2025-10-17,70.0,49.0,52.5,8.0,19,2.503177570190429,113.9,82.08,143.89,1.6271428571428572
TMDX,TMDX251017C00075000,Call,2025-10-17,75.0,37.5,41.4,2.0,32,1.0371141894531253,113.9,82.08,143.89,1.5186666666666668
TMDX,TMDX251017C00080000,Call,2025-10-17,80.0,32.6,36.5,5.0,70,0.936524072265625,113.9,82.08,143.89,1.42375
TMDX,TMDX251017C00085000,Call,2025-10-17,85.0,27.7,31.6,4.0,66,0.8320329296874999,113.9,82.08,143.89,1.34
TMDX,TMDX251017C00090000,Call,2025-10-17,90.0,24.1,26.1,3.0,350,0.7995625512695312,113.9,82.08,143.89,1.2655555555555555
TMDX,TMDX251017C00095000,Call,2025-10-17,95.0,18.3,22.1,1.0,39,0.6787141503906251,113.9,82.08,143.89,1.1989473684210528
TMDX,TMDX251017C00100000,Call,2025-10-17,100.0,15.5,17.0,2.0,133,0.681887946777344,113.9,82.08,143.89,1.139
TMDX,TMDX251017C00105000,Call,2025-10-17,105.0,11.6,13.1,9.0,102,0.641605146484375,113.9,82.08,143.89,1.0847619047619048
TMDX,TMDX251017C00110000,Call,2025-10-17,110.0,8.1,11.0,8.0,316,0.664309997558594,113.9,82.08,143.89,1.0354545454545454
TMDX,TMDX251017C00115000,Call,2025-10-17,115.0,4.4,8.4,21.0,325,0.6057168334960938,113.9,82.08,143.89,0.9904347826086957
TMDX,TMDX251017C00120000,Call,2025-10-17,120.0,3.9,5.7,33.0,329,0.6374547973632813,113.9,82.08,143.89,0.9491666666666667
TMDX,TMDX251017C00125000,Call,2025-10-17,125.0,2.4,3.6,44.0,668,0.6059609716796877,113.9,82.08,143.89,0.9112
TMDX,TMDX251017C00130000,Call,2025-10-17,130.0,1.55,2.15,91.0,347,0.5922892333984376,113.9,82.08,143.89,0.8761538461538462
TMDX,TMDX251017C00135000,Call,2025-10-17,135.0,0.95,1.25,42.0,560,0.5830119824218749,113.9,82.08,143.89,0.8437037037037037
TMDX,TMDX251017C00140000,Call,2025-10-17,140.0,0.55,1.25,5.0,540,0.6303747900390625,113.9,82.08,143.89,0.8135714285714286
TMDX,TMDX251017C00145000,Call,2025-10-17,145.0,0.35,0.55,7.0,572,0.6010782080078126,113.9,82.08,143.89,0.7855172413793103
TMDX,TMDX251017C00150000,Call,2025-10-17,150.0,0.15,0.4,27.0,814,0.6054726953125001,113.9,82.08,143.89,0.7593333333333334
TMDX,TMDX251017C00155000,Call,2025-10-17,155.0,0.0,1.0,7.0,110,0.7407252490234374,113.9,82.08,143.89,0.7348387096774194
TMDX,TMDX251017C00160000,Call,2025-10-17,160.0,0.0,0.3,1.0,475,0.65039412109375,113.9,82.08,143.89,0.711875
TMDX,TMDX251017C00165000,Call,2025-10-17,165.0,0.0,2.2,2.0,87,1.0092822973632813,113.9,82.08,143.89,0.6903030303030303
TMDX,TMDX251017C00170000,Call,2025-10-17,170.0,0.0,0.4,3.0,143,0.7773459765625,113.9,82.08,143.89,0.67
TMDX,TMDX251017C00175000,Call,2025-10-17,175.0,0.0,0.2,1.0,69,0.7480493945312501,113.9,82.08,143.89,0.6508571428571429
TMDX,TMDX251017C00180000,Call,2025-10-17,180.0,0.0,2.15,1.0,130,1.1713908618164064,113.9,82.08,143.89,0.6327777777777778
TMDX,TMDX251017C00185000,Call,2025-10-17,185.0,0.0,2.15,2.0,8,1.22266013671875,113.9,82.08,143.89,0.6156756756756757
TMDX,TMDX251017C00190000,Call,2025-10-17,190.0,0.0,2.15,4.0,30,1.2719762963867183,113.9,82.08,143.89,0.5994736842105264
