Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDJPY,149.403,0.387,-0.26%,1.02%,1.40%,-5.05%,5.07%,Sep/26
USDCNY,7.14141,0.00080,-0.01%,0.36%,-0.11%,-2.67%,2.30%,Sep/26
USDINR,88.6740,0.0934,-0.11%,0.65%,1.16%,3.62%,5.91%,Sep/26
USDKRW,1409.55,0.41,0.03%,0.88%,1.17%,-4.65%,7.57%,Sep/26
USDIDR,16678.6,88.4,-0.53%,0.21%,2.03%,2.53%,10.27%,Sep/26
USDSAR,3.75050,0.00005,0.00%,0.00%,-0.05%,-0.16%,-0.02%,Sep/26
USDTWD,30.4610,0.0688,-0.23%,0.76%,-0.31%,-7.14%,-3.57%,Sep/26
USDIRR,42075.0,25.0,0.06%,0.06%,0.06%,0.18%,0.18%,Sep/26
USDAED,3.67250,0.00050,-0.01%,-0.01%,-0.01%,-0.02%,-0.01%,Sep/26
USDTHB,32.2540,0.0340,0.11%,1.27%,-0.60%,-6.05%,-0.36%,Sep/26
USDMYR,4.22150,0.00600,0.14%,0.34%,-0.31%,-5.59%,2.34%,Sep/26
USDSGD,1.29101,0.00280,-0.22%,0.57%,0.46%,-5.47%,0.79%,Sep/26
USDILS,3.34780,0.00560,0.17%,0.84%,0.57%,-7.96%,-10.21%,Sep/26
USDHKD,7.77836,0.00220,-0.03%,0.05%,-0.08%,0.15%,0.09%,Sep/26
USDPHP,58.0700,0.1350,-0.23%,1.78%,1.52%,-0.03%,3.68%,Sep/26
USDPKR,281.400,1.075,-0.38%,-0.87%,-0.49%,1.09%,1.33%,Sep/26
USDIQD,1310.00,0.02,0.00%,0.00%,-0.01%,0.08%,0.00%,Sep/26
USDKZT,544.360,1.900,0.35%,0.57%,1.08%,3.77%,13.27%,Sep/26
USDQAR,3.64050,0.00420,-0.12%,-0.12%,-0.13%,-0.11%,-0.10%,Sep/26
USDVND,26410.0,5.0,0.02%,0.10%,0.11%,3.65%,7.40%,Sep/26
USDBDT,121.7750,0.0750,0.06%,0.06%,-0.12%,2.33%,1.89%,Sep/25
USDOMR,0.38500,0.00023,0.06%,0.06%,0.07%,0.00%,0.01%,Sep/26
USDAZN,1.70000,0.00000,0.00%,0.00%,0.00%,0.30%,0.00%,Sep/26
USDLKR,301.620,1.040,-0.34%,-0.28%,-0.17%,2.88%,1.03%,Sep/26
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%,Sep/25
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/26
USDUZS,12160.0,39.7,-0.33%,-1.54%,-2.33%,-5.74%,-4.53%,Sep/26
USDMOP,8.01700,0.00350,-0.04%,0.07%,-0.08%,0.16%,0.13%,Sep/26
USDTMT,3.51000,0.01050,0.30%,0.30%,0.30%,0.44%,0.29%,Sep/26
USDLBP,89275.61,274.39,-0.31%,-0.31%,-0.31%,-0.25%,-0.36%,Sep/26
USDYER,239.300,0.030,0.01%,-0.08%,-0.28%,-3.92%,-4.27%,Sep/26
USDBHD,0.37700,0.00005,-0.01%,-0.02%,-0.01%,-0.03%,0.02%,Sep/26
USDAFN,68.5000,1.1300,1.68%,1.81%,0.16%,-2.63%,0.00%,Sep/26
USDNPR,141.420,0.450,-0.32%,0.33%,0.80%,3.24%,5.64%,Sep/26
USDBND,1.29190,0.00250,-0.19%,0.55%,0.45%,-5.37%,0.73%,Sep/26
USDKHR,4005.00,3.00,-0.07%,-0.05%,-0.07%,-0.30%,-1.14%,Sep/26
USDGEL,2.70700,0.00100,-0.04%,-0.92%,0.45%,-3.84%,-0.57%,Sep/26
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/25
USDMNT,3597.00,1.00,0.03%,-0.03%,-0.29%,5.18%,6.39%,Sep/26
USDLAK,21670.0,5.0,0.02%,0.06%,-0.13%,-0.15%,-1.87%,Sep/26
USDAMD,382.260,1.210,-0.32%,-0.15%,0.00%,-3.36%,-1.31%,Sep/26
USDTJS,9.3363,0.0487,-0.52%,-0.41%,-2.65%,-13.95%,-12.24%,Sep/26
USDKGS,87.4500,0.0000,0.00%,-0.03%,0.11%,0.52%,3.86%,Sep/26
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%,Sep/26
USDKWD,0.30560,0.00017,-0.06%,0.05%,-0.01%,-0.88%,0.19%,Sep/26
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.04%,Sep/26
