Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
BTSG,BTSG251017C00010000,Call,2025-10-17,10.0,13.7,19.0,1.0,1.0,4.470707536621093,27.39,27.01,27.6,2.739
BTSG,BTSG251017C00012500,Call,2025-10-17,12.5,8.4,9.7,2.0,2.0,1.0000000000000003e-05,27.39,27.01,27.6,2.1912000000000003
BTSG,BTSG251017C00015000,Call,2025-10-17,15.0,11.4,14.1,1.0,1.0,1.8125009374999999,27.39,27.01,27.6,1.826
BTSG,BTSG251017C00017500,Call,2025-10-17,17.5,9.7,11.6,2.0,4.0,1.7890635546875,27.39,27.01,27.6,1.5651428571428572
BTSG,BTSG251017C00020000,Call,2025-10-17,20.0,6.9,9.1,5.0,76.0,1.2812535937499998,27.39,27.01,27.6,1.3695
BTSG,BTSG251017C00022500,Call,2025-10-17,22.5,4.4,6.8,40.0,60.0,0.989257919921875,27.39,27.01,27.6,1.2173333333333334
BTSG,BTSG251017C00025000,Call,2025-10-17,25.0,2.25,3.3,2.0,1866.0,0.7290066162109375,27.39,27.01,27.6,1.0956000000000001
BTSG,BTSG251017C00030000,Call,2025-10-17,30.0,0.3,0.6,11.0,838.0,0.56055126953125,27.39,27.01,27.6,0.913
BTSG,BTSG251017C00035000,Call,2025-10-17,35.0,0.0,1.4,1.0,30.0,1.0361376318359379,27.39,27.01,27.6,0.7825714285714286
BTSG,BTSG251017P00015000,Put,2025-10-17,15.0,1.1,1.45,,15.0,2.691409521484375,27.39,27.01,27.6,0.547645125958379
BTSG,BTSG251017P00017500,Put,2025-10-17,17.5,0.0,0.0,1.0,0.0,0.500005,27.39,27.01,27.6,0.6389193136181088
BTSG,BTSG251017P00020000,Put,2025-10-17,20.0,0.0,1.3,2.0,2.0,1.3105503222656247,27.39,27.01,27.6,0.7301935012778387
BTSG,BTSG251017P00022500,Put,2025-10-17,22.5,0.0,0.3,1133.0,1164.0,0.59570716796875,27.39,27.01,27.6,0.8214676889375684
BTSG,BTSG251017P00025000,Put,2025-10-17,25.0,0.0,0.45,1.0,1021.0,0.5127001855468749,27.39,27.01,27.6,0.9127418765972982
BTSG,BTSG251017P00030000,Put,2025-10-17,30.0,2.4,4.1,4.0,5.0,0.57812921875,27.39,27.01,27.6,1.095290251916758
BTSG,BTSG251121C00025000,Call,2025-11-21,25.0,2.95,4.8,3.0,4.0,0.6074258007812501,27.39,27.01,27.6,1.0956000000000001
BTSG,BTSG251219C00017500,Call,2025-12-19,17.5,9.4,11.9,10.0,12.0,0.9101571484375,27.39,27.01,27.6,1.5651428571428572
BTSG,BTSG251219C00020000,Call,2025-12-19,20.0,7.2,9.7,2.0,47.0,0.8037129003906249,27.39,27.01,27.6,1.3695
BTSG,BTSG251219C00022500,Call,2025-12-19,22.5,5.1,7.6,1.0,28.0,0.7036162451171876,27.39,27.01,27.6,1.2173333333333334
BTSG,BTSG251219C00025000,Call,2025-12-19,25.0,3.4,4.9,1.0,150.0,0.5561567822265626,27.39,27.01,27.6,1.0956000000000001
BTSG,BTSG251219C00030000,Call,2025-12-19,30.0,1.2,2.5,8.0,137.0,0.540287800292969,27.39,27.01,27.6,0.913
BTSG,BTSG251219C00035000,Call,2025-12-19,35.0,0.0,1.35,12.0,14.0,0.5205126074218749,27.39,27.01,27.6,0.7825714285714286
BTSG,BTSG251219P00012500,Put,2025-12-19,12.5,0.0,2.2,10.0,15.0,1.5996113769531248,27.39,27.01,27.6,0.4563709382986491
BTSG,BTSG251219P00015000,Put,2025-12-19,15.0,0.0,0.2,2.0,229.0,0.6992217578125001,27.39,27.01,27.6,0.547645125958379
BTSG,BTSG251219P00017500,Put,2025-12-19,17.5,0.25,1.65,3.0,40.0,0.9853517089843751,27.39,27.01,27.6,0.6389193136181088
BTSG,BTSG251219P00020000,Put,2025-12-19,20.0,0.1,0.85,10.0,51.0,0.6001016552734376,27.39,27.01,27.6,0.7301935012778387
BTSG,BTSG251219P00022500,Put,2025-12-19,22.5,0.1,1.6,1.0,20.0,0.5434615966796876,27.39,27.01,27.6,0.8214676889375684
BTSG,BTSG251219P00025000,Put,2025-12-19,25.0,0.0,0.0,1.0,4.0,0.062509375,27.39,27.01,27.6,0.9127418765972982
BTSG,BTSG260116C00017500,Call,2026-01-16,17.5,9.5,12.1,2.0,3.0,0.840821904296875,27.39,27.01,27.6,1.5651428571428572
BTSG,BTSG260116C00020000,Call,2026-01-16,20.0,7.4,9.9,10.0,18.0,0.7504907763671875,27.39,27.01,27.6,1.3695
BTSG,BTSG260116C00022500,Call,2026-01-16,22.5,5.8,6.5,1.0,78.0,0.5664105859375,27.39,27.01,27.6,1.2173333333333334
BTSG,BTSG260116C00025000,Call,2026-01-16,25.0,3.8,6.2,1.0,170.0,0.6369665209960937,27.39,27.01,27.6,1.0956000000000001
BTSG,BTSG260116C00030000,Call,2026-01-16,30.0,1.65,2.65,3.0,309.0,0.5190477783203125,27.39,27.01,27.6,0.913
BTSG,BTSG260116C00035000,Call,2026-01-16,35.0,0.0,1.55,22.0,37.0,0.6320837573242188,27.39,27.01,27.6,0.7825714285714286
BTSG,BTSG260116P00015000,Put,2026-01-16,15.0,0.0,1.65,,2.0,1.017583037109375,27.39,27.01,27.6,0.547645125958379
BTSG,BTSG260116P00017500,Put,2026-01-16,17.5,0.05,1.3,4.0,13.0,0.7587914746093751,27.39,27.01,27.6,0.6389193136181088
BTSG,BTSG260116P00020000,Put,2026-01-16,20.0,0.3,1.35,5.0,116.0,0.6313513427734375,27.39,27.01,27.6,0.7301935012778387
BTSG,BTSG260116P00025000,Put,2026-01-16,25.0,0.0,0.0,6.0,6.0,0.0312596875,27.39,27.01,27.6,0.9127418765972982
BTSG,BTSG260116P00030000,Put,2026-01-16,30.0,9.3,11.3,,0.0,1.44140904296875,27.39,27.01,27.6,1.095290251916758
