Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
FRT,FRT251017C00065000,Call,2025-10-17,65.0,35.2,38.9,,1.0,1.6733414770507813,99.52,99.3,103.2,1.531076923076923
FRT,FRT251017C00070000,Call,2025-10-17,70.0,30.2,33.8,,1.0,1.4448269946289063,99.52,99.3,103.2,1.4217142857142857
FRT,FRT251017C00095000,Call,2025-10-17,95.0,2.55,6.5,10.0,20.0,0.401373173828125,99.52,99.3,103.2,1.047578947368421
FRT,FRT251017C00100000,Call,2025-10-17,100.0,0.65,2.2,10.0,1492.0,0.249030947265625,99.52,99.3,103.2,0.9952
FRT,FRT251017C00105000,Call,2025-10-17,105.0,0.0,0.2,1.0,202.0,0.16993017578125003,99.52,99.3,103.2,0.9478095238095238
FRT,FRT251017C00110000,Call,2025-10-17,110.0,0.0,0.05,5.0,10.0,0.20801573242187496,99.52,99.3,103.2,0.9047272727272727
FRT,FRT251017P00080000,Put,2025-10-17,80.0,0.0,1.2,2.0,2.0,0.6621127539062501,99.52,99.3,103.2,0.8038585209003216
FRT,FRT251017P00085000,Put,2025-10-17,85.0,0.0,0.8,4.0,17.0,0.5625043750000001,99.52,99.3,103.2,0.8540996784565916
FRT,FRT251017P00090000,Put,2025-10-17,90.0,0.0,0.0,9.0,9.0,0.12500875,99.52,99.3,103.2,0.9043408360128617
FRT,FRT251017P00095000,Put,2025-10-17,95.0,0.0,2.6,1.0,17.0,0.4731497998046875,99.52,99.3,103.2,0.9545819935691319
FRT,FRT251017P00100000,Put,2025-10-17,100.0,0.95,2.6,6.0,12.0,0.24073024902343748,99.52,99.3,103.2,1.004823151125402
FRT,FRT251017P00105000,Put,2025-10-17,105.0,4.6,7.8,,2.0,0.454107021484375,99.52,99.3,103.2,1.055064308681672
FRT,FRT251121C00045000,Call,2025-11-21,45.0,52.4,56.1,,4.0,1.4921900390624998,99.52,99.3,103.2,2.2115555555555555
FRT,FRT251121C00055000,Call,2025-11-21,55.0,0.0,0.0,,0.0,1.0000000000000003e-05,99.52,99.3,103.2,1.8094545454545454
FRT,FRT251121C00065000,Call,2025-11-21,65.0,27.4,31.7,,2.0,1.0000000000000003e-05,99.52,99.3,103.2,1.531076923076923
FRT,FRT251121C00075000,Call,2025-11-21,75.0,19.0,22.5,,1.0,1.0000000000000003e-05,99.52,99.3,103.2,1.3269333333333333
FRT,FRT251121C00080000,Call,2025-11-21,80.0,17.8,20.8,1.0,3.0,0.5109912182617188,99.52,99.3,103.2,1.244
FRT,FRT251121C00085000,Call,2025-11-21,85.0,10.9,13.9,1.0,6.0,1.0000000000000003e-05,99.52,99.3,103.2,1.1708235294117646
FRT,FRT251121C00090000,Call,2025-11-21,90.0,6.7,10.0,,1.0,0.21656056884765623,99.52,99.3,103.2,1.1057777777777777
FRT,FRT251121C00095000,Call,2025-11-21,95.0,3.5,7.7,2.0,17.0,0.33460138061523437,99.52,99.3,103.2,1.047578947368421
FRT,FRT251121C00100000,Call,2025-11-21,100.0,1.95,2.7,1.0,42.0,0.186531572265625,99.52,99.3,103.2,0.9952
FRT,FRT251121C00105000,Call,2025-11-21,105.0,0.0,2.2,1.0,73.0,0.27368890380859373,99.52,99.3,103.2,0.9478095238095238
FRT,FRT251121C00110000,Call,2025-11-21,110.0,0.1,0.45,5.0,296.0,0.20606262695312497,99.52,99.3,103.2,0.9047272727272727
FRT,FRT251121C00115000,Call,2025-11-21,115.0,0.0,2.25,2.0,11.0,0.45166563964843753,99.52,99.3,103.2,0.8653913043478261
FRT,FRT251121C00120000,Call,2025-11-21,120.0,0.0,1.4,,18.0,0.44385321777343745,99.52,99.3,103.2,0.8293333333333333
FRT,FRT251121P00045000,Put,2025-11-21,45.0,0.0,2.15,5.0,15.0,1.3579133666992185,99.52,99.3,103.2,0.4521704180064309
FRT,FRT251121P00055000,Put,2025-11-21,55.0,0.0,0.0,,0.0,0.2500075,99.52,99.3,103.2,0.5526527331189711
FRT,FRT251121P00060000,Put,2025-11-21,60.0,0.0,0.0,,0.0,0.2500075,99.52,99.3,103.2,0.6028938906752411
FRT,FRT251121P00065000,Put,2025-11-21,65.0,0.0,1.55,2.0,9.0,0.7446314599609375,99.52,99.3,103.2,0.6531350482315113
FRT,FRT251121P00070000,Put,2025-11-21,70.0,0.0,2.2,2.0,26.0,0.6987334814453126,99.52,99.3,103.2,0.7033762057877814
