Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
VERI,VERI251017C00002500,Call,2025-10-17,2.5,2.55,2.65,27.0,183,1.5937520312499998,5.08,5.01,5.12,2.032
VERI,VERI251017C00005000,Call,2025-10-17,5.0,0.6,0.7,879.0,3738,1.2382850585937497,5.08,5.01,5.12,1.016
VERI,VERI251017C00007500,Call,2025-10-17,7.5,0.1,0.15,405.0,3701,1.3671906640625,5.08,5.01,5.12,0.6773333333333333
VERI,VERI251017P00002500,Put,2025-10-17,2.5,0.0,0.05,1.0,508,1.6875015625,5.08,5.01,5.12,0.4921259842519685
VERI,VERI251017P00005000,Put,2025-10-17,5.0,0.55,0.6,254.0,1198,1.2500037499999999,5.08,5.01,5.12,0.984251968503937
VERI,VERI251017P00007500,Put,2025-10-17,7.5,2.5,2.6,13.0,223,1.3828155859374998,5.08,5.01,5.12,1.4763779527559056
VERI,VERI251121C00000500,Call,2025-11-21,0.5,4.3,5.7,3.0,3,9.625003984375,5.08,5.01,5.12,10.16
VERI,VERI251121C00001000,Call,2025-11-21,1.0,4.0,4.1,1.0,329,2.156254609375,5.08,5.01,5.12,5.08
VERI,VERI251121C00001500,Call,2025-11-21,1.5,3.5,3.6,1.0,163,1.640626796875,5.08,5.01,5.12,3.3866666666666667
VERI,VERI251121C00002000,Call,2025-11-21,2.0,2.85,3.2,30.0,1441,1.9140629296875002,5.08,5.01,5.12,2.54
VERI,VERI251121C00002500,Call,2025-11-21,2.5,2.6,2.75,6.0,711,1.4140654296875002,5.08,5.01,5.12,2.032
VERI,VERI251121C00003000,Call,2025-11-21,3.0,2.2,2.35,11.0,1563,1.40625296875,5.08,5.01,5.12,1.6933333333333334
VERI,VERI251121C00003500,Call,2025-11-21,3.5,1.85,1.95,117.0,1663,1.359378203125,5.08,5.01,5.12,1.4514285714285715
VERI,VERI251121C00004000,Call,2025-11-21,4.0,1.55,1.65,56.0,2759,1.37109689453125,5.08,5.01,5.12,1.27
VERI,VERI251121C00004500,Call,2025-11-21,4.5,1.25,1.4,34.0,379,1.3535188574218748,5.08,5.01,5.12,1.1288888888888888
VERI,VERI251121C00005000,Call,2025-11-21,5.0,1.1,1.15,398.0,6402,1.3828155859374998,5.08,5.01,5.12,1.016
VERI,VERI251121P00000500,Put,2025-11-21,0.5,0.0,0.45,70.0,70,6.1562523046874995,5.08,5.01,5.12,0.09842519685039369
VERI,VERI251121P00001000,Put,2025-11-21,1.0,0.0,0.2,13.0,993,3.06250234375,5.08,5.01,5.12,0.19685039370078738
VERI,VERI251121P00001500,Put,2025-11-21,1.5,0.0,0.05,1.0,428,1.71875140625,5.08,5.01,5.12,0.2952755905511811
VERI,VERI251121P00002000,Put,2025-11-21,2.0,0.0,0.1,1.0,1398,1.5312523437499999,5.08,5.01,5.12,0.39370078740157477
VERI,VERI251121P00002500,Put,2025-11-21,2.5,0.05,0.2,51.0,515,1.5312523437499999,5.08,5.01,5.12,0.4921259842519685
VERI,VERI251121P00003000,Put,2025-11-21,3.0,0.0,0.3,1.0,133,1.2812535937499998,5.08,5.01,5.12,0.5905511811023622
VERI,VERI251121P00003500,Put,2025-11-21,3.5,0.3,0.4,1.0,734,1.4179716601562502,5.08,5.01,5.12,0.6889763779527559
VERI,VERI251121P00004000,Put,2025-11-21,4.0,0.45,0.6,24.0,56,1.3789093554687497,5.08,5.01,5.12,0.7874015748031495
VERI,VERI251121P00004500,Put,2025-11-21,4.5,0.7,0.8,12.0,179,1.359378203125,5.08,5.01,5.12,0.8858267716535433
VERI,VERI251121P00005000,Put,2025-11-21,5.0,1.0,1.15,67.0,543,1.421877890625,5.08,5.01,5.12,0.984251968503937
VERI,VERI260220C00001500,Call,2026-02-20,1.5,3.4,3.7,2.0,521,1.5156274218749999,5.08,5.01,5.12,3.3866666666666667
VERI,VERI260220C00002500,Call,2026-02-20,2.5,2.7,2.85,41.0,3080,1.0976607617187502,5.08,5.01,5.12,2.032
VERI,VERI260220C00005000,Call,2026-02-20,5.0,1.45,1.55,552.0,4627,1.1660197949218751,5.08,5.01,5.12,1.016
VERI,VERI260220C00007500,Call,2026-02-20,7.5,0.85,0.95,144.0,3613,1.2109414453124998,5.08,5.01,5.12,0.6773333333333333
VERI,VERI260220P00001500,Put,2026-02-20,1.5,0.0,0.2,2.0,131,1.4375028125,5.08,5.01,5.12,0.2952755905511811
VERI,VERI260220P00002500,Put,2026-02-20,2.5,0.0,0.35,2.0,316,1.05859845703125,5.08,5.01,5.12,0.4921259842519685
VERI,VERI260220P00005000,Put,2026-02-20,5.0,1.4,1.55,1.0,194,1.2128945605468748,5.08,5.01,5.12,0.984251968503937
VERI,VERI260220P00007500,Put,2026-02-20,7.5,3.3,3.4,22.0,78,1.2353553857421873,5.08,5.01,5.12,1.4763779527559056
VERI,VERI260515C00002500,Call,2026-05-15,2.5,2.9,3.1,6.0,38,1.193363408203125,5.08,5.01,5.12,2.032
VERI,VERI260515C00005000,Call,2026-05-15,5.0,1.8,1.9,149.0,434,1.169926025390625,5.08,5.01,5.12,1.016
VERI,VERI260515C00007500,Call,2026-05-15,7.5,1.2,1.3,23.0,227,1.1845743896484375,5.08,5.01,5.12,0.6773333333333333
VERI,VERI260515P00002500,Put,2026-05-15,2.5,0.45,0.55,12.0,23,1.2968785156249998,5.08,5.01,5.12,0.4921259842519685
VERI,VERI270115C00002500,Call,2027-01-15,2.5,3.0,3.3,10.0,234,0.9648441015625,5.08,5.01,5.12,2.032
VERI,VERI270115C00005000,Call,2027-01-15,5.0,2.3,2.4,132.0,407,1.0673874755859378,5.08,5.01,5.12,1.016
VERI,VERI270115C00007500,Call,2027-01-15,7.5,1.6,2.5,6.0,643,1.1826212744140623,5.08,5.01,5.12,0.6773333333333333
VERI,VERI270115P00002500,Put,2027-01-15,2.5,0.75,0.95,1.0,38,1.2128945605468748,5.08,5.01,5.12,0.4921259842519685
