Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness
ZS,ZS250926C00190000,Call,2025-09-26,190.0,103.1,106.5,2.0,2,3.60156349609375,294.65,294.33,310.75,1.5507894736842105
ZS,ZS250926C00195000,Call,2025-09-26,195.0,98.15,101.55,2.0,2,3.5390636523437498,294.65,294.33,310.75,1.5110256410256409
ZS,ZS250926C00220000,Call,2025-09-26,220.0,73.1,76.65,2.0,2,2.652347119140625,294.65,294.33,310.75,1.3393181818181816
ZS,ZS250926C00230000,Call,2025-09-26,230.0,63.1,66.65,1.0,1,2.2968792578125,294.65,294.33,310.75,1.281086956521739
ZS,ZS250926C00235000,Call,2025-09-26,235.0,58.0,61.65,,0,2.042973642578125,294.65,294.33,310.75,1.2538297872340425
ZS,ZS250926C00250000,Call,2025-09-26,250.0,43.0,46.0,14.0,15,2.3261760595703116,294.65,294.33,310.75,1.1785999999999999
ZS,ZS250926C00252500,Call,2025-09-26,252.5,40.8,44.1,,1,1.607423837890625,294.65,294.33,310.75,1.1669306930693069
ZS,ZS250926C00255000,Call,2025-09-26,255.0,38.55,41.65,1.0,7,1.6416033544921875,294.65,294.33,310.75,1.1554901960784312
ZS,ZS250926C00257500,Call,2025-09-26,257.5,35.5,39.15,,1,1.3085972070312497,294.65,294.33,310.75,1.144271844660194
ZS,ZS250926C00260000,Call,2025-09-26,260.0,33.45,36.65,1.0,50,1.4257841210937499,294.65,294.33,310.75,1.1332692307692307
ZS,ZS250926C00262500,Call,2025-09-26,262.5,30.8,34.1,10.0,12,1.2636755566406248,294.65,294.33,310.75,1.1224761904761904
ZS,ZS250926C00265000,Call,2025-09-26,265.0,29.3,30.45,1.0,43,1.1171919140625,294.65,294.33,310.75,1.1118867924528302
ZS,ZS250926C00267500,Call,2025-09-26,267.5,25.65,29.15,1.0,9,1.0546922265625,294.65,294.33,310.75,1.1014953271028036
ZS,ZS250926C00270000,Call,2025-09-26,270.0,23.15,25.45,5.0,65,1.2587927685546876,294.65,294.33,310.75,1.0912962962962962
ZS,ZS250926C00272500,Call,2025-09-26,272.5,20.6,24.2,5.0,7,0.8867198828124999,294.65,294.33,310.75,1.0812844036697247
ZS,ZS250926C00275000,Call,2025-09-26,275.0,18.45,20.5,14.0,37,1.0747116577148441,294.65,294.33,310.75,1.0714545454545454
ZS,ZS250926C00277500,Call,2025-09-26,277.5,16.75,19.1,10.0,37,0.945313046875,294.65,294.33,310.75,1.0618018018018016
ZS,ZS250926C00280000,Call,2025-09-26,280.0,13.75,16.5,23.0,146,0.73437765625,294.65,294.33,310.75,1.0523214285714284
ZS,ZS250926C00282500,Call,2025-09-26,282.5,11.1,12.8,27.0,32,0.6977569287109376,294.65,294.33,310.75,1.043008849557522
ZS,ZS250926C00285000,Call,2025-09-26,285.0,9.3,9.9,161.0,161,0.45313046875,294.65,294.33,310.75,1.033859649122807
ZS,ZS250926C00287500,Call,2025-09-26,287.5,6.0,8.05,23.0,119,0.5463912548828126,294.65,294.33,310.75,1.0248695652173911
ZS,ZS250926C00290000,Call,2025-09-26,290.0,4.3,5.15,407.0,348,0.33301448242187504,294.65,294.33,310.75,1.0160344827586205
ZS,ZS250926C00292500,Call,2025-09-26,292.5,1.54,3.8,233.0,133,0.42139250488281255,294.65,294.33,310.75,1.0073504273504272
